"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"ABHD5",469,1.85103,419,1.77498,452,1.8755,1.83383666667,10.403327,7.362645,6.909279,8.22508366666667,314,407,402,0.30718818051587
"ABHD6",462,1.38769,518,1.67002,434,1.3705,1.47607,11.668832,13.764524,17.829011,14.420789,180,342,395,0.160567011195082
"ABHD8",802,7.73824,756,7.82943,603,6.11679,7.22815333333,9.661101,10.705984,15.55678,11.9746216666667,265,375,569,0.634172891103954
"ABI1",1701,2.59542,1851,3.03145,2269,3.63979,3.08888666667,25.555257,19.141618,16.288946,20.328607,935,970,821,0.191709035037778
"ABI2",4245,6.20636,4621,7.25163,4889,7.5148,6.99093,43.432644,40.900572,32.384224,38.9058133333333,3163,4154,3817,0.200244759660748
"ABI3",335,4.56685,245,3.58491,572,8.19797,5.44991,0.107534,0.068506,0,0.05868,1,1,0,6.09240752635357
"ABI3BP",385,0.275246,801,0.614658,1404,1.05528,0.648394666667,1.876574,1.343379,0.53984,1.25326433333333,21,26,23,0.731558495948175
"ABITRAM",1122,11.9922,1332,15.2809,1849,20.7769,16.0166666667,8.026917,12.043578,11.681156,10.5838836666667,142,241,232,1.46899495509149
"ABL1",1330,1.3303,1558,1.67265,1785,1.87704,1.62666333333,18.289946,25.341736,17.462119,20.3646003333333,1256,2037,1573,0.122944651074602
"ABL2",1534,2.05583,1795,2.58207,2285,3.21949,2.61913,4.651018,3.942953,3.604234,4.06606833333333,834,1003,998,0.714386337070727
"ABLIM1",9790,5.07585,10498,5.84216,8705,4.74497,5.22099333333,78.965193,95.017141,84.824801,86.269045,7302,12899,12481,0.0712852229943619
"ABLIM2",835,0.75378,569,0.551329,725,0.688072,0.664393666667,29.024891,22.325349,27.889239,26.4131596666667,811,842,921,0.0607151341510931
"ABLIM3",3540,5.19431,3148,4.95792,2904,4.47981,4.87734666667,59.162438,43.070208,35.850085,46.027577,2210,2652,2304,0.124976599722967
"ABO",280,1.90898,318,2.32708,308,2.20766,2.14790666667,0.94183,1.656334,1.424069,1.34074433333333,43,107,83,1.34483148024425
"ABR",3546,2.7384,3554,2.94588,3798,3.08355,2.92261,475.702567,515.55903,441.250144,477.503913666667,3442,4631,4703,0.0081976549991868
"ABRA",10,0.16233,32,0.557555,60,1.02397,0.581285,0.023562,0,0.016861,0.0134743333333333,1,0,1,1.56026151624297
"ABRACL",136,1.63203,150,1.93206,207,2.61154,2.05854333333,17.048097,16.217016,13.732567,15.6658933333333,152,196,170,0.183521115379554
"ABRAXAS1",607,1.66127,747,2.19439,763,2.19541,2.01702333333,2.109371,2.159075,1.935205,2.06788366666667,56,86,86,0.983421687761737
"ABRAXAS2",669,3.35372,688,3.70194,758,3.99492,3.68352666667,10.186842,8.464947,8.190416,8.94740166666667,471,532,542,0.470829149521961
"ABT1",253,11.6712,303,15.003,253,12.2703,12.9815,3.263841,4.270345,3.155402,3.563196,152,271,212,3.06397095369123
"ABTB1",1543,33.7288,1425,33.4342,937,21.5334,29.5654666667,3.761994,3.647191,4.428543,3.94590933333333,98,109,136,6.17994884392678
"ABTB2",364,0.307165,368,0.333318,470,0.416971,0.352484666667,1.172037,1.371578,1.223632,1.255749,92,149,130,0.599572322393582
"ACAA1",1192,6.10428,1253,6.88731,1152,6.20224,6.39794333333,39.895704,46.043135,40.381622,42.1068203333333,585,998,977,0.171618859292421
"ACAA2",1316,7.23196,1158,6.83045,1297,7.49339,7.18526666667,13.144815,9.897038,9.823666,10.955173,271,275,335,0.684663171889692
"ACACA",4300,2.33406,4641,2.70393,4008,2.28723,2.44174,100.200507,77.444775,45.429501,74.358261,3946,4127,3502,0.0456717014741091
"ACACB",3042,3.50477,3493,4.31955,2522,3.0548,3.62637333333,5.011705,4.261474,2.549066,3.94074833333333,60,56,49,0.93637097484153
"ACAD10",802,1.97192,897,2.36727,684,1.76811,2.03576666667,12.856185,11.636386,10.582543,11.6917046666667,221,279,250,0.239192980486152
"ACAD11",1114,1.90902,1115,2.05088,1118,2.01421,1.99137,18.399625,10.629317,9.67092,12.899954,358,253,310,0.21520718701659
"ACAD8",819,11.575,885,13.4252,746,11.0844,12.0282,23.137744,24.865645,22.47821,23.4938663333333,569,801,726,0.531896427566853
"ACAD9",1039,4.97676,1126,5.78908,1091,5.49407,5.41997,17.669058,19.626573,12.870046,16.7218923333333,447,569,481,0.36226210380054
"ACADL",894,4.07549,1008,4.93223,2279,10.9226,6.64344,0.160831,0.314712,0.317482,0.264341666666667,8,12,13,6.04539121150006
"ACADM",1245,3.43988,1406,4.16965,1536,4.46173,4.02375333333,31.655912,30.807253,30.544017,31.002394,568,773,686,0.156980547559348
"ACADS",317,3.89038,354,4.66312,259,3.34173,3.96507666667,3.004861,4.19166,2.473391,3.223304,78,146,97,1.17563799969645
"ACADSB",866,3.0667,1330,5.05528,1095,4.07667,4.06621666667,3.572105,3.466148,3.181139,3.406464,336,406,350,1.14972382996207
"ACADVL",7556,162.126,6596,151.908,4694,105.887,139.973666667,223.022625,188.605112,238.198574,216.608770333333,1342,1537,1988,0.647830813303418
"ACAN",7,0.0170047,96,0.250313,28,0.0715101,0.1129426,0.292759,0.315011,0.284229,0.297333,25,26,39,0.857869644879148
"ACAP1",124,1.44911,135,1.69337,286,3.51385,2.21877666667,11.286318,12.913279,6.490646,10.230081,45,54,54,0.286620966195168
"ACAP2",1382,1.43455,1840,2.05005,1856,2.02545,1.83668333333,11.321554,4.989484,5.03907,7.11670266666667,561,490,425,0.349487156278321
"ACAP3",1458,14.7916,1582,17.2268,1149,12.2551,14.7578333333,201.068487,222.065102,155.227804,192.787131,2075,3473,3111,0.0813151691342187
"ACAT1",1814,10.2528,2004,12.1575,1738,10.3275,10.9126,109.114332,109.952951,112.925312,110.664198333333,760,1074,1157,0.106682358157797
"ACAT2",4118,42.1497,3190,35.046,2391,25.7292,34.3083,119.603573,70.690947,60.766009,83.686843,2428,1983,1817,0.416927810144015
