"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"BAZ1A",473,0.672264,583,0.889381,922,1.37768,0.979775,2.565235,2.161732,1.235663,1.98754333333333,29,55,41,0.66267658042338
"BAZ1B",1598,3.40916,1845,4.22481,2065,4.63157,4.08851333333,14.532909,14.94889,18.373286,15.951695,1124,1236,999,0.300177258576797
"BAZ2A",2769,11.7353,2839,12.9145,3317,14.7794,13.1430666667,33.505157,30.950338,37.622512,34.0260023333333,1150,1212,873,0.403787635600093
"BAZ2B",1522,0.893481,2186,1.3774,2124,1.31088,1.19392033333,30.560825,31.258351,34.557667,32.1256143333333,917,931,758,0.066230328930755
"BBOF1",1681,4.62362,2050,6.05213,2018,5.83544,5.50373,4.700961,6.408486,4.024557,5.044668,94,97,84,1.07594494850668
"BBOX1",47,0.0942855,33,0.0710561,110,0.231995,0.132445533333,0,0.193788,0,0.064596,0,4,0,1.06373265852305
"BBS1",783,5.9453,768,6.25912,774,6.17861,6.12767666667,30.477847,30.310559,43.27221,34.686872,347,418,285,0.199728254879553
"BBS10",489,21.6712,586,27.8748,584,27.2098,25.5852666667,3.780046,3.847144,4.213971,3.94705366666667,172,186,137,5.37395962486358
"BBS12",197,2.81151,238,3.64579,254,3.81106,3.42278666667,2.662203,2.35401,1.974222,2.330145,87,109,60,1.32810633370919
"BBS2",4819,15.8093,5616,19.7753,4879,16.8277,17.4707666667,61.49517,58.421844,88.374812,69.4306086666667,394,370,331,0.262254820970216
"BBS4",726,2.42522,831,2.97958,810,2.8447,2.74983333333,99.754556,100.418855,68.130448,89.4346196666667,438,461,292,0.0414645779144262
"BBS5",483,3.10493,678,4.67816,791,5.34589,4.37632666667,6.763527,7.309122,10.987372,8.35334033333333,186,226,155,0.57480284850856
"BBS7",1510,5.71493,1706,6.93033,1396,5.55466,6.06664,100.187951,91.703386,157.879448,116.590261666667,518,611,416,0.0600954526322241
"BBS9",952,0.21666,1277,0.311942,993,0.237591,0.255397666667,10.831108,15.159582,18.523987,14.8382256666667,189,277,196,0.0792637820099461
"BBX",1656,1.00311,2128,1.38357,2086,1.32844,1.23837333333,5.577203,1.291454,1.84886,2.905839,143,169,161,0.573083870925043
"BCAM",4861,68.6898,4221,64.021,2169,32.2229,54.9779,17.977067,37.158032,42.807987,32.6476953333333,312,535,473,1.66364737452152
"BCAN",1896,18.2566,2084,21.5387,662,6.70159,15.4989633333,0.800751,1.784965,1.798806,1.46150733333333,24,59,38,6.70278861650084
"BCAP29",3073,10.9129,3517,13.4058,3402,12.7014,12.3400333333,107.678277,194.46001,186.547606,162.895297666667,297,301,221,0.0813936307094741
"BCAP31",2656,19.2739,3283,25.5713,2565,19.569,21.4714,74.407168,78.856017,75.115938,76.1263743333333,916,1034,639,0.291358179277047
"BCAR1",912,3.99583,804,3.78101,590,2.7177,3.49818,21.455181,27.358276,23.159038,23.9908316666667,458,614,430,0.179993209509701
"BCAR3",875,0.535586,1093,0.718095,1137,0.731678,0.661786333333,1.644978,3.995156,6.840592,4.160242,38,72,79,0.322036511724256
"BCAS1",1652,2.15668,1593,2.2322,1928,2.64619,2.34502333333,0,0,0,0,0,0,0,3.34502333333
"BCAS2",800,9.93102,806,10.7394,804,10.493,10.3878066667,29.875355,31.126156,34.844357,31.9486226666667,423,458,331,0.345623147343903
"BCAS3",647,0.157999,673,0.176403,670,0.172014,0.168805333333,35.278702,28.499304,37.245099,33.6743683333333,240,315,235,0.0337080497645115
"BCAT1",4287,5.385,3908,5.26899,4685,6.187,5.61366333333,9.339594,12.419426,12.965481,11.5748336666667,1186,1671,1159,0.52594439884016
"BCAT2",855,9.35419,796,9.34746,632,7.26934,8.65699666667,13.890026,17.137283,17.381747,16.136352,222,287,204,0.563538649688685
"BCCIP",1173,6.79675,1159,7.20821,1374,8.37005,7.45833666667,18.207491,16.875764,21.995778,19.0263443333333,397,402,365,0.422360493052709
"BCDIN3D",143,3.53652,127,3.3712,139,3.61404,3.50725333333,3.02525,3.074713,3.11342,3.07112766666667,89,117,64,1.10712650213213
"BCHE",160,0.432966,234,0.679657,78,0.221905,0.444842666667,20.383447,19.95047,31.136003,23.8233066666667,332,369,410,0.0582050846838697
"BCKDHA",504,3.23767,543,3.74405,528,3.56594,3.51588666667,9.98177,14.431824,14.346721,12.920105,137,170,125,0.324414698500478
"BCKDHB",648,0.472428,996,0.779399,844,0.646906,0.632911,8.377682,8.091741,26.605281,14.3582346666667,168,231,182,0.106321529488285
"BCKDK",465,12.1518,519,14.5578,515,14.1493,13.6196333333,17.664823,21.248004,25.593008,21.501945,229,301,169,0.649705318064727
"BCL10",202,3.25036,178,3.07426,280,4.73671,3.68711,5.222768,6.875512,9.099041,7.06577366666667,119,135,125,0.581111024646076
"BCL11A",116,0.194954,73,0.131685,56,0.0989465,0.141861833333,2.621555,4.168849,8.283271,5.02455833333333,50,82,43,0.189534530193721
"BCL11B",102,0.173153,59,0.107503,66,0.117791,0.132815666667,0,0.107579,0.133613,0.0803973333333333,0,13,9,1.0485176441263
"BCL2",3081,2.73524,3730,3.55429,3374,3.1491,3.14621,1.822421,1.726245,3.854065,2.467577,105,165,182,1.19570812702933
"BCL2A1",67,1.13584,16,0.291141,169,3.01209,1.47969033333,0,0,0,0,0,0,0,2.47969033333
"BCL2L1",1515,4.44538,1685,5.30685,1634,5.04065,4.93096,69.863798,58.132025,57.535509,61.8437773333333,1395,1388,1086,0.0943762493546696
"BCL2L11",372,1.32445,394,1.50567,440,1.64696,1.49236,4.822154,4.402643,5.571972,4.93225633333333,262,266,155,0.420136936092164
"BCL2L12",163,3.24512,144,3.07713,183,3.8303,3.38418333333,6.114511,1.425997,2.196291,3.24559966666667,9,11,10,1.03264171790652
"BCL2L13",2622,4.49075,2802,5.15104,2375,4.27649,4.63942666667,13.815238,15.646935,21.11514,16.8591043333333,469,603,366,0.315773207962296
"BCL2L14",2574,2.78884,3004,3.49346,3511,3.9993,3.4272,0.132103,0.577328,0,0.236477,2,4,0,3.58049522959182
