"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"IDI2",0,0.117349,0,0.0391163333333333,0,2,0,"Gm9745",0,0,0,0,0,0,0,1.03911633333333
"IDNK",0.563636,0.862928,0.384421,0.603661666666667,6,12,3,"Idnk",2.859066,2.521994,2.761601,61,58,54,2.71422033333333,0.431762664232538
"IDS",139.761959,136.575809,126.275182,134.204316666667,10272,11398,7149,"Ids",3.735162,4.046424,2.894199,461,320,340,3.558595,29.6592078626565
"IDUA",24.169649,20.272272,15.729423,20.0571146666667,134,201,128,"Idua",3.781036,4.004753,4.278515,231,206,159,4.02143466666667,4.19344591027903
"IER2",9.149051,8.577389,10.231307,9.319249,240,281,193,"Ier2",1.20274,1.681676,1.466474,57,84,48,1.45029666666667,4.21142841206983
"IER3",18.457779,22.29342,18.617978,19.7897256666667,253,340,181,"Ier3",7.61303,9.496213,8.442578,243,286,193,8.51727366666667,2.1844202861877
"IER5",0.628512,0.906689,1.256916,0.930705666666667,32,51,45,"Ier5",2.18574,3.109538,3.136029,210,319,203,2.81043566666667,0.506688955164969
"IER5L",5.856527,5.073374,4.136113,5.02200466666667,160,163,77,"Ier5l",0.256741,0.390915,0.278982,18,33,12,0.308879333333333,4.60088605061124
"IFFO1",7.871403,9.555313,8.498355,8.64169033333333,244,323,181,"Iffo1",2.154628,1.663196,1.875933,105,72,70,1.897919,3.32710829161662
"IFFO2",6.128619,9.432974,12.87874,9.480111,305,404,323,"Iffo2",0.353621,0.377665,0.426281,65,54,53,0.385855666666667,7.56219514923031
"IFI16",37.655975,20.769966,27.026386,28.484109,864,506,494,"Ifi204",1.076528,1.350579,0.468401,72,83,22,0.965169333333333,15.003342714487
"IFI16",37.655975,20.769966,27.026386,28.484109,864,506,494,"Ifi202b",0,0,0,0,0,0,0,29.484109
"IFI16",37.655975,20.769966,27.026386,28.484109,864,506,494,"Ifi209",0.205402,0.256427,0.09039,18,27,6,0.184073,24.9005838322468
"IFI16",37.655975,20.769966,27.026386,28.484109,864,506,494,"Ifi207",1.027869,1.356829,0.791198,109,134,61,1.058632,14.3221853152968
"IFI16",37.655975,20.769966,27.026386,28.484109,864,506,494,"Ifi203",4.64673,5.214447,4.677074,447,514,326,4.84608366666667,5.0433949770704
"IFI16",37.655975,20.769966,27.026386,28.484109,864,506,494,"Ifi206",0.048014,0.165681,0.217126,5,7,3,0.143607,25.7816793706229
"IFI30",3.034737,2.751371,1.643863,2.476657,32,32,12,"Ifi30",1.674378,1.720698,2.859755,45,43,55,2.08494366666667,1.12697584645252
"IFI35",0.362399,1.192818,1.02965,0.861622333333333,2,3,3,"Ifi35",2.901314,4.218229,3.440617,105,140,92,3.52005333333333,0.411858488395417
"IFI44",0.388049,2.800345,1.892492,1.69362866666667,3,18,10,"Ifi44",0.45445,2.351301,1.571017,34,90,32,1.45892266666667,1.09545074482483
"IFI44L",0,0.410678,0.844633,0.418437,0,12,12,"Ifi44l",0,0,0,0,0,0,0,1.418437
"IFIH1",0,0.051054,0.077268,0.042774,0,2,1,"Ifih1",1.371102,1.465451,0.765285,108,154,83,1.20061266666667,0.47385622004054
"IFIT1B",0,0,0,0,0,0,0,"Ifit1bl2",0.516247,0.443092,0.387127,57,46,31,0.448822,0.690215913342012
"IFIT1B",0,0,0,0,0,0,0,"Ifit1bl1",0.61058,0.664726,1.252236,41,42,60,0.842514,0.542736717332948
"IFIT1B",0,0,0,0,0,0,0,"Ifit1",0.521624,2.002527,0.590445,42,144,34,1.03819866666667,0.49062930731646
"IFIT2",0.112908,0.162317,0.22224,0.165821666666667,5,9,7,"Ifit2",0.955161,2.385726,1.571126,118,271,140,1.63733766666667,0.442044900583454
"IFIT3",0.92819,1.083419,1.343047,1.11821866666667,29,37,30,"Ifit3b",0.621353,1.327723,0.923532,38,75,40,0.957536,1.08208414387611
"IFIT3",0.92819,1.083419,1.343047,1.11821866666667,29,37,30,"Ifit3",1.182036,4.489921,2.262221,60,212,84,2.644726,0.581173637378137
"IFITM1",0,1.134483,0.684041,0.606174666666667,0,7,3,"Ifitm2",24.834228,21.260032,20.095662,368,293,214,22.0633073333333,0.0696419920808698
"IFITM1",0,1.134483,0.684041,0.606174666666667,0,7,3,"Ifitm1",2.293291,1.628093,1.602286,28,19,13,1.84122333333333,0.565310951737925
"IFITM1",0,1.134483,0.684041,0.606174666666667,0,7,3,"Ifitm3",23.421461,38.615354,25.59012,364,558,287,29.2089783333333,0.0531687847547752
"IFITM1",0,1.134483,0.684041,0.606174666666667,0,7,3,"Ifitm7",0,0,0,0,0,0,0,1.60617466666667
"IFITM10",2.519827,5.358807,1.878048,3.25222733333333,119,174,58,"Ifitm10",0.239288,0.249078,0.312662,8,7,5,0.267009333333333,3.35611366188305
"IFITM5",0.595835,0.132136,0,0.242657,4,1,0,"Ifitm5",0,0.111959,0.080609,0,2,1,0.0641893333333333,1.16770292754923
"IFNA1",0,0,0,0,0,0,0,"Ifna12",0,0,0,0,0,0,0,1
"IFNA1",0,0,0,0,0,0,0,"Ifnab",0,0,0,0,0,0,0,1
"IFNA1",0,0,0,0,0,0,0,"Ifna1",0,0,0,0,0,0,0,1
"IFNA1",0,0,0,0,0,0,0,"Ifna9",0,0,0,0,0,0,0,1
"IFNA1",0,0,0,0,0,0,0,"Ifna11",0,0,0,0,0,0,0,1
"IFNA1",0,0,0,0,0,0,0,"Ifna2",0,0,0,0,0,0,0,1
"IFNA1",0,0,0,0,0,0,0,"Ifna5",0,0,0,0,0,0,0,1
"IFNA1",0,0,0,0,0,0,0,"Ifna14",0,0,0,0,0,0,0,1
"IFNA1",0,0,0,0,0,0,0,"Ifna13",0,0,0,0,0,0,0,1
"IFNA1",0,0,0,0,0,0,0,"Ifna7",0,0,0,0,0,0,0,1
"IFNA1",0,0,0,0,0,0,0,"Ifna6",0,0,0,0,0,0,0,1
"IFNA1",0,0,0,0,0,0,0,"Ifna15",0,0,0,0,0,0,0,1
"IFNA1",0,0,0,0,0,0,0,"Ifna16",0,0,0,0,0,0,0,1
"IFNA1",0,0,0,0,0,0,0,"Ifna4",0,0,0,0,0,0,0,1
"IFNA10",0.099595,0,0,0.0331983333333333,1,0,0,"Ifna14",0,0,0,0,0,0,0,1.03319833333333
"IFNA10",0.099595,0,0,0.0331983333333333,1,0,0,"Ifna15",0,0,0,0,0,0,0,1.03319833333333
"IFNA10",0.099595,0,0,0.0331983333333333,1,0,0,"Ifna13",0,0,0,0,0,0,0,1.03319833333333
"IFNA10",0.099595,0,0,0.0331983333333333,1,0,0,"Ifna11",0,0,0,0,0,0,0,1.03319833333333
"IFNA10",0.099595,0,0,0.0331983333333333,1,0,0,"Ifna7",0,0,0,0,0,0,0,1.03319833333333
"IFNA10",0.099595,0,0,0.0331983333333333,1,0,0,"Ifna4",0,0,0,0,0,0,0,1.03319833333333
"IFNA10",0.099595,0,0,0.0331983333333333,1,0,0,"Ifna2",0,0,0,0,0,0,0,1.03319833333333
"IFNA10",0.099595,0,0,0.0331983333333333,1,0,0,"Ifna6",0,0,0,0,0,0,0,1.03319833333333
"IFNA10",0.099595,0,0,0.0331983333333333,1,0,0,"Ifna16",0,0,0,0,0,0,0,1.03319833333333
"IFNA10",0.099595,0,0,0.0331983333333333,1,0,0,"Ifna12",0,0,0,0,0,0,0,1.03319833333333
"IFNA10",0.099595,0,0,0.0331983333333333,1,0,0,"Ifna5",0,0,0,0,0,0,0,1.03319833333333
"IFNA10",0.099595,0,0,0.0331983333333333,1,0,0,"Ifnab",0,0,0,0,0,0,0,1.03319833333333
"IFNA10",0.099595,0,0,0.0331983333333333,1,0,0,"Ifna9",0,0,0,0,0,0,0,1.03319833333333
"IFNA10",0.099595,0,0,0.0331983333333333,1,0,0,"Ifna1",0,0,0,0,0,0,0,1.03319833333333
"IFNA13",0.184495,0.169054,0,0.117849666666667,1,1,0,"Ifna11",0,0,0,0,0,0,0,1.11784966666667
"IFNA13",0.184495,0.169054,0,0.117849666666667,1,1,0,"Ifnab",0,0,0,0,0,0,0,1.11784966666667
"IFNA13",0.184495,0.169054,0,0.117849666666667,1,1,0,"Ifna12",0,0,0,0,0,0,0,1.11784966666667
"IFNA13",0.184495,0.169054,0,0.117849666666667,1,1,0,"Ifna14",0,0,0,0,0,0,0,1.11784966666667
"IFNA13",0.184495,0.169054,0,0.117849666666667,1,1,0,"Ifna4",0,0,0,0,0,0,0,1.11784966666667
"IFNA13",0.184495,0.169054,0,0.117849666666667,1,1,0,"Ifna9",0,0,0,0,0,0,0,1.11784966666667
"IFNA13",0.184495,0.169054,0,0.117849666666667,1,1,0,"Ifna6",0,0,0,0,0,0,0,1.11784966666667
"IFNA13",0.184495,0.169054,0,0.117849666666667,1,1,0,"Ifna1",0,0,0,0,0,0,0,1.11784966666667
"IFNA13",0.184495,0.169054,0,0.117849666666667,1,1,0,"Ifna5",0,0,0,0,0,0,0,1.11784966666667
"IFNA13",0.184495,0.169054,0,0.117849666666667,1,1,0,"Ifna7",0,0,0,0,0,0,0,1.11784966666667
"IFNA13",0.184495,0.169054,0,0.117849666666667,1,1,0,"Ifna15",0,0,0,0,0,0,0,1.11784966666667
"IFNA13",0.184495,0.169054,0,0.117849666666667,1,1,0,"Ifna2",0,0,0,0,0,0,0,1.11784966666667
"IFNA13",0.184495,0.169054,0,0.117849666666667,1,1,0,"Ifna13",0,0,0,0,0,0,0,1.11784966666667
"IFNA13",0.184495,0.169054,0,0.117849666666667,1,1,0,"Ifna16",0,0,0,0,0,0,0,1.11784966666667
"IFNA14",0,0,0,0,0,0,0,"Ifna2",0,0,0,0,0,0,0,1
"IFNA14",0,0,0,0,0,0,0,"Ifna12",0,0,0,0,0,0,0,1
"IFNA14",0,0,0,0,0,0,0,"Ifnab",0,0,0,0,0,0,0,1
"IFNA14",0,0,0,0,0,0,0,"Ifna15",0,0,0,0,0,0,0,1
"IFNA14",0,0,0,0,0,0,0,"Ifna7",0,0,0,0,0,0,0,1
"IFNA14",0,0,0,0,0,0,0,"Ifna5",0,0,0,0,0,0,0,1
"IFNA14",0,0,0,0,0,0,0,"Ifna1",0,0,0,0,0,0,0,1
"IFNA14",0,0,0,0,0,0,0,"Ifna4",0,0,0,0,0,0,0,1
"IFNA14",0,0,0,0,0,0,0,"Ifna9",0,0,0,0,0,0,0,1
"IFNA14",0,0,0,0,0,0,0,"Ifna13",0,0,0,0,0,0,0,1
"IFNA14",0,0,0,0,0,0,0,"Ifna11",0,0,0,0,0,0,0,1
"IFNA14",0,0,0,0,0,0,0,"Ifna6",0,0,0,0,0,0,0,1
"IFNA14",0,0,0,0,0,0,0,"Ifna16",0,0,0,0,0,0,0,1
"IFNA14",0,0,0,0,0,0,0,"Ifna14",0,0,0,0,0,0,0,1
"IFNA16",0,0,0,0,0,0,0,"Ifna7",0,0,0,0,0,0,0,1
"IFNA16",0,0,0,0,0,0,0,"Ifna11",0,0,0,0,0,0,0,1
"IFNA16",0,0,0,0,0,0,0,"Ifna12",0,0,0,0,0,0,0,1
"IFNA16",0,0,0,0,0,0,0,"Ifna4",0,0,0,0,0,0,0,1
"IFNA16",0,0,0,0,0,0,0,"Ifna5",0,0,0,0,0,0,0,1
"IFNA16",0,0,0,0,0,0,0,"Ifna13",0,0,0,0,0,0,0,1
"IFNA16",0,0,0,0,0,0,0,"Ifna6",0,0,0,0,0,0,0,1
"IFNA16",0,0,0,0,0,0,0,"Ifna1",0,0,0,0,0,0,0,1
"IFNA16",0,0,0,0,0,0,0,"Ifna16",0,0,0,0,0,0,0,1
"IFNA16",0,0,0,0,0,0,0,"Ifna9",0,0,0,0,0,0,0,1
"IFNA16",0,0,0,0,0,0,0,"Ifna2",0,0,0,0,0,0,0,1
"IFNA16",0,0,0,0,0,0,0,"Ifna15",0,0,0,0,0,0,0,1
"IFNA16",0,0,0,0,0,0,0,"Ifnab",0,0,0,0,0,0,0,1
"IFNA16",0,0,0,0,0,0,0,"Ifna14",0,0,0,0,0,0,0,1
"IFNA17",0,0,0,0,0,0,0,"Ifna2",0,0,0,0,0,0,0,1
"IFNA17",0,0,0,0,0,0,0,"Ifna9",0,0,0,0,0,0,0,1
"IFNA17",0,0,0,0,0,0,0,"Ifna7",0,0,0,0,0,0,0,1
"IFNA17",0,0,0,0,0,0,0,"Ifna15",0,0,0,0,0,0,0,1
"IFNA17",0,0,0,0,0,0,0,"Ifna14",0,0,0,0,0,0,0,1
"IFNA17",0,0,0,0,0,0,0,"Ifna4",0,0,0,0,0,0,0,1
"IFNA17",0,0,0,0,0,0,0,"Ifna6",0,0,0,0,0,0,0,1
"IFNA17",0,0,0,0,0,0,0,"Ifna5",0,0,0,0,0,0,0,1
"IFNA17",0,0,0,0,0,0,0,"Ifna13",0,0,0,0,0,0,0,1
"IFNA17",0,0,0,0,0,0,0,"Ifnab",0,0,0,0,0,0,0,1
"IFNA17",0,0,0,0,0,0,0,"Ifna12",0,0,0,0,0,0,0,1
"IFNA17",0,0,0,0,0,0,0,"Ifna1",0,0,0,0,0,0,0,1
"IFNA17",0,0,0,0,0,0,0,"Ifna11",0,0,0,0,0,0,0,1
"IFNA17",0,0,0,0,0,0,0,"Ifna16",0,0,0,0,0,0,0,1
"IFNA2",0,0,0,0,0,0,0,"Ifna13",0,0,0,0,0,0,0,1
"IFNA2",0,0,0,0,0,0,0,"Ifna11",0,0,0,0,0,0,0,1
"IFNA2",0,0,0,0,0,0,0,"Ifna2",0,0,0,0,0,0,0,1
"IFNA2",0,0,0,0,0,0,0,"Ifna6",0,0,0,0,0,0,0,1
"IFNA2",0,0,0,0,0,0,0,"Ifna12",0,0,0,0,0,0,0,1
"IFNA2",0,0,0,0,0,0,0,"Ifna7",0,0,0,0,0,0,0,1
"IFNA2",0,0,0,0,0,0,0,"Ifna4",0,0,0,0,0,0,0,1
"IFNA2",0,0,0,0,0,0,0,"Ifna15",0,0,0,0,0,0,0,1
"IFNA2",0,0,0,0,0,0,0,"Ifna9",0,0,0,0,0,0,0,1
"IFNA2",0,0,0,0,0,0,0,"Ifna5",0,0,0,0,0,0,0,1
"IFNA2",0,0,0,0,0,0,0,"Ifna1",0,0,0,0,0,0,0,1
"IFNA2",0,0,0,0,0,0,0,"Ifna14",0,0,0,0,0,0,0,1
"IFNA2",0,0,0,0,0,0,0,"Ifnab",0,0,0,0,0,0,0,1
"IFNA2",0,0,0,0,0,0,0,"Ifna16",0,0,0,0,0,0,0,1
"IFNA21",0.096367,0,0,0.0321223333333333,1,0,0,"Ifna5",0,0,0,0,0,0,0,1.03212233333333
"IFNA21",0.096367,0,0,0.0321223333333333,1,0,0,"Ifnab",0,0,0,0,0,0,0,1.03212233333333
"IFNA21",0.096367,0,0,0.0321223333333333,1,0,0,"Ifna1",0,0,0,0,0,0,0,1.03212233333333
"IFNA21",0.096367,0,0,0.0321223333333333,1,0,0,"Ifna2",0,0,0,0,0,0,0,1.03212233333333
"IFNA21",0.096367,0,0,0.0321223333333333,1,0,0,"Ifna11",0,0,0,0,0,0,0,1.03212233333333
"IFNA21",0.096367,0,0,0.0321223333333333,1,0,0,"Ifna4",0,0,0,0,0,0,0,1.03212233333333
"IFNA21",0.096367,0,0,0.0321223333333333,1,0,0,"Ifna15",0,0,0,0,0,0,0,1.03212233333333
"IFNA21",0.096367,0,0,0.0321223333333333,1,0,0,"Ifna6",0,0,0,0,0,0,0,1.03212233333333
"IFNA21",0.096367,0,0,0.0321223333333333,1,0,0,"Ifna12",0,0,0,0,0,0,0,1.03212233333333
"IFNA21",0.096367,0,0,0.0321223333333333,1,0,0,"Ifna14",0,0,0,0,0,0,0,1.03212233333333
"IFNA21",0.096367,0,0,0.0321223333333333,1,0,0,"Ifna7",0,0,0,0,0,0,0,1.03212233333333
"IFNA21",0.096367,0,0,0.0321223333333333,1,0,0,"Ifna16",0,0,0,0,0,0,0,1.03212233333333
"IFNA21",0.096367,0,0,0.0321223333333333,1,0,0,"Ifna9",0,0,0,0,0,0,0,1.03212233333333
"IFNA21",0.096367,0,0,0.0321223333333333,1,0,0,"Ifna13",0,0,0,0,0,0,0,1.03212233333333
"IFNA4",0,0.089706,0,0.029902,0,1,0,"Ifna1",0,0,0,0,0,0,0,1.029902
"IFNA4",0,0.089706,0,0.029902,0,1,0,"Ifna6",0,0,0,0,0,0,0,1.029902
"IFNA4",0,0.089706,0,0.029902,0,1,0,"Ifna4",0,0,0,0,0,0,0,1.029902
"IFNA4",0,0.089706,0,0.029902,0,1,0,"Ifna7",0,0,0,0,0,0,0,1.029902
"IFNA4",0,0.089706,0,0.029902,0,1,0,"Ifna14",0,0,0,0,0,0,0,1.029902
"IFNA4",0,0.089706,0,0.029902,0,1,0,"Ifnab",0,0,0,0,0,0,0,1.029902
"IFNA4",0,0.089706,0,0.029902,0,1,0,"Ifna2",0,0,0,0,0,0,0,1.029902
"IFNA4",0,0.089706,0,0.029902,0,1,0,"Ifna16",0,0,0,0,0,0,0,1.029902
"IFNA4",0,0.089706,0,0.029902,0,1,0,"Ifna9",0,0,0,0,0,0,0,1.029902
"IFNA4",0,0.089706,0,0.029902,0,1,0,"Ifna15",0,0,0,0,0,0,0,1.029902
"IFNA4",0,0.089706,0,0.029902,0,1,0,"Ifna13",0,0,0,0,0,0,0,1.029902
"IFNA4",0,0.089706,0,0.029902,0,1,0,"Ifna11",0,0,0,0,0,0,0,1.029902
"IFNA4",0,0.089706,0,0.029902,0,1,0,"Ifna5",0,0,0,0,0,0,0,1.029902
"IFNA4",0,0.089706,0,0.029902,0,1,0,"Ifna12",0,0,0,0,0,0,0,1.029902
"IFNA5",0,0,0,0,0,0,0,"Ifnab",0,0,0,0,0,0,0,1
"IFNA5",0,0,0,0,0,0,0,"Ifna2",0,0,0,0,0,0,0,1
"IFNA5",0,0,0,0,0,0,0,"Ifna16",0,0,0,0,0,0,0,1
"IFNA5",0,0,0,0,0,0,0,"Ifna7",0,0,0,0,0,0,0,1
"IFNA5",0,0,0,0,0,0,0,"Ifna5",0,0,0,0,0,0,0,1
"IFNA5",0,0,0,0,0,0,0,"Ifna12",0,0,0,0,0,0,0,1
"IFNA5",0,0,0,0,0,0,0,"Ifna6",0,0,0,0,0,0,0,1
"IFNA5",0,0,0,0,0,0,0,"Ifna15",0,0,0,0,0,0,0,1
"IFNA5",0,0,0,0,0,0,0,"Ifna9",0,0,0,0,0,0,0,1
"IFNA5",0,0,0,0,0,0,0,"Ifna13",0,0,0,0,0,0,0,1
"IFNA5",0,0,0,0,0,0,0,"Ifna14",0,0,0,0,0,0,0,1
"IFNA5",0,0,0,0,0,0,0,"Ifna1",0,0,0,0,0,0,0,1
"IFNA5",0,0,0,0,0,0,0,"Ifna11",0,0,0,0,0,0,0,1
"IFNA5",0,0,0,0,0,0,0,"Ifna4",0,0,0,0,0,0,0,1
"IFNA6",0,0,0,0,0,0,0,"Ifna6",0,0,0,0,0,0,0,1
"IFNA6",0,0,0,0,0,0,0,"Ifna14",0,0,0,0,0,0,0,1
"IFNA6",0,0,0,0,0,0,0,"Ifna2",0,0,0,0,0,0,0,1
"IFNA6",0,0,0,0,0,0,0,"Ifna15",0,0,0,0,0,0,0,1
"IFNA6",0,0,0,0,0,0,0,"Ifna13",0,0,0,0,0,0,0,1
"IFNA6",0,0,0,0,0,0,0,"Ifnab",0,0,0,0,0,0,0,1
"IFNA6",0,0,0,0,0,0,0,"Ifna12",0,0,0,0,0,0,0,1
"IFNA6",0,0,0,0,0,0,0,"Ifna5",0,0,0,0,0,0,0,1
"IFNA6",0,0,0,0,0,0,0,"Ifna11",0,0,0,0,0,0,0,1
"IFNA6",0,0,0,0,0,0,0,"Ifna1",0,0,0,0,0,0,0,1
"IFNA6",0,0,0,0,0,0,0,"Ifna16",0,0,0,0,0,0,0,1
"IFNA6",0,0,0,0,0,0,0,"Ifna4",0,0,0,0,0,0,0,1
"IFNA6",0,0,0,0,0,0,0,"Ifna7",0,0,0,0,0,0,0,1
"IFNA6",0,0,0,0,0,0,0,"Ifna9",0,0,0,0,0,0,0,1
"IFNA7",0,0,0,0,0,0,0,"Ifnab",0,0,0,0,0,0,0,1
"IFNA7",0,0,0,0,0,0,0,"Ifna1",0,0,0,0,0,0,0,1
"IFNA7",0,0,0,0,0,0,0,"Ifna14",0,0,0,0,0,0,0,1
"IFNA7",0,0,0,0,0,0,0,"Ifna4",0,0,0,0,0,0,0,1
"IFNA7",0,0,0,0,0,0,0,"Ifna11",0,0,0,0,0,0,0,1
"IFNA7",0,0,0,0,0,0,0,"Ifna6",0,0,0,0,0,0,0,1
"IFNA7",0,0,0,0,0,0,0,"Ifna16",0,0,0,0,0,0,0,1
"IFNA7",0,0,0,0,0,0,0,"Ifna9",0,0,0,0,0,0,0,1
"IFNA7",0,0,0,0,0,0,0,"Ifna7",0,0,0,0,0,0,0,1
"IFNA7",0,0,0,0,0,0,0,"Ifna2",0,0,0,0,0,0,0,1
"IFNA7",0,0,0,0,0,0,0,"Ifna5",0,0,0,0,0,0,0,1
"IFNA7",0,0,0,0,0,0,0,"Ifna15",0,0,0,0,0,0,0,1
"IFNA7",0,0,0,0,0,0,0,"Ifna13",0,0,0,0,0,0,0,1
"IFNA7",0,0,0,0,0,0,0,"Ifna12",0,0,0,0,0,0,0,1
"IFNA8",0,0,0,0,0,0,0,"Ifna1",0,0,0,0,0,0,0,1
"IFNA8",0,0,0,0,0,0,0,"Ifna6",0,0,0,0,0,0,0,1
"IFNA8",0,0,0,0,0,0,0,"Ifna11",0,0,0,0,0,0,0,1
"IFNA8",0,0,0,0,0,0,0,"Ifna16",0,0,0,0,0,0,0,1
"IFNA8",0,0,0,0,0,0,0,"Ifna14",0,0,0,0,0,0,0,1
"IFNA8",0,0,0,0,0,0,0,"Ifna4",0,0,0,0,0,0,0,1
"IFNA8",0,0,0,0,0,0,0,"Ifna15",0,0,0,0,0,0,0,1
"IFNA8",0,0,0,0,0,0,0,"Ifna2",0,0,0,0,0,0,0,1
"IFNA8",0,0,0,0,0,0,0,"Ifna13",0,0,0,0,0,0,0,1
"IFNA8",0,0,0,0,0,0,0,"Ifna7",0,0,0,0,0,0,0,1
"IFNA8",0,0,0,0,0,0,0,"Ifnab",0,0,0,0,0,0,0,1
"IFNA8",0,0,0,0,0,0,0,"Ifna9",0,0,0,0,0,0,0,1
"IFNA8",0,0,0,0,0,0,0,"Ifna5",0,0,0,0,0,0,0,1
"IFNA8",0,0,0,0,0,0,0,"Ifna12",0,0,0,0,0,0,0,1
"IFNAR1",19.366391,23.650216,20.390295,21.135634,1259,1421,921,"Ifnar1",3.405326,4.280927,3.246448,261,220,206,3.64423366666667,4.76626190427829
"IFNAR2",14.353038,10.881525,11.731123,12.3218953333333,260,215,150,"Ifnar2",5.999133,7.080726,7.237535,164,155,140,6.77246466666667,1.71398596258227
"IFNB1",0,0,0,0,0,0,0,"Ifnb1",0,0,0,0,0,0,0,1
"IFNE",0,0,0,0,0,0,0,"Ifne",0,0,0,0,0,0,0,1
"IFNG",0,0,0,0,0,0,0,"Ifng",0,0,0,0,0,0,0,1
"IFNGR1",14.847517,15.032102,16.307109,15.395576,317,337,241,"Ifngr1",19.318275,19.336161,9.349523,505,483,304,16.0013196666667,0.964370785412952
"IFNGR2",30.702918,29.102023,33.673893,31.1596113333333,515,556,380,"Ifngr2",42.317551,47.750824,60.610158,1535,1670,1509,50.2261776666667,0.627796427494529
"IFNK",0,0,0,0,0,0,0,"Ifnk",0,0,0,0,0,0,0,1
"IFNL2",0,0.091238,0,0.0304126666666667,0,1,0,"Ifnl3",0,0,0,0,0,0,0,1.03041266666667
"IFNL2",0,0.091238,0,0.0304126666666667,0,1,0,"Ifnl2",0,0,0,0,0,0,0,1.03041266666667
"IFNL3",0,0,0,0,0,0,0,"Ifnl2",0,0,0,0,0,0,0,1
"IFNL3",0,0,0,0,0,0,0,"Ifnl3",0,0,0,0,0,0,0,1
"IFNLR1",0.871348,0.98405,1.553376,1.136258,54,66,59,"Ifnlr1",0.308991,0.204965,0.181594,43,27,18,0.23185,1.73418679222308
"IFRD1",55.959412,66.542577,55.709859,59.4039493333333,636,701,448,"Ifrd1",12.848319,14.342299,13.673718,279,273,191,13.6214453333333,4.13118867227353
"IFRD2",9.905528,13.928077,17.32232,13.7186416666667,80,106,85,"Ifrd2",8.535484,12.327828,11.01452,212,244,198,10.625944,1.26601690724355
"IFT122",24.159826,35.019107,35.61255,31.597161,267,297,239,"Ift122",2.612841,1.847177,2.982327,157,107,99,2.48078166666667,9.3648967736653
"IFT140",11.104076,10.809069,12.168793,11.360646,369,375,255,"Ift140",1.128777,0.804961,0.939324,71,55,50,0.957687333333333,6.31390201567768
"IFT172",15.730313,20.934255,18.480054,18.3815406666667,409,487,314,"Ift172",9.88238,10.323866,7.941629,370,358,283,9.382625,1.86672837232074
"IFT20",24.386065,27.070598,30.548952,27.335205,216,269,204,"Ift20",9.213464,8.423856,8.603246,172,157,113,8.74685533333333,2.90711250254185
"IFT22",16.517453,21.238637,16.543676,18.099922,365,458,264,"Ift22",2.135308,2.760105,1.701039,47,54,36,2.19881733333333,5.97093238209288
"IFT27",46.410031,38.896033,53.425676,46.2439133333333,567,541,418,"Ift27",2.258043,2.366869,3.523987,48,33,36,2.71629966666667,12.7126221163184
"IFT43",17.916698,16.782304,15.069566,16.5895226666667,131,132,90,"Ift43",6.623541,6.546413,7.229828,101,96,86,6.79992733333333,2.25508801748666
"IFT46",14.173227,15.591197,14.71934,14.8279213333333,180,217,158,"Ift46",12.483401,15.405448,36.538782,103,68,78,21.475877,0.704218186161694
"IFT52",184.152457,120.972037,142.906784,149.343759333333,389,360,310,"Ift52",7.074756,6.470658,3.767006,211,200,148,5.77080666666667,22.2047042154504
"IFT57",52.347117,40.249727,35.660821,42.752555,453,424,271,"Ift57",2.245271,2.862276,4.009431,62,53,44,3.03899266666667,10.8325413316753
"IFT74",4.345328,4.877459,4.130061,4.45094933333333,97,100,77,"Ift74",0.479582,0.634068,0.967571,31,32,37,0.693740333333333,3.21829103674097
"IFT80",32.344386,21.451406,22.065539,25.2871103333333,443,486,384,"Ift80",1.988923,0.87588,0.832219,53,54,65,1.23234066666667,11.7755818929668
"IFT81",21.424874,18.298489,23.640566,21.1213096666667,401,376,315,"Ift81",15.416974,14.540605,11.346681,444,398,325,13.7680866666667,1.49791304493067
"IFT88",8.737876,6.386033,6.474616,7.19950833333333,167,194,106,"Ift88",1.153851,1.643051,1.676844,71,64,43,1.49124866666667,3.29132472524488
"IFTAP",25.117611,27.914869,19.455089,24.162523,125,160,91,"Iftap",57.853004,64.591022,67.634871,426,427,327,63.3596323333333,0.390967475850041
"IGBP1",20.932139,23.716961,21.976045,22.2083816666667,427,531,318,"Igbp1",6.766741,6.870251,7.819061,304,285,249,7.15201766666667,2.84694938304231
"IGDCC3",6.392328,5.046018,11.098856,7.51240066666667,240,171,251,"Igdcc3",0.009715,0.057003,0.013895,1,2,1,0.026871,8.28964949508426
"IGDCC4",9.979254,12.102669,12.58444,11.5554543333333,501,653,444,"Igdcc4",0.835572,1.007915,0.957372,177,200,137,0.933619666666667,6.49323884617778
"IGF1",0.145486,0.21189,0,0.119125333333333,4,22,0,"Igf1",1.084076,1.143189,0.937985,123,116,95,1.05508333333333,0.544564453996188
"IGF1R",29.602777,17.699862,22.876561,23.3930666666667,1426,1422,1213,"Igf1r",1.103372,0.692675,1.234216,305,249,217,1.01008766666667,12.1353247777087
