"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"ABCC3",0.450343,0.479305,0,0.309882666666667,4,3,0,"Abcc3",0.252275,0.270166,0.237298,18,12,7,0.253246333333333,1.04519170080689
"ABCC4",4.728571,5.721667,5.325962,5.25873333333333,242,283,134,"Abcc4",1.07834,1.027357,0.899832,184,175,110,1.001843,3.12648561017689
"ABCC5",41.572952,43.888857,45.250485,43.5707646666667,1760,2095,1575,"Abcc5",10.385666,13.130438,7.183393,582,426,255,10.2331656666667,3.96778307996704
"ABCC6",0.688326,0.691802,0.278854,0.552994,12,21,8,"Abcc6",0,0,0,0,0,0,0,1.552994
"ABCC8",44.948896,46.276289,61.444417,50.8898673333333,566,656,646,"Abcc8",5.196664,5.907268,4.973336,286,348,267,5.35908933333333,8.1599525676318
"ABCC9",1.51249,0.676152,0.605353,0.931331666666667,166,81,48,"Abcc9",19.684747,22.99213,23.672163,4837,5123,4198,22.1163466666667,0.0835483086716125
"ABCD1",6.614678,7.050127,8.893207,7.51933733333333,192,234,142,"Abcd1",2.313105,2.752033,3.025499,286,317,273,2.696879,2.3044674530417
"ABCD2",1.111828,0.947205,1.460715,1.17324933333333,91,82,86,"Abcd2",0.907229,0.389841,2.345446,72,65,60,1.214172,0.981517846550915
"ABCD3",14.822618,16.086553,17.331049,16.0800733333333,639,817,573,"Abcd3",13.628574,15.300532,16.369644,1441,1359,1208,15.0995833333333,1.06090157612775
"ABCD4",49.321733,40.153747,59.337327,49.604269,485,502,452,"Abcd4",0.85394,1.106506,1.124445,67,57,53,1.028297,24.9491415704899
"ABCE1",40.838605,40.205738,45.232008,42.092117,918,1004,713,"Abce1",6.423351,6.420801,6.784214,778,717,590,6.54278866666667,5.71302192124699
"ABCF1",46.260735,63.760304,59.860432,56.627157,625,761,519,"Abcf1",14.572771,13.528038,17.357068,822,833,714,15.1526256666667,3.56766498458032
"ABCF2",26.268774,19.429182,42.181654,29.2932033333333,443,535,432,"Abcf2",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,3.57873331750042
"ABCF3",49.775637,52.727308,46.588001,49.696982,554,722,457,"Abcf3",56.843927,45.142544,60.394936,472,407,364,54.1271356666667,0.919637514028406
"ABCG1",7.097047,8.637267,8.443098,8.05913733333333,274,360,227,"Abcg1",0.251662,0.952119,0.477321,40,67,36,0.560367333333333,5.80577223055597
"ABCG2",0.071606,0.158845,0.025076,0.0851756666666667,4,11,1,"Abcg3",0.080428,0.035451,0.075727,7,3,5,0.0638686666666667,1.02002784804891
"ABCG4",11.183928,15.998495,13.278866,13.4870963333333,433,622,404,"Abcg4",0.127302,0.011319,0.156331,3,1,1,0.0983173333333333,13.1902646836737
"ABCG5",0.093551,0.161392,0.087861,0.114268,3,7,2,"Abcg5",0,0,0,0,0,0,0,1.114268
"ABCG8",0.279919,0.336852,0.476524,0.364431666666667,19,25,16,"Abcg8",0,0,0,0,0,0,0,1.36443166666667
"ABHD1",1.219066,0.595476,1.404846,1.07312933333333,17,18,14,"Abhd1",0.884254,0.707662,0.256382,35,26,7,0.616099333333333,1.28279821083605
"ABHD10",20.734833,22.479951,21.319982,21.5115886666667,502,570,353,"Abhd10",2.955729,5.14223,4.358272,111,153,102,4.152077,4.36942007401416
"ABHD11",5.79209,6.6316,4.983045,5.802245,56,74,48,"Abhd11",8.843995,9.876887,10.511257,261,260,220,9.74404633333333,0.633117615929864
"ABHD12",62.698382,74.955257,56.465736,64.7064583333333,591,762,413,"Abhd12",14.072634,12.994731,16.910777,328,371,288,14.6593806666667,4.19598065415188
"ABHD12B",3.562703,1.658765,4.615794,3.27908733333333,22,21,30,"Abhd12b",0,0,0,0,0,0,0,4.27908733333333
"ABHD13",2.86622,3.359063,3.388676,3.204653,195,241,166,"Abhd13",1.612849,1.579601,1.789031,270,250,213,1.66049366666667,1.58040331111482
"ABHD14A",25.012009,25.594496,21.460029,24.022178,268,287,164,"Abhd14a",2.996884,2.658814,3.062354,93,81,73,2.90601733333333,6.40605912996461
