"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ELL2",1.390612,1.471309,0.766443,109,85,43,15.161078,"Ell2",12.512611,10.558038,7.726563,120,467,240,10.2657373333333,1.43453353489631
"ELL3",1.268147,2.048069,1.268056,8,13,5,0.057944,"Ell3",1.463093,1.073343,0.904615,17,49,24,1.147017,0.49275063960835
"ELMO1",31.48247,23.628035,22.096811,398,322,272,1.90066466666667,"Elmo1",25.658875,26.797303,29.939912,759,3029,1871,27.4653633333333,0.101901550761867
"ELMO2",44.842921,53.449021,67.055386,953,1062,844,0.082285,"Elmo2",65.44795,66.83421,77.462718,940,3633,2347,69.9149593333333,0.0152617305315336
"ELMO3",0.647212,1.163919,0.781475,12,33,16,1.126097,"Elmo3",2.163652,4.772567,5.365705,25,154,77,4.10064133333333,0.416829347734311
"ELMOD1",15.874686,13.468118,17.27713,489,463,369,0.0416093333333333,"Elmod1",71.804534,63.864064,71.658671,1095,3571,2272,69.1090896666667,0.0148569798621785
"ELMOD2",14.081163,14.789346,14.733661,691,686,546,31.0534796666667,"Elmod2",4.993979,5.495876,6.413853,140,580,352,5.63456933333333,4.83128264341499
"ELMOD3",10.668647,14.679369,12.42119,175,202,134,10.0222193333333,"Elmod3",12.4111,9.113762,9.351655,121,438,240,10.2921723333333,0.976093793821838
"ELN",0.719889,1.396989,1.858166,4,12,15,39.504589,"Eln",0.766879,1.442668,1.067865,19,126,54,1.09247066666667,19.3573031370253
"ELOA",7.99401,10.175863,11.357229,531,671,500,13.9500203333333,"Eloa",6.31982,5.946434,6.89397,202,722,474,6.38674133333333,2.02389926202912
"ELOB",263.019603,306.356188,315.461469,731,954,625,30.482744,"Elob",227.453773,307.934327,296.351266,316,1522,863,277.246455333333,0.113146972392817
"ELOC",87.325152,79.073439,75.217122,685,656,466,148.366805333333,"Eloc",206.227215,152.820705,177.584688,633,2127,1335,178.877536,0.830380539198254
"ELOF1",21.63522,24.731313,23.688958,185,233,153,5.698544,"Elof1",33.980458,30.426382,31.300759,146,520,300,31.902533,0.203587486714169
"ELOVL1",14.806663,11.578067,11.954455,158,153,94,1.824155,"Elovl1",13.497053,17.395047,17.077559,86,444,246,15.9898863333333,0.166225655933857
"ELOVL2",1.39879,1.284837,2.310301,73,72,86,30.7590283333333,"Elovl2",8.538296,7.721355,9.970776,217,736,544,8.74347566666667,3.25951738577066
"ELOVL3",0.245154,0.280439,0,4,5,0,0.0596233333333333,"Elovl3",0,0,0,0,0,0,0,1.05962333333333
"ELOVL4",50.870506,49.276562,49.414203,1921,1991,1335,39.4021443333333,"Elovl4",19.8185,19.240125,19.406037,394,1401,810,19.4882206666667,1.9719694057701
"ELOVL5",38.477604,34.841854,32.753265,1316,1309,805,405.324351,"Elovl5",52.534831,53.256293,47.385017,855,2774,1557,51.0587136666667,7.80511699927328
"ELOVL6",101.392257,81.635746,58.518182,1254,1154,860,0.091171,"Elovl6",12.366874,13.783529,14.040552,495,2085,1208,13.396985,0.0757916327619984
"ELOVL7",0.709328,1.392905,0.877031,27,71,27,5.20778366666667,"Elovl7",7.128147,9.084958,9.902946,165,801,475,8.70535033333333,0.639624892812559
"ELP1",75.34813,69.785791,95.011973,2526,2578,2081,5.30656633333333,"Elp1",20.037835,31.172982,35.069655,315,1537,949,28.7601573333333,0.211913070979284
"ELP2",57.147717,65.822088,75.889613,1085,1175,813,0,"Elp2",32.974664,39.093553,39.868794,440,1733,1077,37.312337,0.0261012529723781
"ELP3",23.311947,30.871492,36.613031,468,565,411,9.12819166666667,"Elp3",20.644267,22.544981,24.916716,384,1588,997,22.701988,0.427314015460082
"ELP4",3.233257,12.797615,11.114609,114,160,108,0.428770666666667,"Elp4",8.587852,10.054026,10.006203,100,377,238,9.54936033333333,0.13543671099679
"ELP5",24.975294,34.78088,31.237452,263,359,254,0,"Elp5",35.003561,48.595062,53.321557,151,730,448,45.64006,0.021440795745117
"ELP6",21.538164,19.098668,28.933094,215,223,211,0.0712923333333333,"Elp6",6.006234,6.816964,9.212006,34,184,130,7.345068,0.128374308433836
"EMB",21.764232,15.330793,15.126039,846,750,514,23.7947203333333,"Emb",16.512118,17.212535,16.666648,304,1193,662,16.7971003333333,1.39318877058268
"EMC1",35.716835,36.108345,31.573488,965,1145,745,0.259120333333333,"Emc1",16.157113,19.272949,15.008361,348,1653,929,16.8128076666667,0.0706862363808902
"EMC10",65.44798,79.122359,78.553251,1586,2146,1306,1.92861033333333,"Emc10",60.127097,65.607998,66.265104,574,2417,1396,64.0000663333333,0.0450554976100306
"EMC2",51.994821,47.523885,47.172122,321,401,235,3.02523,"Emc2",22.155161,27.418604,26.385364,158,732,398,25.3197096666667,0.152935957538235
"EMC3",50.71561,55.555653,52.081503,588,678,440,1.82462066666667,"Emc3",30.678237,29.248234,28.724743,377,1377,755,29.5504046666667,0.0924577169266956
"EMC4",84.924007,89.772899,79.15172,517,585,376,6.39037866666667,"Emc4",70.619924,68.782752,69.128161,376,1372,767,69.510279,0.104812784341226
"EMC6",18.462991,24.364287,18.656096,107,159,78,22.5797363333333,"Emc6",24.270556,21.331355,24.320248,189,608,344,23.3073863333333,0.970064654832833
"EMC7",66.26823,67.521466,52.839433,562,642,347,24.5649516666667,"Emc7",22.148762,19.307558,20.825206,887,2888,1767,20.7605086666667,1.17483244800374
"EMC8",16.409126,16.56561,23.973498,166,213,153,33.5285523333333,"Emc8",25.400114,35.43349,43.58756,399,1512,902,34.8070546666667,0.964294680329474
"EMC9",14.629148,12.171897,14.473136,102,101,80,0.332422333333333,"Emc9",32.757949,43.765454,42.287761,93,422,215,39.6037213333333,0.0328152762746771
"EMCN",0,0.249578,0.033883,0,3,1,0.00820933333333333,"Emcn",9.128691,5.830533,9.427095,47,155,99,8.128773,0.110443028141168
"EMD",29.045127,43.986737,41.427694,245,394,238,53.8025663333333,"Emd",20.927569,18.78831,19.52901,146,492,305,19.7482963333333,2.64130439689594
"EME1",0.332738,1.509016,1.091013,6,9,9,0.0827073333333333,"Eme1",0.063315,0.075711,0.116854,1,4,4,0.0852933333333333,0.997617234050395
"EME2",32.272831,33.29241,29.251578,1003,1143,803,0.0239966666666667,"Eme2",7.852975,12.773869,10.527863,102,510,251,10.3849023333333,0.0899433861341571
"EMG1",4.44828,6.770286,6.441862,100,152,74,14.4929333333333,"Emg1",40.699662,37.937777,46.430453,144,540,351,41.6892973333333,0.362923128304478
"EMID1",3.178592,5.048836,7.566328,72,124,90,129.066732,"Emid1",3.710059,3.356037,5.045694,23,95,78,4.03726333333333,25.8209117516853
"EMILIN1",0.707778,0.476473,2.892471,19,24,60,60.2428463333333,"Emilin1",0.410637,1.435755,1.665194,11,65,32,1.17052866666667,28.2156357913418
"EMILIN2",0.681168,1.324665,0.146753,30,52,8,0.084297,"Emilin2",3.682959,6.069679,2.241845,77,273,107,3.998161,0.216939190234168
"EMILIN3",1.45878,2.389304,2.605426,70,128,88,6.279534,"Emilin3",0.870471,0.916502,1.29883,20,80,65,1.028601,3.58845036554749
"EML1",91.515478,80.783615,127.312487,1351,1222,1382,23.2464073333333,"Eml1",50.573101,68.377195,63.598365,533,1951,1143,60.8495536666667,0.392022349328622
"EML2",193.279564,265.951001,194.764686,543,877,403,13.4974836666667,"Eml2",82.893896,99.483708,107.742419,692,3539,1826,96.7066743333333,0.148377618679431
"EML3",8.938333,4.731113,6.110526,74,75,48,4.23020833333333,"Eml3",16.574598,21.787713,27.05737,117,521,314,21.8065603333333,0.229329116573928
"EML4",23.676232,23.90335,28.006818,1378,1491,1223,0,"Eml4",4.843343,5.752792,6.140077,162,712,438,5.57873733333333,0.152004852805594
"EML5",2.017136,1.489203,1.996063,81,101,99,6.66533733333333,"Eml5",26.521691,37.626928,35.165965,380,1952,1037,33.1048613333333,0.224757909390513
"EML6",13.007885,12.883856,13.378404,193,238,131,239.557816666667,"Eml6",8.501633,13.065828,7.799689,192,709,453,9.78905,22.2964780649517
"EMP1",0.847197,1.769646,4.486692,3,19,46,3.607705,"Emp1",0.729565,1.406174,1.364825,13,97,43,1.16685466666667,2.12644856661668
"EMP2",0.553229,0.592206,1.132357,34,40,49,0.923714,"Emp2",6.390412,6.330657,7.77654,147,556,385,6.83253633333333,0.245605499691479
"EMP3",16.64868,22.4079,38.543682,19,19,21,4.63147266666667,"Emp3",7.359429,5.028855,5.930132,8,29,17,6.10613866666667,0.792479985379777
"EMSY",13.013318,10.027329,11.319968,268,275,229,0,"Emsy",26.501907,23.032089,24.706973,319,1272,796,24.7469896666667,0.0388394920317481
"EMX1",0.106447,0.092337,0,2,1,0,9.64845666666667,"Emx1",0,0.071063,0.063173,0,2,1,0.0447453333333333,10.1923945739887
"EMX2",0.527815,0.29194,0.17814,10,6,4,0.277662333333333,"Emx2",0,0.211777,0.374204,0,4,1,0.195327,1.06888101191836
"EN1",0,0,0.288649,0,0,5,14.8679176666667,"En1",1.666295,0.93792,1.674874,27,53,54,1.426363,6.53979543319226
"EN2",0.075494,0.134623,1.114795,3,6,31,0,"En2",18.583595,13.363756,18.58947,404,1014,807,16.845607,0.056036199833382
"ENAH",25.978409,24.648762,34.998969,2660,2775,2356,40.951548,"Enah",45.461456,45.494348,49.919573,961,4375,2468,46.958459,0.874747622729079
"ENAM",0,0.048219,0,0,4,0,1.648568,"Enam",0,0,0,0,0,0,0,2.648568
"ENC1",21.301377,47.059077,61.54959,1268,2864,2680,0.0425626666666667,"Enc1",8.354035,10.123128,9.035021,267,1218,616,9.170728,0.102506198835193
"ENDOD1",24.013843,27.888948,19.16426,1473,1861,834,0.180445,"Endod1",47.737404,55.521605,50.346783,1426,5683,2875,51.2019306666667,0.0226130525236257
"ENDOG",15.302961,16.844562,17.115353,138,182,103,26.5633516666667,"Endog",10.537697,13.14283,12.227546,57,244,130,11.9693576666667,2.12526729349973
"ENDOU",0.033821,0.062051,0,1,2,0,0.146168333333333,"Endou",0.451264,0.337852,1.015808,7,20,21,0.601641333333333,0.715621100354553
"ENDOV",26.884558,28.963972,31.202673,259,313,223,1.21392466666667,"Endov",3.805247,5.467216,7.011848,97,501,302,5.42810366666667,0.344413342016731
"ENG",0.349086,1.530968,0.85394,10,31,22,12.4205563333333,"Eng",5.880877,8.151979,9.191361,116,523,293,7.74140566666667,1.53528583903954
"ENGASE",19.153385,27.755241,54.023002,289,330,270,40.6689516666667,"Engase",6.89671,3.889845,5.618159,35,163,101,5.468238,6.44208695886989
"ENHO",21.039958,27.097152,33.584236,222,322,250,50.3161656666667,"Enho",44.563875,54.535535,53.557574,284,1235,686,50.8856613333333,0.989024026059762
"ENKD1",13.286595,17.033512,27.918754,37,64,34,5.94923633333333,"Enkd1",2.365865,2.585611,2.420051,23,98,47,2.45717566666667,2.01009060671587
"ENKUR",0.338299,0.253407,0.334832,5,5,5,0.0490016666666667,"Enkur",0.915862,1.282493,1.597928,6,30,23,1.26542766666667,0.463047963129258
"ENO1",291.956801,303.160348,257.231713,4579,5079,2814,0.230052333333333,"Eno1",854.269208,920.163325,903.873364,3228,13513,7522,892.768632333333,0.00137625363973904
"ENO2",585.825481,680.609832,710.619816,9408,11433,7665,28.029537,"Eno2",468.274145,611.12833,572.882078,3901,16954,9549,550.761517666667,0.0526124712770155
"ENO3",4.430383,4.168303,4.31521,29,31,19,81.970462,"Eno3",9.277759,10.666225,13.964604,19,113,74,11.3028626666667,6.7439964379022
"ENO4",0.500635,0.306469,0.341913,13,10,9,8.25486533333333,"Eno4",1.256814,1.152711,1.164511,17,64,30,1.19134533333333,4.22337145704709
"ENOPH1",29.988982,32.501409,32.570291,626,745,506,10.7748586666667,"Enoph1",14.281869,14.203936,14.83925,158,593,343,14.441685,0.762537162664998
"ENOX1",11.86867,11.817424,17.979652,310,303,304,10.2661466666667,"Enox1",6.658957,4.870918,5.527373,102,356,211,5.68574933333333,1.68509857384223
"ENOX2",8.151297,4.951287,4.35816,205,148,88,16.3127043333333,"Enox2",3.136698,2.91492,4.008922,66,211,153,3.35351333333333,3.97672018155451
"ENPEP",0.33079,0.392627,0.299467,3,3,3,41.4965506666667,"Enpep",1.235352,2.374917,1.627495,28,159,82,1.74592133333333,15.4762447673908
"ENPP1",0.522414,0.446406,0.751581,25,41,43,0,"Enpp1",1.712064,2.47602,2.897207,80,389,230,2.36176366666667,0.297462909101978
"ENPP2",4.481892,4.880236,10.30327,135,188,187,0.173216333333333,"Enpp2",252.626013,329.810998,356.11274,4847,24274,14965,312.849917,0.00373814447538418
"ENPP3",0.068575,0.217462,0,3,3,0,0.431963666666667,"Enpp3",0.112123,0.771813,0.373893,3,25,9,0.419276333333333,1.00893929746826
"ENPP4",4.475453,4.632941,5.180777,267,292,222,0,"Enpp4",10.565597,9.06044,9.324137,321,1022,595,9.650058,0.0938962022554243
"ENPP5",1.770119,1.821725,0.940872,48,65,22,64.1426146666667,"Enpp5",75.51255,78.780666,82.102588,1533,6087,3609,78.7986013333333,0.816337800139555
"ENPP6",0.117088,0.306796,0.252442,6,3,9,0.01665,"Enpp6",5.234969,8.210406,5.853387,111,594,299,6.43292066666667,0.136776651546844
"ENPP7",0,0,0,0,0,0,1.098779,"Enpp7",0,0,0,0,0,0,0,2.098779
"ENSA",113.890158,99.924667,117.623888,1474,1566,1079,0.117053333333333,"Ensa",57.373077,55.110967,57.39657,1036,3745,2312,56.6268713333333,0.019384243973127
"ENTPD1",3.485078,3.461232,4.426208,373,412,281,0,"Entpd1",24.420096,14.736939,7.896434,67,241,121,15.6844896666667,0.0599359057411186
"ENTPD2",0.11513,0.10333,0.323522,2,1,2,3.79867266666667,"Entpd2",2.599455,4.909223,4.989921,30,200,117,4.16619966666667,0.928859311735209
"ENTPD4",46.364173,64.248261,56.569648,2015,2126,1401,1.17258433333333,"Entpd4",41.970884,47.907697,49.412393,820,3275,1899,46.4303246666667,0.0458058077527813
"ENTPD5",4.77795,4.963821,5.165804,241,291,183,52.7842553333333,"Entpd5",9.893319,15.103505,17.561531,304,1260,767,14.1861183333333,3.54167234528112
"ENTPD7",3.764727,3.224106,5.10589,383,408,323,0.0212596666666667,"Entpd7",2.008119,2.347073,2.483576,78,299,182,2.27958933333333,0.311398642594276
"ENTPD8",0.169644,0.152557,0.043491,3,3,1,0.639313666666667,"Entpd8",0,0,0,0,0,0,0,1.63931366666667
"ENTR1",31.146452,32.18058,28.522107,256,252,190,77.9517306666667,"Entr1",34.156474,49.676994,54.939695,270,1182,677,46.257721,1.6706631000396
"ENY2",46.974684,52.149773,46.97406,496,560,404,1.57295666666667,"Eny2",38.165278,32.22328,36.658678,276,1120,674,35.682412,0.0701414254511581
"EOGT",4.753978,5.119421,5.151004,115,130,89,69.4306086666667,"Eogt",4.873395,9.529234,11.514019,99,456,246,8.63888266666667,7.30692665346274
"EOMES",0.128301,0.070486,0.217891,5,2,5,0,"Eomes",5.012001,3.541973,3.095489,112,282,140,3.88315433333333,0.20478566347449
"EP300",35.345261,29.94395,38.352837,1005,1040,791,4.71322566666667,"Ep300",15.436762,31.83136,25.573888,472,1988,1177,24.28067,0.22599186123891
"EP400",13.619971,11.868545,14.325126,1103,1207,843,15.4418376666667,"Ep400",18.427378,24.090422,16.312396,505,2207,1398,19.6100653333333,0.797757668437603
"EPAS1",2.469114,4.704828,1.906782,34,111,18,56.2533723333333,"Epas1",61.396129,83.408098,69.061166,697,3717,1982,71.2884643333333,0.792012568828813
"EPB41",84.841629,70.492406,121.558038,1171,1303,993,0.342652,"Epb41",47.096688,48.642804,58.438406,1223,5020,3163,51.3926326666667,0.0256267328374629
"EPB41L1",347.315941,457.38543,419.791383,6624,7964,5197,0,"Epb41l1",84.512677,114.504337,117.575913,3447,14566,8017,105.530975666667,0.00938694115718024
"EPB41L2",16.64385,14.006758,14.84112,221,227,119,5.81752766666667,"Epb41l2",31.593277,29.274002,28.797384,367,1468,814,29.888221,0.220716099728329
"EPB41L3",176.124474,203.827197,172.415126,4143,4706,3011,18.40629,"Epb41l3",123.624989,156.646183,137.666664,2058,9076,4823,139.312612,0.138307524344283
"EPB41L4A",31.180146,26.144462,37.090159,234,205,269,17.83814,"Epb41l4a",2.208801,3.021905,2.152568,36,144,69,2.46109133333333,5.4428323860085
"EPB41L4B",6.438955,6.911263,5.769737,453,524,288,5.25873333333333,"Epb41l4b",14.748536,14.028231,15.421993,421,1799,1059,14.73292,0.397811298432416
"EPB41L5",7.727651,5.174139,13.089967,587,471,491,19.8590696666667,"Epb41l5",3.103867,1.575739,1.855449,65,222,162,2.17835166666667,6.56285768671497
"EPB42",0,0,0,0,0,0,0.134521666666667,"Epb42",0,0.102781,0.140815,0,4,4,0.0811986666666667,1.04931841080085
"EPC1",18.556674,18.773128,23.38629,693,679,566,47.7824793333333,"Epc1",12.052509,11.775181,12.75007,266,935,557,12.1925866666667,3.69771907252962
"EPC2",10.562628,11.344558,9.546101,385,505,323,1.006934,"Epc2",19.788114,16.093289,17.846002,276,973,615,17.909135,0.106135685212465
"EPCAM",7.269221,10.232979,6.152085,87,132,46,0.402242,"Epcam",0,0.049559,0,0,2,0,0.0165196666666667,1.3794538816924
"EPDR1",11.471381,15.201114,11.008442,240,410,169,10.5037846666667,"Epdr1",64.562149,67.754512,69.786333,770,2796,1525,67.3676646666667,0.168263531053086
"EPG5",5.727724,6.30043,5.391244,432,462,336,9.60055766666667,"Epg5",5.180142,6.474799,7.359166,350,1430,871,6.33803566666667,1.44460427125207
"EPGN",0.142354,4.979529,0,3,11,0,58.0203033333333,"Epgn",0,0,0,0,0,0,0,59.0203033333333
"EPHA1",1.230378,1.533709,2.179898,7,11,10,7.84834933333333,"Epha1",0.153965,0.251243,0.37381,3,21,14,0.259672666666667,7.02432430859022
"EPHA10",15.508257,23.864894,32.873664,561,634,461,0.0437686666666667,"Epha10",4.025466,7.823337,6.949672,113,718,322,6.26615833333333,0.143647938674609
"EPHA2",0.741787,2.414998,3.071494,24,59,33,13.579682,"Epha2",0.757752,0.73685,1.408691,13,41,25,0.967764333333333,7.40926225413511
"EPHA3",9.516318,7.151527,9.10203,716,580,492,0.257212,"Epha3",1.955402,2.030648,2.462801,76,270,173,2.149617,0.399163453842166
"EPHA4",41.083453,21.142374,46.454541,1159,759,740,2.12485766666667,"Epha4",6.223863,7.103657,7.74936,207,854,515,7.02562666666667,0.389359958599287
"EPHA5",9.998824,11.017973,17.357773,859,1001,1050,11.0428496666667,"Epha5",6.748022,6.844957,6.076864,274,1015,516,6.55661433333333,1.59368324694617
"EPHA6",5.395813,4.135256,7.040565,140,153,138,0.712252666666667,"Epha6",2.394476,2.670681,2.781006,49,237,137,2.61538766666667,0.473601401712292
"EPHA7",2.622816,2.534792,2.032304,220,233,129,0.559807,"Epha7",5.250777,5.958372,8.151631,143,469,321,6.45359333333333,0.209269131041046
"EPHA8",8.099504,7.022227,8.232756,250,229,194,0,"Epha8",5.429549,5.661807,7.251311,180,702,506,6.11422233333333,0.140563501271889
"EPHB1",12.429354,10.67258,18.50452,718,689,741,2.22399966666667,"Ephb1",13.299005,14.789358,14.674042,344,1351,823,14.254135,0.211352506495233
"EPHB2",13.604635,12.494804,17.209385,1295,1440,1303,1.530543,"Ephb2",5.564016,8.107276,10.811023,214,842,582,8.16077166666667,0.276236881791072
"EPHB3",1.472515,1.520598,2.952418,53,73,61,35.7601646666667,"Ephb3",1.483409,1.224039,1.598657,23,111,69,1.43536833333333,15.09429360788
"EPHB4",0.600956,1.140722,2.58268,8,17,39,38.065573,"Ephb4",1.755947,1.573173,1.690519,49,159,101,1.673213,14.6137150313125
"EPHB6",13.358324,14.597972,10.84711,350,443,191,5.39612233333333,"Ephb6",15.205051,15.993068,13.811151,130,607,296,15.00309,0.39968045754497
"EPHX1",24.492245,22.80368,23.943607,435,451,277,62.2246983333333,"Ephx1",30.577519,29.968962,34.948047,179,741,456,31.8315093333333,1.92573231073304
"EPHX2",6.695904,9.579348,12.198776,88,130,84,4.86045866666667,"Ephx2",3.597719,4.275429,4.939366,46,208,136,4.270838,1.11186469147158
"EPHX3",0.239467,0.299822,0.544435,5,7,8,9.82515766666667,"Ephx3",0.063731,0.268564,0.476126,1,12,14,0.269473666666667,8.52728020352792
"EPHX4",1.138897,1.453816,0.776498,18,25,9,24.7675476666667,"Ephx4",11.805124,10.585393,11.146902,65,232,142,11.1791396666667,2.11571164892627
"EPM2A",12.308211,4.73914,5.499363,180,161,120,36.2857133333333,"Epm2a",11.693918,10.317663,11.596801,249,816,521,11.202794,3.05550624990747
"EPM2AIP1",21.371143,23.354648,28.950605,1360,1408,1098,8.35145833333334,"Epm2aip1",53.195111,40.109306,44.011775,1772,6512,3841,45.772064,0.19993683266433
"EPN1",61.624922,75.0463,75.183143,903,1382,879,4.41892166666667,"Epn1",180.454325,155.62218,169.917714,897,3733,2199,168.664739666667,0.0319389973268046
"EPN2",27.36384,26.947168,30.590271,662,671,551,5.42760666666667,"Epn2",47.626645,51.612627,52.789806,686,2944,1770,50.6763593333333,0.124381956267585
"EPN3",0,0.41063,0.070434,0,5,1,0,"Epn3",7.527627,8.655646,8.199854,132,485,264,8.127709,0.109556516317512
"EPO",0.058473,0.101772,0.084768,1,2,1,0,"Epo",0,0,0.160996,0,0,2,0.0536653333333333,0.949067951999939
"EPOP",0.269772,0.203735,0.486983,9,8,11,35.7256653333333,"Epop",1.407521,1.961076,1.4651,18,81,35,1.61123233333333,14.0644954738484
"EPOR",4.516002,2.393024,1.891674,98,75,39,56.466785,"Epor",0.623974,1.133889,1.139327,7,39,27,0.96573,29.2343226180605
"EPPIN",0.143346,0.114284,0.17374,4,3,3,0.0536173333333333,"Wfdc6a",0,0,0.117721,0,0,1,0.0392403333333333,1.01383414359399
"EPPK1",0.236923,0.851503,0.473825,42,181,57,14.6218986666667,"Eppk1",0.01139,0.03094,0.038298,1,10,7,0.026876,15.2130331867398
"EPS15",60.229236,66.677488,66.465154,2100,2662,1835,1.770513,"Eps15",147.326155,223.062049,230.210073,1825,6705,3952,200.199425666667,0.0137699846349959
"EPS15L1",18.448769,23.302415,23.665275,495,633,442,0.0525843333333333,"Eps15l1",11.816652,16.067369,15.623567,221,1150,626,14.5025293333333,0.0678975869486072
"EPS8",3.364899,4.69978,4.263304,80,105,79,146.055064333333,"Eps8",49.273251,28.37361,39.260555,463,1455,1019,38.9691386666667,3.67921524553577
"EPS8L1",41.76377,39.638828,57.459878,157,175,136,0,"Eps8l1",37.430843,32.163539,27.620789,72,182,121,32.405057,0.0299355872974562
"EPS8L2",18.369372,25.640767,22.181917,108,149,56,1.37963133333333,"Eps8l2",20.439875,20.354763,24.30095,116,449,284,21.6985293333333,0.104836366197469
"EPS8L3",0.037135,0,0.970589,1,0,1,0,"Eps8l3",0,0,0,0,0,0,0,1
"EPSTI1",0.2824,0.309193,0.321903,1,6,3,9.61967333333333,"Epsti1",0.598895,0.323267,0.405039,4,9,10,0.442400333333333,7.36250060951641
"EPX",0.368385,0.566321,0.518008,13,22,13,0.0922013333333333,"Epx",0.284355,0.573806,0.630628,5,17,7,0.496263,0.729952777909588
"EPYC",0,0.055041,0,0,1,0,22.5516066666667,"Epyc",0.097936,0.134245,0.04684,1,5,1,0.093007,21.547535072206
"EQTN",0,0.483089,0.156829,0,1,1,12.2700273333333,"Eqtn",0.66651,0.648863,0.316119,4,15,4,0.543830666666667,8.59551997498862
"ERAL1",27.668848,40.044415,45.765732,413,486,333,85.2114346666667,"Eral1",6.801473,7.79993,9.006118,75,341,213,7.86917366666667,9.72034576238801
"ERAP1",8.998012,13.913075,17.591659,274,377,431,1.72812366666667,"Erap1",6.736422,11.605982,10.275927,76,356,200,9.53944366666667,0.258848925327526
"ERAS",0.209026,0.443599,0.979818,3,6,10,1.95292666666667,"Eras",0,0,0,0,0,0,0,2.95292666666667
"ERBB2",2.588962,2.874371,5.345254,65,109,103,49.3277806666667,"Erbb2",0.264766,1.314737,1.862943,9,81,52,1.147482,23.4357171173806
"ERBB3",5.958621,4.339028,2.184874,60,40,28,25.192225,"Erbb3",2.46224,3.113142,3.028573,102,491,270,2.867985,6.771542547347
"ERBB4",0.0435,0.040614,0.795458,7,7,19,54.166493,"Erbb4",5.94749,8.086816,5.860982,442,1717,945,6.63176266666667,7.22853885917487
"ERBIN",13.703345,13.058829,17.933326,294,268,301,3.547804,"Erbin",19.557328,23.822673,24.198566,807,3594,2043,22.526189,0.193308146933615
"ERC1",59.141056,57.460117,57.556413,2961,3127,2309,14.1743906666667,"Erc1",10.7911,10.388525,12.30435,538,1898,1276,11.161325,1.24775800882442
"ERC2",22.037343,22.969787,25.583102,939,891,712,32.5635476666667,"Erc2",8.757819,12.763009,8.652279,249,1046,580,10.0577023333333,3.03530938479775
"ERCC1",42.266484,45.829278,52.246978,399,417,379,705.022972333333,"Ercc1",30.14103,39.498763,31.10216,63,252,121,33.580651,20.4167056407739
"ERCC2",20.530165,22.367588,19.149841,556,645,476,2.77386666666667,"Ercc2",47.77158,50.830904,52.634849,119,557,350,50.4124443333333,0.0734037588681594
"ERCC3",39.494748,44.80317,41.310313,663,743,499,0.580708666666667,"Ercc3",13.267243,10.993708,13.823698,180,720,393,12.694883,0.115423305673124
"ERCC4",7.38253,6.303088,6.957561,189,218,144,1.55956833333333,"Ercc4",7.144541,7.138346,8.780419,158,651,393,7.68776866666667,0.294617459504178
"ERCC5",17.236005,23.542068,26.266692,608,644,466,0.952362666666667,"Ercc5",7.397775,7.346903,6.805637,147,456,296,7.18343833333333,0.238574861463081
"ERCC6",7.455619,7.925535,10.126372,272,263,231,7.73398033333333,"Ercc6",5.294711,4.220667,6.623941,136,487,280,5.379773,1.36901114402242
"ERCC6L",0.140435,0.097547,0.123775,8,6,5,37.570648,"Ercc6l",0.03772,0.047913,0.070812,1,7,5,0.0521483333333333,36.6589451107179
"ERCC6L2",6.423272,7.159118,10.678028,304,318,284,0.083899,"Ercc6l2",8.511779,9.710588,9.572091,183,646,402,9.26481933333333,0.105593577909376
"ERCC8",10.251354,8.903586,11.538175,211,225,240,0.34402,"Ercc8",13.194933,7.433208,8.58131,74,265,176,9.73648366666667,0.125182512424692
"EREG",0.39141,0.751675,0.562665,16,31,9,200.297387666667,"Ereg",0,0.009693,0,0,1,0,0.003231,200.649090455405
"ERF",93.839582,56.12044,96.331122,257,245,186,387.616121,"Erf",2.60713,3.523426,4.280227,63,248,159,3.470261,86.9336535383504
"ERFE",1.201689,0.614103,0.272669,9,4,2,217.998417,"Erfe",0,0,0,0,0,0,0,218.998417
"ERG",0,0,0,0,0,0,33.5278383333333,"Erg",2.972858,2.253378,2.3815,40,134,79,2.535912,9.76490318009423
"ERG28",19.313524,15.185821,14.39339,566,484,299,17.798234,"Erg28",61.002871,52.947533,63.97071,232,787,570,59.307038,0.31170879259565
"ERGIC1",55.148896,54.14933,55.946213,1697,1718,1151,2.85837733333333,"Ergic1",46.720299,42.21939,47.358581,539,1951,1268,45.4327566666667,0.0830960212212255
"ERGIC2",79.039278,71.501603,91.130022,377,374,286,63.143122,"Ergic2",67.050662,48.374987,64.243902,318,1001,615,59.8898503333333,1.05342880051202
"ERGIC3",107.431525,93.390146,135.276206,787,919,714,0.149148333333333,"Ergic3",109.551568,148.372051,169.382755,327,1528,943,142.435458,0.00801160570305658
"ERH",277.434793,320.396097,120.399174,568,594,399,3.256853,"Erh",8.041543,26.2574,26.998829,30,272,180,20.4325906666667,0.198615886721549
