"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"PRELID3A",7.825634,7.713078,7.190663,65,99,54,3.73438966666667,"Prelid3a",8.56907,10.506894,11.26278,71,330,202,10.1129146666667,0.426025917473076
"PRELID3B",23.374915,17.80023,19.749811,348,304,269,0,"Prelid3b",56.767661,45.297615,39.531971,258,838,505,47.1990823333333,0.0207472829686723
"PRELP",0.025884,0.083527,0.01924,2,7,1,0.290326666666667,"Prelp",5.092387,7.518801,7.01132,113,564,368,6.540836,0.171111885561053
"PREP",15.81151,15.53666,19.519836,879,919,775,0.117840333333333,"Prep",2.829741,2.671112,2.509916,217,772,411,2.67025633333333,0.304567373995404
"PREPL",190.847721,200.948241,179.00645,7560,7910,5101,2.929709,"Prepl",131.926231,140.713914,140.117202,2669,10571,6084,137.585782333333,0.0283557875406589
"PREX1",0.243252,0.556332,2.861306,22,48,127,0,"Prex1",21.325549,21.721549,25.905299,893,3062,1890,22.9841323333333,0.0416942329245821
"PREX2",0.223338,0.434981,0.795458,32,67,49,0,"Prex2",12.877987,13.171605,15.792186,867,2673,1884,13.9472593333333,0.0669018967089128
"PRF1",0,0,0,0,0,0,92.9242196666667,"Prf1",0,0,0,0,0,0,0,93.9242196666667
"PRG2",0,0,0,0,0,0,9.84340066666667,"Prg2",0.235554,0,0,1,0,0,0.078518,10.0539821001288
"PRG3",0,0.102824,0,0,1,0,4.21517966666667,"Prg3",0,0,0,0,0,0,0,5.21517966666667
"PRG4",0.064662,0.029716,0.045445,4,2,2,4.62829766666667,"Prg4",0.951312,1.643362,1.585216,23,113,39,1.39329666666667,2.35169243539943
"PRICKLE1",22.752371,14.782255,26.689342,177,257,256,0.037068,"Prickle1",5.91723,6.022216,6.149381,165,633,367,6.029609,0.14752854675132
"PRICKLE2",10.735043,11.590646,13.60559,1175,1366,1044,8.653238,"Prickle2",6.9685,7.194712,8.092188,357,1414,865,7.41846666666667,1.14667413701624
"PRICKLE3",0.25257,0.267332,0.298626,7,6,3,18.9840776666667,"Prickle3",0.186154,0.343496,0.241827,3,11,8,0.257159,15.8962212947341
"PRIM1",3.72617,2.47044,5.669329,30,48,36,0.060089,"Prim1",4.729772,4.677836,4.973602,43,166,99,4.79373666666667,0.182971553764094
"PRIM2",4.732464,5.766314,4.924002,48,52,43,182.516646,"Prim2",2.804758,3.213527,3.442305,35,153,93,3.15353,44.1832961360578
"PRIMA1",1.452432,0.52919,2.191023,70,28,75,8.56593533333333,"Prima1",3.788059,4.848292,14.469732,16,84,48,7.70202766666667,1.0992765938881
"PRIMPOL",8.633384,9.481822,14.259987,51,71,66,46.670893,"Primpol",9.293045,4.14437,1.95328,52,143,81,5.13023166666667,7.77636076287492
"PRKAA1",28.442202,23.126308,30.426991,843,672,672,3.05250633333333,"Prkaa1",10.004138,10.939068,10.464423,310,1252,682,10.4692096666667,0.353337889105931
"PRKAA2",2.055819,2.403473,2.494855,257,320,224,27.6418563333333,"Prkaa2",3.811426,4.533531,4.238033,208,916,487,4.19433,5.5140617429646
"PRKAB1",45.329992,74.550483,88.365578,303,397,275,378.322838333333,"Prkab1",6.517309,8.419166,8.142318,53,260,159,7.692931,43.6357815716395
"PRKAB2",13.544976,14.322684,17.235225,851,1030,820,32.0090736666667,"Prkab2",6.921274,9.339002,8.870849,238,1034,597,8.37704166666667,3.52020123617523
"PRKACA",115.164235,133.551893,138.062338,1938,2468,1752,90.3479286666667,"Prkaca",79.993184,88.981109,93.194975,1052,4259,2579,87.389756,1.03346736998195
"PRKACB",104.939826,110.53715,108.172874,4849,5039,3489,0.434063,"Prkacb",123.135565,117.947676,126.893153,2348,8607,5170,122.658798,0.011596934655632
"PRKAG1",34.633278,39.530993,35.297023,364,493,290,4.08769766666667,"Prkag1",38.487084,31.563112,28.555253,223,873,493,32.868483,0.15021923676554
"PRKAG2",22.892961,27.838195,25.079483,353,412,289,0.662496666666667,"Prkag2",79.270625,38.391876,51.389252,287,1051,598,56.3505843333333,0.0289883126038245
"PRKAG3",0,0,0,0,0,0,5.236842,"Prkag3",0.146717,0.154684,0.206107,2,11,3,0.169169333333333,5.33442147530383
"PRKAR1A",204.607262,220.923502,214.477823,5586,6083,4298,12.9446316666667,"Prkar1a",267.133811,227.257096,243.281315,4228,14874,8687,245.890740666667,0.0564809827578494
"PRKAR1B",66.514412,88.739872,89.598777,1536,2228,1450,26.3479286666667,"Prkar1b",290.636388,342.134741,302.905744,2124,9215,5261,311.892291,0.0874036512029843
"PRKAR2A",38.671064,36.914426,33.679555,1887,1968,1380,2.019664,"Prkar2a",49.519524,30.83044,40.760601,489,1696,1041,40.3701883333333,0.0729913041649597
"PRKAR2B",101.996823,98.582005,120.368134,3832,3750,3541,1.12389866666667,"Prkar2b",8.244174,8.160163,8.154434,178,640,362,8.186257,0.23120392415177
"PRKCA",12.385082,8.360987,15.574973,1484,1108,1326,7.84861666666667,"Prkca",14.596593,13.060773,15.522118,575,1869,1239,14.3931613333333,0.574840766951835
"PRKCB",24.789412,27.905945,21.214044,1687,1579,970,0.171602333333333,"Prkcb",114.311327,126.087743,131.085759,1297,4920,3134,123.828276333333,0.00938571265860279
"PRKCD",22.949311,18.672079,24.965835,613,548,507,103.934007333333,"Prkcd",16.222269,17.849998,18.846083,237,873,565,17.63945,5.62967294278175
"PRKCE",21.995236,32.299402,47.696167,1101,1763,1786,86.9861486666667,"Prkce",34.653019,29.887231,33.424792,1470,4848,3086,32.655014,2.61435483778633
"PRKCG",1.746806,1.487432,2.101218,45,53,32,560.728946666667,"Prkcg",60.374088,64.710539,81.728262,934,3852,2903,68.9376296666667,8.03185565973499
"PRKCH",2.667749,1.589935,12.378365,12,13,15,3.89885733333333,"Prkch",1.404479,1.278465,1.173003,33,111,58,1.28531566666667,2.14362392241364
"PRKCI",107.928332,126.743914,100.527113,917,1042,704,15.657084,"Prkci",23.300863,16.507733,21.075182,289,1100,694,20.2945926666667,0.782221301939907
"PRKCQ",1.993912,1.005215,2.200588,81,46,63,0.0120603333333333,"Prkcq",3.635158,5.285819,5.635135,79,395,216,4.85203733333333,0.172941537397346
"PRKCSH",111.713316,105.141696,123.932999,1009,1298,913,8.651734,"Prkcsh",23.667519,22.502756,24.830388,300,1091,677,23.6668876666667,0.391283007829268
"PRKCZ",59.287594,95.252381,86.300601,658,1083,656,30.628612,"Prkcz",82.925532,97.041995,96.916745,1095,4099,2491,92.2947573333333,0.339018106740918
"PRKD1",1.171764,2.938964,2.367709,40,92,62,0.897195333333333,"Prkd1",1.98746,1.983323,1.816962,48,179,93,1.92924833333333,0.647673094747287
"PRKD2",10.282997,16.869545,12.035253,114,161,92,1.552676,"Prkd2",1.87383,3.462943,2.312273,26,139,52,2.549682,0.719128079642064
"PRKD3",2.059144,2.531666,3.061544,63,110,84,0.291100666666667,"Prkd3",6.086024,6.463162,6.806348,227,858,500,6.45184466666667,0.173259202844361
