"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"ITLN1",0.204268,0,0.575863,0.260043666666667,1,0,2,"Itln1",0,0,0,0,0,0,0,1.26004366666667
"ITM2A",1.596222,0.236611,0.363904,0.732245666666667,1,4,1,"Itm2a",21.955396,28.477994,25.949905,493,618,1097,25.4610983333333,0.0654638611309848
"ITM2B",255.73377,255.875117,248.20127,253.270052333333,2263,2531,1708,"Itm2b",296.052091,355.668634,311.531401,4387,5196,9100,321.084042,0.789452500516413
"ITM2C",103.287085,103.254615,83.996293,96.8459976666667,1711,1949,1153,"Itm2c",285.497863,309.774496,283.136218,5994,6818,12097,292.802859,0.333032830244401
"ITPA",39.870698,43.612737,58.18152,47.2216516666667,264,295,229,"Itpa",46.360563,40.270075,36.330533,403,367,694,40.987057,1.14848848936154
"ITPK1",43.437226,52.265859,57.507278,51.070121,889,1037,676,"Itpk1",21.367603,24.295113,23.648769,488,502,909,23.1038283333333,2.16024277471276
"ITPKA",0.272452,0.634314,0.165675,0.357480333333333,5,12,2,"Itpka",50.817329,61.942109,57.689822,1036,1298,2417,56.81642,0.023479148887692
"ITPKB",0.127042,0.167397,0.320042,0.204827,6,9,13,"Itpkb",4.797745,4.139871,4.02122,411,356,679,4.319612,0.226487758881663
"ITPR1",1.948384,2.3277,2.77717,2.35108466666667,46,53,36,"Itpr1",189.946338,159.970366,154.62997,10379,10529,19208,168.182224666667,0.0198075458179438
"ITPR2",0.242623,0.22972,0.427381,0.299908,33,43,43,"Itpr2",4.124589,3.396869,3.439264,301,308,561,3.653574,0.279335409730242
"ITPR3",0.263904,0.341655,0.22506,0.276873,33,47,20,"Itpr3",1.323014,2.034779,1.041547,67,73,142,1.46644666666667,0.517697389226607
"ITPRID1",0.036242,0.033254,0,0.0231653333333333,2,2,0,"Itprid1",0.461567,0.48707,0.2496,20,22,21,0.399412333333333,0.731139285371455
"ITPRID2",60.914484,38.874197,40.532806,46.773829,469,538,377,"Itprid2",8.806687,8.39172,7.794538,595,542,1022,8.33098166666667,5.11991457133217
"ITPRIP",0.151822,0.447946,1.258757,0.619508333333333,9,30,47,"Itprip",0.172834,0.155555,0.219505,9,8,22,0.182631333333333,1.36941098014766
"ITPRIPL1",0.075765,0.117554,0.180696,0.124671666666667,4,4,7,"Itpripl1",0.576023,0.373004,0.384071,20,16,35,0.444366,0.778661133443093
"ITPRIPL2",1.638071,1.860014,1.212522,1.57020233333333,159,190,83,"Itpripl2",1.024226,1.318349,1.113675,92,121,203,1.15208333333333,1.19428569215876
"ITSN1",112.447548,67.868944,105.535272,95.2839213333333,1443,1788,1238,"Itsn1",65.950729,65.410754,63.077217,1781,1586,3299,64.8129,1.46299466112773
"ITSN2",10.448904,21.984506,14.974371,15.8025936666667,329,375,251,"Itsn2",29.059848,21.37696,22.077669,1002,890,1754,24.1714923333333,0.667524731714688
"IVD",41.267217,43.713887,58.890333,47.9571456666667,538,599,458,"Ivd",122.550848,113.530692,123.414932,663,609,1223,119.832157333333,0.405166528075893
"IVNS1ABP",15.621954,16.76207,21.204304,17.862776,741,719,623,"Ivns1abp",49.033699,44.84312,47.748482,2295,2005,4155,47.2084336666667,0.391275438036945
"IWS1",17.461042,20.46318,29.487235,22.4704856666667,574,612,485,"Iws1",12.749273,13.384761,12.320858,566,523,1012,12.8182973333333,1.69850779010593
"IYD",0.074702,0.008556,0.161457,0.0815716666666667,5,1,5,"Iyd",0,0.05222,0.080469,0,1,3,0.0442296666666667,1.03576033241729
"IZUMO1",0.207164,0.449234,17.097968,5.918122,5,12,9,"Izumo1",0.07485,0.037936,0.056595,2,1,2,0.0564603333333333,6.54839730534133
"IZUMO1R",0,0,0,0,0,0,0,"Izumo1r",0,0.081145,0,0,1,0,0.0270483333333333,0.973664011268538
"IZUMO2",0.117283,0,0.71049,0.275924333333333,1,0,4,"Izumo2",0,0,0,0,0,0,0,1.27592433333333
"IZUMO3",0,0,0,0,0,0,0,"Izumo3",0,0,0,0,0,0,0,1
"IZUMO4",6.103459,5.669742,9.611843,7.128348,45,50,49,"Izumo4",31.339864,39.280921,36.902229,157,182,383,35.8410046666667,0.220633179619948
"JADE1",4.72189,7.042723,7.651973,6.47219533333333,230,311,302,"Jade1",12.328286,13.201815,13.175821,629,687,1171,12.901974,0.537491678040351
"JADE2",2.22479,4.461488,3.13531,3.27386266666667,106,161,65,"Jade2",11.110628,9.542255,10.130901,965,817,1693,10.2612613333333,0.379519002371078
"JADE3",2.043323,2.045472,2.356009,2.148268,119,142,97,"Jade3",2.324939,2.291815,1.906628,163,151,241,2.17446066666667,0.991748939609899
"JAG1",7.404503,9.516897,13.77625,10.23255,280,373,321,"Jag1",1.385782,1.507952,1.680397,98,116,172,1.52471033333333,4.44904504556364
"JAG2",26.005521,27.100686,29.322802,27.4763363333333,809,988,681,"Jag2",16.955165,16.895376,18.356313,344,314,715,17.4022846666667,1.54743483481236
"JAGN1",11.441591,10.225617,9.876608,10.5146053333333,182,183,109,"Jagn1",13.130932,14.160382,12.554695,185,197,341,13.282003,0.806231824298968
"JAK1",340.635626,230.760887,245.170342,272.188951666667,7009,5492,3793,"Jak1",37.65301,44.216452,37.518988,1962,2221,3775,39.79615,6.69643953330563
"JAK2",4.395456,2.745316,4.344389,3.828387,201,233,191,"Jak2",11.462718,10.120881,10.895443,735,615,1305,10.8263473333333,0.408273735237834
"JAK3",1.380636,1.432081,1.033727,1.282148,82,89,49,"Jak3",0.997981,0.625384,0.904257,50,32,94,0.842540666666667,1.23858758793564
"JAKMIP1",12.395586,13.971092,15.027007,13.797895,295,409,251,"Jakmip1",31.520187,44.015395,36.639566,604,762,1386,37.391716,0.385445000687127
"JAKMIP2",25.945909,25.257052,31.709883,27.6376146666667,1164,1113,902,"Jakmip2",27.245745,31.018677,29.713702,620,698,1224,29.3260413333333,0.944324198199558
"JAKMIP3",5.057351,5.527218,6.128476,5.571015,314,363,260,"Jakmip3",13.322274,12.924157,12.783293,411,359,758,13.009908,0.469026277688619
"JAM2",6.337698,4.138723,5.005792,5.16073766666667,147,136,108,"Jam2",12.800611,12.457957,11.168032,605,595,1078,12.1422,0.468775217746395
"JAM3",46.866927,33.657751,21.013994,33.846224,775,683,473,"Jam3",13.289551,12.290782,12.07834,294,279,517,12.552891,2.57112847731159
"JARID2",10.548135,8.615224,11.593808,10.252389,564,590,498,"Jarid2",6.3763,7.224437,8.092,420,479,786,7.23091233333333,1.36708891363481
"JAZF1",24.686501,28.65152,28.404494,27.247505,674,734,529,"Jazf1",8.226343,7.558416,6.832215,229,204,373,7.53899133333333,3.30806109261773
"JCAD",0.49294,0.866096,1.008762,0.789266,45,89,32,"Jcad",24.540374,25.652237,25.156237,2362,2406,4604,25.1162826666667,0.0685115114902519
"JCHAIN",0.274641,0,0.387351,0.220664,1,0,1,"Jchain",0.236482,0.185012,0.316964,7,5,13,0.246152666666667,0.979546112327596
"JDP2",2.343179,3.235352,2.120648,2.566393,35,56,27,"Jdp2",14.0907,14.299197,15.541334,271,272,559,14.6437436666667,0.227975673597822
"JHY",3.416121,3.899611,4.4067,3.90747733333333,268,355,246,"Jhy",0.073154,0.04846,0.012427,2,2,1,0.0446803333333333,4.69758755549146
"JKAMP",35.302359,38.752479,31.582993,35.2126103333333,584,621,388,"Jkamp",33.001413,32.434585,26.385694,424,419,726,30.6072306666667,1.14570652251175
"JMJD1C",22.761224,27.7151,27.920933,26.132419,491,605,423,"Jmjd1c",11.99328,12.017401,13.531238,1082,1046,2022,12.513973,2.00773073913941
"JMJD4",4.810185,4.061446,5.087126,4.652919,125,132,91,"Jmjd4",6.796195,6.437527,6.046712,415,386,707,6.42681133333333,0.761150209192514
"JMJD6",8.842283,12.662305,13.191357,11.565315,430,553,351,"Jmjd6",10.379719,8.752132,10.05575,213,185,428,9.72920033333333,1.17113248048527
"JMJD7",40.902705,32.695113,10.76078,28.1195326666667,65,115,40,"Jmjd7",0.865273,1.517918,0.718673,6,24,15,1.03395466666667,14.3167068292574
"JMJD8",13.717289,17.38153,14.65526,15.2513596666667,133,175,123,"Jmjd8",11.019719,10.896743,11.524956,234,198,400,11.1471393333333,1.33787546357279
"JMY",6.152827,6.87798,6.094999,6.37526866666667,300,346,234,"Jmy",6.193803,6.838543,6.10383,742,821,1447,6.37872533333333,0.999531536070187
"JOSD1",28.152244,33.187804,31.695625,31.011891,773,992,620,"Josd1",20.152696,20.578105,18.093374,883,901,1568,19.6080583333333,1.55336764299726
"JOSD2",3.293723,1.786269,2.648614,2.576202,16,15,10,"Josd2",59.205441,43.938137,43.80707,352,303,663,48.9835493333333,0.0715475801078232
"JPH1",2.073478,2.602413,1.523706,2.06653233333333,108,100,63,"Jph1",3.368923,5.143163,5.330128,172,224,412,4.61407133333333,0.546222545325692
"JPH2",0.084211,0.076571,0.011463,0.057415,7,5,1,"Jph2",0.349618,0.328463,0.281849,17,17,30,0.319976666666667,0.801086130310384
"JPH3",24.8808,27.826966,32.0606,28.256122,1243,1603,1105,"Jph3",39.062185,49.989161,46.5777,1779,2398,4405,45.209682,0.633116713506057
"JPH4",64.263992,62.511643,85.55508,70.776905,2449,2733,2268,"Jph4",57.122326,65.956554,69.941185,2449,3177,6359,64.3400216666667,1.09851363940727
"JPT1",537.393862,545.169124,714.362925,598.975303666667,3501,3537,3003,"Jpt1",44.781579,43.214588,36.489524,493,531,869,41.4952303333333,14.1186504687808
"JPT2",44.800725,59.524991,70.801755,58.3758236666667,644,691,671,"Jpt2",2.156884,1.987057,3.336947,52,51,96,2.49362933333333,16.9954560147957
"JRK",9.217713,9.356904,8.162853,8.91249,436,516,404,"Jrk",0.990039,1.083699,1.069384,83,89,171,1.04770733333333,4.8407747721761
"JRKL",3.672841,3.000897,3.463148,3.378962,138,124,96,"Jrkl",2.975447,3.48009,2.911867,122,131,213,3.122468,1.06221855451637
"JSRP1",1.709842,1.39119,1.23632,1.445784,9,8,4,"Jsrp1",3.457493,4.096008,4.544228,31,41,92,4.03257633333333,0.485990442668563
"JTB",31.437637,36.205395,35.175504,34.2728453333333,293,380,209,"Jtb",13.802973,17.122136,15.939677,155,203,365,15.6215953333333,2.12210949827399
"JUN",6.020851,13.118798,16.345037,11.8282286666667,243,595,464,"Jun",6.411775,7.276977,5.851632,257,302,483,6.51346133333333,1.70736603245091
"JUNB",6.639235,3.966982,6.903454,5.836557,131,92,94,"Junb",10.838467,16.174943,16.056997,210,352,712,14.3568023333333,0.445181024773669
"JUND",26.219222,35.474194,25.844698,29.1793713333333,407,608,262,"Jund",23.633817,34.029111,35.724048,304,536,1217,31.128992,0.93931895944116
"JUP",43.644565,46.538935,53.726927,47.9701423333333,1672,1979,1485,"Jup",24.095731,19.144712,20.858868,456,454,753,21.366437,2.18944762338916
"KALRN",16.232155,13.520857,17.203687,15.652233,1085,995,805,"Kalrn",114.196314,101.523311,105.272561,6308,6196,11730,106.997395333333,0.1541910612622
"KANK1",3.849773,4.269364,2.024827,3.38132133333333,50,67,44,"Kank1",4.206602,2.111798,3.858964,196,163,324,3.39245466666667,0.997465350429722
"KANK2",0.892405,2.722709,2.418841,2.01131833333333,24,41,40,"Kank2",1.752129,1.678862,2.067516,116,114,278,1.83283566666667,1.06300494898692
"KANK3",0.590786,1.185575,0.484843,0.753734666666667,9,8,5,"Kank3",21.935704,14.120217,22.651916,162,140,329,19.569279,0.0852598998081881
"KANK4",0.068173,0.0883,0.114708,0.0903936666666667,5,7,6,"Kank4",1.617939,1.934711,1.845548,65,61,116,1.79939933333333,0.389509868664683
"KANSL1",43.189968,42.628215,62.886863,49.5683486666667,649,834,682,"Kansl1",16.533992,19.536092,20.596938,920,1063,2003,18.8890073333333,2.5425275288584
"KANSL1L",6.463498,5.96027,9.599893,7.34122033333333,218,221,179,"Kansl1l",3.991824,4.331861,3.156962,170,190,293,3.82688233333333,1.72807616952475
"KANSL2",49.433548,50.529508,42.894146,47.6190673333333,407,450,330,"Kansl2",20.879113,18.411951,17.716489,533,506,928,19.0025176666667,2.43064738867122
"KANSL3",11.645978,13.144034,18.66205,14.4840206666667,776,944,755,"Kansl3",20.82286,21.144324,23.052843,806,776,1543,21.6733423333333,0.682917429597609
"KARS1",68.24333,78.413614,87.950369,78.2024376666667,1110,1286,911,"Kars",34.329529,35.706248,26.955691,549,607,1072,32.3304893333333,2.37627587385756
"KASH5",7.667619,8.282428,4.172728,6.70759166666667,84,92,30,"Kash5",1.748552,3.04132,1.597173,27,24,47,2.129015,2.46326453106382
"KAT14",17.35771,16.260339,21.512204,18.376751,343,421,291,"Kat14",10.056006,17.394337,11.707892,301,313,611,13.052745,1.37885879235694
"KAT2A",32.181073,29.473532,45.09024,35.581615,424,523,390,"Kat2a",15.023762,15.888028,14.873431,608,638,1168,15.2617403333333,2.24955104743709
"KAT2B",7.172756,6.347861,6.320661,6.61375933333333,151,159,148,"Kat2b",25.20658,18.374574,19.696895,309,269,538,21.092683,0.344628098512677
"KAT5",28.694106,40.711908,43.436876,37.6142966666667,352,448,323,"Kat5",58.027593,66.113008,50.157761,477,510,847,58.099454,0.653378230307621
"KAT6A",11.14156,9.11808,10.58661,10.2820833333333,979,1012,691,"Kat6a",8.710109,6.447454,13.804827,877,792,1686,9.65413,1.05893989779863
"KAT6B",5.538521,5.399244,12.860671,7.932812,509,510,462,"Kat6b",7.214431,8.951144,7.588793,709,721,1405,7.91812266666667,1.00164713290929
"KAT7",19.910702,20.341836,20.773049,20.3418623333333,580,728,482,"Kat7",25.410459,42.49075,49.577253,825,917,1529,39.1594873333333,0.531427658829177
"KAT8",16.091936,17.821145,19.733583,17.8822213333333,270,318,245,"Kat8",9.534582,9.389033,9.778494,155,143,305,9.56736966666667,1.78684213091312
"KATNA1",3.674651,4.54371,5.869243,4.695868,72,78,74,"Katna1",6.480641,10.472417,8.054011,97,104,218,8.33568966666667,0.610117538540002
"KATNAL1",10.055635,9.132513,10.359656,9.849268,949,951,738,"Katnal1",19.552629,18.841818,16.773774,962,895,1581,18.389407,0.559546148059092
"KATNAL2",3.740504,5.438114,4.763965,4.64752766666667,53,80,40,"Katnal2",2.921133,2.46275,2.322385,58,48,94,2.568756,1.58249195704796
"KATNB1",33.463992,38.522849,44.624864,38.8705683333333,567,670,485,"Katnb1",13.888426,14.954212,13.132914,330,354,691,13.9918506666667,2.65948275632059
"KATNBL1",19.232254,23.351308,29.692405,24.091989,299,320,296,"Katnbl1",3.790527,3.939454,4.212369,136,141,285,3.98078333333333,5.03775958935509
"KATNIP",8.628598,7.76472,7.813059,8.06879233333333,208,263,156,"Katnip",4.850825,4.831138,8.501258,286,292,593,6.06107366666667,1.28433617342707
"KAZALD1",0.765316,0.970572,1.669685,1.135191,18,22,18,"Kazald1",1.88287,1.773854,1.699633,28,28,54,1.78545233333333,0.766550902504524
"KAZN",15.57487,13.549558,19.525798,16.216742,805,826,746,"Kazn",56.575687,63.374317,37.593667,1157,1066,1982,52.514557,0.321720723578072
"KBTBD11",15.051846,14.402335,17.492835,15.6490053333333,1181,1288,946,"Kbtbd11",132.896471,108.298556,102.119728,1531,1601,3037,114.438251666667,0.14422433719291
"KBTBD12",0.037323,0.21155,0.02801,0.0922943333333333,2,8,1,"Kbtbd12",0.187773,1.174112,1.049232,2,10,12,0.803705666666667,0.605583468256184
"KBTBD13",0,0,0,0,0,0,0,"Kbtbd13",0.109246,0.079879,0.040063,4,3,3,0.076396,0.929026120498404
"KBTBD2",21.287028,18.052961,21.79798,20.379323,716,782,580,"Kbtbd2",25.794916,26.096859,36.019086,685,679,1271,29.3036203333333,0.705503922133132
"KBTBD3",7.617173,0.763851,2.333023,3.571349,32,32,26,"Kbtbd3",2.802511,2.619121,2.624134,85,77,149,2.681922,1.24156595386866
"KBTBD4",11.315927,9.209094,7.963833,9.49628466666667,249,200,141,"Kbtbd4",14.325664,14.298834,14.106417,274,288,526,14.2436383333333,0.688568203806987
"KBTBD6",11.040166,12.007675,13.742059,12.2633,771,902,687,"Kbtbd6",0.629331,0.26633,0.265986,24,10,20,0.387215666666667,9.5610944416958
"KBTBD7",4.133355,3.758765,5.34147,4.41119666666667,257,251,238,"Kbtbd7",9.672529,10.192924,9.194164,592,609,1079,9.686539,0.506356329833884
"KBTBD8",2.06826,2.174991,1.293347,1.84553266666667,93,73,57,"Kbtbd8",4.505622,4.609054,3.684345,105,105,205,4.26634033333333,0.540324492258096
"KCMF1",36.443037,37.808919,33.923618,36.0585246666667,1010,1134,746,"Kcmf1",33.382737,31.652749,35.015214,530,531,938,33.3502333333333,1.07884346248982
"KCNA1",19.096807,14.430519,14.574711,16.0340123333333,799,716,575,"Kcna1",19.766495,19.137998,18.36017,1085,1031,1935,19.088221,0.847960221730602
"KCNA10",0,0,0,0,0,0,0,"Kcna10",0.040017,0,0,1,0,0,0.013339,0.986836586769087
"KCNA2",11.501503,10.391054,15.607217,12.4999246666667,1252,1547,1272,"Kcna2",23.193648,25.89974,22.847568,3853,4271,7290,23.9803186666667,0.54042243603084
"KCNA3",0.242438,0.277036,0.395115,0.304863,7,9,8,"Kcna3",3.186047,3.863387,4.167086,67,84,182,3.73884,0.275354939183429
"KCNA4",1.192147,1.541176,2.353432,1.695585,25,40,39,"Kcna4",6.674915,12.275775,11.948935,328,340,608,10.299875,0.23854998396
"KCNA5",0.276204,0.299043,0.086072,0.220439666666667,10,12,2,"Kcna5",3.840355,3.612443,3.715014,146,137,276,3.722604,0.258425154145185
"KCNA6",14.227367,13.222823,12.474349,13.3081796666667,752,785,463,"Kcna6",28.900698,30.460541,26.706814,1357,1352,2299,28.689351,0.481929688077946
"KCNA7",0.240489,0.118514,0.207733,0.188912,13,7,8,"Kcna7",0,0,0.039116,0,0,2,0.0130386666666667,1.17360969439798
"KCNAB1",6.63705,7.156527,7.725474,7.173017,153,203,166,"Kcnab1",61.577199,67.377954,66.025309,1787,1932,3371,64.9934873333333,0.123845811613471
"KCNAB2",57.790334,58.121573,51.700604,55.870837,1063,1335,924,"Kcnab2",121.888702,128.978098,118.689331,3496,3842,6831,123.185377,0.457951156358772
"KCNAB3",2.333404,2.744517,6.254049,3.77732333333333,47,52,72,"Kcnab3",24.523452,25.721666,16.807522,531,613,825,22.35088,0.204588577960802
"KCNB1",40.117817,6.984076,28.841977,25.3146233333333,1130,1149,869,"Kcnb1",34.369156,35.232534,33.905671,4079,3824,7026,34.5024536666667,0.74120576511139
"KCNC1",15.911463,17.822305,20.504995,18.0795876666667,759,1021,659,"Kcnc1",27.964639,42.399597,32.489928,1746,1991,3385,34.2847213333333,0.540732275775188
"KCNC2",9.078927,8.163874,6.42076,7.88785366666667,578,557,295,"Kcnc2",20.049673,20.492427,18.894601,1081,1134,1841,19.8122336666667,0.4270494848855
"KCNC3",13.644799,15.694636,15.082319,14.8072513333333,750,971,630,"Kcnc3",16.721121,24.686342,21.280784,864,1039,1876,20.8960823333333,0.721921442050356
"KCNC4",9.652221,15.457598,16.456457,13.8554253333333,273,443,225,"Kcnc4",11.331747,12.040983,11.024186,530,584,1056,11.4656386666667,1.19170992602706
"KCND1",7.31099,14.082208,6.875111,9.42276966666667,314,374,291,"Kcnd1",1.775052,2.044329,1.762525,114,149,253,1.86063533333333,3.64351567122735
"KCND2",3.854389,4.84417,4.340248,4.346269,241,206,192,"Kcnd2",20.005113,22.241905,18.782981,1471,1581,2599,20.343333,0.250488946595173
"KCND3",2.385217,4.362402,3.697795,3.48180466666667,237,480,268,"Kcnd3",22.774602,30.677176,44.266523,1002,879,1765,32.572767,0.133495242339324
"KCNE1",0.104747,0.498425,0.05583,0.219667333333333,3,13,1,"Kcne1",0,0,0,0,0,0,0,1.21966733333333
"KCNE1B",0.022512,0.059149,0,0.0272203333333333,1,1,0,"Kcne1",0,0,0,0,0,0,0,1.02722033333333
"KCNE2",0.355256,0,0.435283,0.263513,4,0,3,"Kcne2",0,0,0.050783,0,0,2,0.0169276666666667,1.24248070085614
"KCNE3",0.111765,0.433806,0.192289,0.245953333333333,5,11,6,"Kcne3",0.349696,0.075914,0.368488,2,1,3,0.264699333333333,0.985177504640101
"KCNE4",9.642286,2.64211,2.300081,4.86149233333333,94,27,17,"Kcne4",0.388668,0.313255,0.497164,13,11,34,0.399695666666667,4.18769056225794
"KCNE5",0.061202,0,0.087408,0.0495366666666667,1,0,1,"Kcne1l",1.589916,1.432962,1.238163,29,27,46,1.420347,0.433630659846157
"KCNF1",0.331048,0.576973,0.416608,0.441543,8,16,7,"Kcnf1",25.883038,24.091949,23.005501,1704,1581,2960,24.3268293333333,0.0569176260094565
"KCNG1",0.238333,0.794556,1.17014,0.734343,6,20,10,"Kcng1",8.413124,7.00889,6.458215,358,340,624,7.29340966666667,0.209123035001004
"KCNG2",0.555279,0.168994,0.200079,0.308117333333333,6,3,2,"Kcng2",1.098421,2.719889,4.357871,31,25,77,2.72539366666667,0.351135329680147
"KCNG3",0,0.063733,0,0.0212443333333333,0,3,0,"Kcng3",0.666403,0.410374,0.954504,27,17,79,0.677093666666667,0.608936968537436
"KCNG4",0.014364,0.039569,0.020421,0.0247846666666667,1,3,1,"Kcng4",1.318607,1.099665,1.084297,63,57,110,1.167523,0.472790677038567
"KCNH1",7.242277,4.795012,7.559256,6.53218166666667,402,348,287,"Kcnh1",13.321164,14.169586,12.160753,1280,1321,2248,13.2171676666667,0.529794811685769
"KCNH2",32.451675,34.414095,35.544044,34.1366046666667,1289,1630,959,"Kcnh2",10.994669,11.973274,11.505969,290,313,567,11.491304,2.81288524133803
"KCNH3",1.823981,6.396078,4.087483,4.102514,39,58,53,"Kcnh3",118.83547,172.009049,170.299215,1224,1380,2823,153.714578,0.0329801759211081
"KCNH4",0.444029,0.275851,0.227867,0.315915666666667,22,15,8,"Kcnh4",4.425204,4.625139,5.040377,224,237,504,4.69690666666667,0.230987752417686
"KCNH5",1.245301,0.868728,0.89416,1.00272966666667,159,129,79,"Kcnh5",5.127622,5.46557,4.194656,278,295,445,4.92928266666667,0.337769301828979
"KCNH6",0.524423,0.37355,0.358081,0.418684666666667,25,20,12,"Kcnh6",0.695058,0.714464,0.748741,32,32,66,0.719421,0.825094416473142
"KCNH7",0.447354,0.327185,0.535473,0.436670666666667,24,14,16,"Kcnh7",11.964433,13.121444,11.246396,2271,2347,4003,12.1107576666667,0.109579530275303
"KCNH8",6.216606,4.747362,6.052696,5.67222133333333,423,350,293,"Kcnh8",0.24647,0.154944,0.23238,14,9,15,0.211264666666667,5.50847516397462
"KCNIP1",13.19171,15.382243,14.133281,14.2357446666667,201,268,169,"Kcnip1",13.431805,14.267324,10.705289,242,264,414,12.8014726666667,1.10392166362537
"KCNIP2",13.62651,16.118906,26.182851,18.6427556666667,179,258,253,"Kcnip2",91.550155,86.621747,81.522644,1422,1460,2801,86.5648486666667,0.224322384675622
"KCNIP3",2.909363,3.71524,5.024765,3.88312266666667,15,21,18,"Kcnip3",37.096079,32.429038,32.049037,1376,1171,2262,33.8580513333333,0.140085933661964
"KCNIP4",11.50337,8.472205,10.188465,10.05468,265,197,150,"Kcnip4",19.614157,23.064652,21.041496,575,656,1171,21.2401016666667,0.497060677405476
"KCNJ1",0.282399,0,0,0.094133,1,0,0,"Kcnj1",0.049497,0.025182,0.012936,2,1,1,0.029205,1.06308558547617
"KCNJ10",0.227953,0.070112,0.213828,0.170631,3,4,7,"Kcnj10",35.322714,30.946418,30.370556,2707,2328,4452,32.2132293333333,0.035245925298361
"KCNJ11",9.660157,6.703066,13.705656,10.0229596666667,132,159,154,"Kcnj11",14.997602,18.193655,11.505382,403,462,745,14.8988796666667,0.693316755505561
"KCNJ12",1.431467,1.7705,2.069616,1.75719433333333,97,129,99,"Kcnj12",4.018258,3.743524,3.91103,112,105,217,3.89093733333333,0.563735363064694
"KCNJ13",0,0,0,0,0,0,0,"Kcnj13",0.462829,2.74017,7.013083,7,11,26,3.40536066666667,0.226996170271946
"KCNJ14",1.001154,1.025833,0.645187,0.890724666666667,52,59,24,"Kcnj14",0.582077,0.544553,0.802167,20,19,45,0.642932333333333,1.15082321304773
"KCNJ15",0.028439,0.116866,0.119794,0.0883663333333333,3,14,10,"Kcnj15",0.02458,0.29228,0.016937,2,3,2,0.111265666666667,0.979393466368828
"KCNJ16",0.740966,1.282075,0.800424,0.941155,37,55,22,"Kcnj16",10.38426,7.829057,4.996562,251,254,461,7.73662633333333,0.222185878843622
"KCNJ18",0,0,0,0,0,0,0,"Kcnj12",4.018258,3.743524,3.91103,112,105,217,3.89093733333333,0.204459785895164
"KCNJ2",2.049342,1.454343,1.423923,1.642536,149,114,74,"Kcnj2",3.534193,4.35549,3.914324,274,328,574,3.934669,0.535504205043945
"KCNJ3",9.776138,10.352209,13.855411,11.3279193333333,512,451,437,"Kcnj3",23.711144,29.322314,23.224114,1519,1656,2691,25.4191906666667,0.466627440971823
"KCNJ4",0.248975,0.218427,0.648424,0.371942,6,6,11,"Kcnj4",40.06141,50.509758,42.540568,1116,1404,2305,44.3705786666667,0.0302385828067023
"KCNJ5",0.156302,0.205389,0.139138,0.166943,13,19,8,"Kcnj5",0.351,0.561362,0.307296,18,30,26,0.406552666666667,0.829647568594422
"KCNJ6",3.502006,3.131232,2.860605,3.16461433333333,960,925,559,"Kcnj6",9.519448,8.989689,8.903309,339,310,614,9.137482,0.410813487346595
"KCNJ8",1.356273,1.481546,0.156917,0.998245333333333,31,25,3,"Kcnj8",0.931532,1.183513,1.232473,29,36,74,1.11583933333333,0.944422055991019
"KCNJ9",6.007825,5.55696,3.614902,5.05989566666667,325,335,138,"Kcnj9",24.267222,27.047056,24.948164,1213,1359,2445,25.420814,0.229360672485968
"KCNK1",0.918813,1.356496,0.638674,0.971327666666667,23,20,10,"Kcnk1",33.749469,32.223692,32.313254,929,842,1674,32.7621383333333,0.0583887088905259
"KCNK10",5.731347,4.356322,7.760602,5.94942366666667,453,489,498,"Kcnk10",1.381305,1.230432,1.245419,87,90,161,1.28571866666667,3.04036702679653
"KCNK12",0.866053,1.981761,1.498654,1.44882266666667,154,341,163,"Kcnk12",1.776332,2.191714,2.667651,24,39,106,2.211899,0.762422064537729
"KCNK13",0.073391,0.131508,0,0.0682996666666667,2,4,0,"Kcnk13",2.086079,1.75389,1.919883,82,70,132,1.91995066666667,0.365862231462358
"KCNK15",0.066978,0.058932,0.047922,0.057944,2,2,1,"Kcnk15",0.091207,0.157883,0,2,3,0,0.08303,0.976837206725576
"KCNK16",0.067947,0,0.294154,0.120700333333333,1,0,3,"Kcnk16",0.035597,0,0,1,0,0,0.0118656666666667,1.1075584143745
"KCNK18",0.231978,0.070754,0,0.100910666666667,3,1,0,"Kcnk18",0.020874,0.021208,0.054385,1,1,5,0.0321556666666667,1.06661301412222
"KCNK2",0.791802,0.619835,4.440961,1.950866,21,17,70,"Kcnk2",20.855846,24.600333,21.250146,786,952,1510,22.2354416666667,0.126998489735329
"KCNK3",7.71006,9.879065,7.507723,8.365616,503,704,354,"Kcnk3",5.783936,5.431092,3.592515,214,191,358,4.93584766666667,1.57780598929341
"KCNK4",4.029542,3.909178,5.257315,4.39867833333333,56,65,40,"Kcnk4",13.080649,9.59009,11.014712,143,125,275,11.2284836666667,0.441483873266271
"KCNK5",0.019977,0.054271,0.112484,0.062244,1,3,4,"Kcnk5",0.3274,0.672123,0.172845,8,14,14,0.390789333333333,0.763770597416144
