"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"C8A",0,0.03041,0,0.0101366666666667,0,1,0,"C8a",0.013707,0.028069,0,2,1,0,0.0139253333333333,0.996263367190746
"C8B",0,0,0,0,0,0,0,"C8b",0.02741,0,0,1,0,0,0.00913666666666667,0.990946056199854
"C8G",0,1.706958,0.438027,0.714995,0,7,1,"C8g",1.919789,1.718888,1.57028,57,12,19,1.736319,0.62675258257535
"C8orf34",6.707755,11.22793,6.941561,8.29241533333333,91,174,127,"A830018L16Rik",24.961966,23.093802,20.375118,2763,628,1151,22.8102953333333,0.390268797729878
"C8orf48",2.087908,2.097888,1.511906,1.899234,35,38,18,"AI429214",0.925821,0.893147,0.769406,68,16,22,0.862791333333333,1.5563922529165
"C8orf82",6.960876,5.961206,8.215341,7.04580766666667,127,131,96,"C030006K11Rik",6.579161,5.086974,7.007733,269,51,123,6.22462266666667,1.11366475979276
"C9",0,0.052124,0,0.0173746666666667,0,2,0,"C9",0.012664,0,0,1,0,0,0.00422133333333333,1.01309804213148
"C9orf152",0.057325,0.078658,0,0.0453276666666667,2,3,0,"D630039A03Rik",0.334739,0.247365,0.242097,39,7,11,0.274733666666667,0.820036133037986
"C9orf40",7.408007,7.510815,7.409256,7.44269266666667,198,223,139,"D030056L22Rik",8.16098,9.226673,8.554624,457,125,201,8.64742566666667,0.875123888835699
"C9orf72",19.26744,20.606748,17.683354,19.1858473333333,666,718,491,"C9orf72",37.91733,43.518307,42.305897,3998,920,1583,41.247178,0.477803448394431
"C9orf78",40.836041,38.086148,36.41293,38.4450396666667,416,495,315,"BC005624",28.864336,32.520154,30.059868,2024,498,813,30.4814526666667,1.25296123035746
"CA1",0.046693,0.087489,0.187658,0.10728,1,2,1,"Car1",0.189362,1.549463,0.480462,7,5,3,0.739762333333333,0.63645474947057
"CA10",49.058903,28.256106,29.40422,35.5730763333333,1186,684,503,"Car10",75.801057,93.080462,65.669446,3326,693,1270,78.183655,0.461876587198877
"CA11",84.527907,67.583777,88.044282,80.0519886666667,747,660,615,"Car11",200.040504,156.763963,204.739035,1629,389,656,187.181167333333,0.430712540554581
"CA12",0.275612,0.768234,2.072838,1.03889466666667,16,21,65,"Car12",0.29788,0.313039,0.217669,24,7,11,0.276196,1.59763442814949
"CA13",1.570656,1.983126,1.422339,1.658707,53,49,32,"Car13",3.025722,3.374754,4.795078,270,75,168,3.73185133333333,0.561874584112744
"CA14",0.62566,1.189002,2.465962,1.42687466666667,9,20,25,"Car14",1.280773,1.269343,1.38353,66,20,28,1.31121533333333,1.05004264711524
