"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"FAM71F2",2.367166,3.38034,5.349262,3.69892266666667,78,83,67,"Fam71f2",0.155028,0.185966,0.228937,1,4,6,0.189977,3.94875083019812
"FAM72A",0.684532,1.639657,1.151703,1.15863066666667,8,20,8,"Fam72a",0.679812,0.439246,0.542638,21,24,29,0.553898666666667,1.38917080822087
"FAM72B",0.797194,0.351418,2.020547,1.05638633333333,7,7,16,"Fam72a",0.679812,0.439246,0.542638,21,24,29,0.553898666666667,1.32337222332816
"FAM72C",3e-05,0.263609,0.17145,0.145029666666667,0,8,4,"Fam72a",0.679812,0.439246,0.542638,21,24,29,0.553898666666667,0.736875377544997
"FAM72D",0.387819,0.260135,0.177833,0.275262333333333,12,9,4,"Fam72a",0.679812,0.439246,0.542638,21,24,29,0.553898666666667,0.820685647455347
"FAM76A",3.971071,2.45805,2.139225,2.85611533333333,118,94,61,"Fam76a",20.638374,20.444261,16.937064,645,1199,1029,19.3398996666667,0.189583793259944
"FAM76B",10.689837,12.650101,22.452014,15.263984,223,176,217,"Fam76b",3.91642,1.690125,2.379456,142,138,146,2.66200033333333,4.44128413969742
"FAM78A",0.311521,0.706186,1.042888,0.686865,16,26,14,"Fam78a",1.413122,0.555372,0.610387,80,62,66,0.859627,0.907098574068886
"FAM78B",12.34318,13.925002,17.249052,14.5057446666667,638,827,676,"Fam78b",6.367952,2.332866,2.217646,403,210,220,3.639488,3.34212410219978
"FAM81A",6.623672,12.508467,6.72654,8.61955966666667,105,193,93,"Fam81a",46.986647,28.277227,24.647974,2219,2674,2170,33.3039493333333,0.280421346626678
"FAM81B",0.54902,0.133753,0.959247,0.54734,2,1,4,"Fam81b",0.236752,0.27398,0.404613,2,11,10,0.305115,1.18559667155768
"FAM83A",0.310489,0,0.021903,0.110797333333333,3,0,1,"Fam83a",0,0,0.035697,0,0,1,0.011899,1.09773538004616
"FAM83B",0.047127,0.055009,0.036516,0.0462173333333333,4,5,2,"Fam83b",0.021527,0.024775,0,1,2,0,0.015434,1.03031544475892
"FAM83C",0.025095,0,0,0.008365,1,0,0,"Fam83c",0,0.046354,0.073061,0,5,8,0.039805,0.969763561437
"FAM83D",0.335576,0.2844,0.397628,0.339201333333333,10,9,8,"Fam83d",0.827013,0.922486,0.51725,26,52,31,0.755583,0.762824277367309
"FAM83E",0.31074,0.852808,0.351671,0.505073,1,10,3,"Fam83e",0.129991,0.068881,0.101162,2,2,3,0.100011333333333,1.36823408486094
"FAM83F",0.042425,0.076731,0.072786,0.0639806666666667,9,10,11,"Fam83f",0.046537,0.050096,0.110441,2,4,9,0.0690246666666667,0.995281680435188
"FAM83G",3.190949,1.997634,0.763593,1.98405866666667,92,152,37,"Fam83g",0,0,0,0,0,0,0,2.98405866666667
"FAM83H",2.159299,2.209568,2.282481,2.217116,142,168,101,"Fam83h",0.407797,0.196391,0.237652,27,25,31,0.280613333333333,2.51216812777211
"FAM86B1",10.985838,12.429316,13.884664,12.4332726666667,160,193,150,"Eef2kmt",3.259378,3.085599,2.796157,34,73,79,3.04704466666667,3.31927956647213
"FAM86B2",1.167913,0.317601,0.795317,0.760277,12,5,8,"Eef2kmt",3.259378,3.085599,2.796157,34,73,79,3.04704466666667,0.434953687192646
"FAM89A",1.582169,1.901001,1.466247,1.64980566666667,26,35,17,"Fam89a",0.686332,0.566951,0.714099,11,17,22,0.655794,1.60032326887684
"FAM89B",30.535784,25.245323,39.561681,31.7809293333333,372,358,336,"Fam89b",7.394973,11.857689,9.46029,103,321,264,9.570984,3.10102913156744
"FAM8A1",22.497861,24.045643,22.795927,23.1131436666667,1338,1555,961,"Fam8a1",37.739358,24.051883,21.479849,1813,2048,1728,27.75703,0.838513005921219
"FAM90A1",5.520743,3.981302,5.310336,4.93746033333333,36,36,28,"Fam90a1b",0.243135,0.023539,0.023197,2,1,1,0.0966236666666667,5.41430986199763
"FAM90A1",5.520743,3.981302,5.310336,4.93746033333333,36,36,28,"Fam90a1a",0,0.02115,0,0,1,0,0.00705,5.89589427866872
"FAM90A26",0.033379,0.032533,0.1097,0.0585373333333333,1,1,2,"Fam90a1b",0.243135,0.023539,0.023197,2,1,1,0.0966236666666667,0.965269458893677
"FAM90A26",0.033379,0.032533,0.1097,0.0585373333333333,1,1,2,"Fam90a1a",0,0.02115,0,0,1,0,0.00705,1.05112688876752
"FAM91A1",8.26284,8.821585,10.462361,9.182262,456,483,379,"Fam91a1",14.933767,9.802276,8.639733,1233,1445,1246,11.1252586666667,0.839756270766567
"FAM98A",66.89014,62.218309,32.730556,53.946335,342,459,292,"Fam98a",13.076681,10.861404,8.801614,427,622,546,10.913233,4.61221022034909
"FAM98B",40.302384,50.862375,49.002211,46.7223233333333,374,429,303,"Fam98b",21.31514,12.122696,10.02407,536,557,461,14.487302,3.0813839191186
"FAM98C",16.752981,25.116233,16.724623,19.531279,215,242,174,"Fam98c",14.161181,16.7547,15.399896,220,451,427,15.4385923333333,1.24896819530999
"FAN1",9.211939,9.327329,12.36178,10.3003493333333,646,711,559,"Fan1",2.528679,0.931725,0.728537,127,80,67,1.39631366666667,4.71572210705304
"FANCA",20.763426,20.647888,13.856063,18.422459,188,194,79,"Fanca",1.607684,1.099761,0.635711,16,18,14,1.11438533333333,9.18586536418149
"FANCB",0.226794,0.426789,0.630905,0.428162666666667,7,8,5,"Fancb",0.518429,0.549279,0.350382,21,39,25,0.472696666666667,0.969760235757986
"FANCC",6.59557,7.521046,10.170159,8.09559166666667,219,279,247,"Fancc",6.532487,10.67719,7.763356,97,163,184,8.32434433333333,0.975467157958881
"FANCD2",1.218944,2.270963,6.580379,3.356762,55,60,70,"Fancd2",1.244466,0.545331,0.461301,44,55,51,0.750366,2.48905771707174
"FANCD2OS",0.084245,0,0,0.0280816666666667,1,0,0,"Fancd2os",0.068727,0.031654,0.07641,1,1,2,0.0589303333333333,0.970868086695033
"FANCE",2.672892,2.951436,3.07026,2.898196,82,101,66,"Fance",12.355829,13.116778,13.096541,111,228,226,12.8563826666667,0.281328546834782
"FANCF",2.348356,3.115954,3.885578,3.11662933333333,100,143,118,"Fancf",1.053044,1.630486,1.506814,18,53,50,1.39678133333333,1.71756566862448
"FANCG",11.462597,12.087307,14.404913,12.6516056666667,137,155,112,"Fancg",6.26571,3.816976,4.108755,78,156,125,4.73048033333333,2.3822794726748
"FANCI",1.600892,2.22091,3.193247,2.33834966666667,53,49,69,"Fanci",0.502336,0.231021,0.227226,17,11,17,0.320194333333333,2.52868049981531
"FANCL",5.799558,5.574398,8.348885,6.57428033333333,91,107,86,"Fancl",5.334967,6.471368,6.738307,68,137,159,6.18154733333333,1.0546864041649
"FANCM",5.948015,4.026282,4.844614,4.939637,76,68,64,"Fancm",11.277644,2.501033,2.918132,166,136,136,5.565603,0.904659785247448
"FANK1",0.421793,1.079478,0.594728,0.698666333333333,5,10,5,"Fank1",2.020948,2.771966,1.911885,39,75,56,2.234933,0.525100932023425
"FAP",1.255485,2.041607,4.654093,2.650395,9,21,27,"Fap",0.580449,1.060588,1.559875,21,44,40,1.06697066666667,1.76606037950547
"FAR1",15.852264,14.710167,20.01345,16.858627,976,1080,880,"Far1",32.26318,14.214482,13.798008,1364,1231,904,20.09189,0.846705866567671
"FAR2",155.608968,127.014682,140.235243,140.952964333333,3126,2270,2100,"Far2",7.108269,5.345063,4.861007,368,485,447,5.77144633333333,20.9634629509727
"FARP1",182.899786,177.508603,210.057666,190.155351666667,3665,4019,2870,"Farp1",22.765508,5.792124,8.263429,968,669,755,12.273687,14.4010742204985
"FARP2",25.362452,25.974571,32.668445,28.0018226666667,383,454,326,"Farp2",2.379887,1.436562,1.316726,133,150,136,1.71105833333333,10.6976018590526
"FARS2",7.284712,8.826,5.231034,7.11391533333333,97,106,57,"Fars2",22.396188,31.085042,32.625213,139,308,329,28.7021476666667,0.27317604856026
"FARSA",29.119987,36.842731,28.265369,31.4093623333333,518,657,413,"Farsa",10.883161,12.190473,11.86311,220,463,481,11.6455813333333,2.56290015294934
"FARSB",10.625134,11.521512,12.358407,11.5016843333333,986,1150,817,"Farsb",53.70091,46.880342,49.686893,710,1243,1191,50.0893816666667,0.244702204753636
"FAS",1.224064,2.476495,1.206756,1.63577166666667,18,51,13,"Fas",2.522554,2.735826,1.866756,34,53,36,2.37504533333333,0.78095889279907
"FASLG",0,0,0,0,0,0,0,"Fasl",0.036912,0.04232,0,1,2,0,0.0264106666666667,0.974268908610978
"FASN",129.165894,213.637632,223.376756,188.726760666667,6338,6504,4255,"Fasn",54.851801,25.38636,29.794293,4132,2373,3014,36.6774846666667,5.03554741897402
"FASTK",28.985065,29.11115,31.604477,29.9002306666667,320,374,255,"Fastk",76.666215,85.360154,92.535637,551,1161,1132,84.854002,0.359916019601121
"FASTKD1",28.286641,26.856735,27.978159,27.7071783333333,443,490,328,"Fastkd1",5.03935,4.042948,4.719835,204,282,332,4.600711,5.12563107315006
"FASTKD2",10.138699,11.640494,10.054819,10.6113373333333,616,620,419,"Fastkd2",16.166978,20.36682,15.206999,254,448,420,17.2469323333333,0.636344626111308
"FASTKD3",11.809174,7.809978,10.447506,10.0222193333333,94,87,63,"Fastkd3",12.682675,14.796705,18.074323,116,229,248,15.1845676666667,0.681032670154942
"FASTKD5",9.304268,11.924903,10.777362,10.6688443333333,339,472,279,"Fastkd5",3.032758,2.869366,2.671852,124,207,206,2.857992,3.02459008036651
"FAT1",35.708929,52.909883,33.793665,40.804159,643,935,437,"Fat1",8.241684,1.058934,1.669575,1063,261,373,3.656731,8.97714705874142
"FAT2",0.599872,0.328269,0.470856,0.466332333333333,100,73,60,"Fat2",0.03934,0.004889,0.055385,9,2,23,0.0332046666666667,1.41920800460961
"FAT3",10.70413,9.041517,8.574624,9.44009033333333,845,804,529,"Fat3",7.012703,1.220875,1.198414,1311,311,385,3.14399733333333,2.51932843907879
"FAT4",0.164442,0.227435,0.263372,0.218416333333333,30,49,37,"Fat4",1.306818,0.156778,0.265789,333,71,122,0.576461666666667,0.772880406226179
"FAU",268.006642,293.743539,289.492,283.747393666667,806,904,630,"Fau",122.511629,151.351606,206.98628,394,871,1214,160.283171666667,1.76551211589
"FAXC",29.584238,30.092415,34.708088,31.4615803333333,946,1130,888,"Faxc",14.336238,2.855118,3.174714,760,288,320,6.78869,4.16778435569182
"FAXDC2",0.306765,0.524699,1.768815,0.866759666666667,4,10,12,"Gm12248",0,0,0.028328,0,0,1,0.00944266666666667,1.8492973680526
"FBF1",2.601371,2.174068,3.499194,2.758211,58,64,46,"Fbf1",16.16223,5.972351,6.168523,624,530,511,9.434368,0.360176198500954
"FBH1",42.635115,33.989555,47.538223,41.387631,436,536,393,"Fbh1",82.895086,59.407817,71.928018,869,1359,1223,71.410307,0.585381180610103
"FBL",26.56715,22.404846,25.731293,24.9010963333333,149,141,108,"Fbl",68.063215,80.357163,71.023066,264,524,512,73.1478146666667,0.349317056069317
"FBLIM1",31.771029,33.350343,35.085205,33.4021923333333,377,411,327,"Fblim1",0.880632,0.802877,1.518182,19,23,25,1.06723033333333,16.6416832118853
"FBLL1",38.234585,43.445602,40.760743,40.8136433333333,406,544,294,"Fbll1",11.480745,16.438569,17.11101,188,539,585,15.010108,2.61170276511147
"FBLN1",4.307202,6.082118,15.677096,8.68880533333333,111,135,139,"Fbln1",5.319088,3.201516,4.209836,143,206,262,4.24348,1.84778149880105
"FBLN2",0.259248,1.886649,2.802121,1.64933933333333,14,28,47,"Fbln2",1.752061,2.507399,1.53921,78,78,70,1.93289,0.903320388195034
"FBLN5",0.825779,1.418506,3.472077,1.905454,15,31,40,"Fbln5",2.210326,2.446679,3.229173,82,152,200,2.628726,0.800681561517734
"FBLN7",0.134453,0.422163,0.859701,0.472105666666667,5,10,12,"Fbln7",0.497039,0.561412,0.475043,21,43,38,0.511164666666667,0.974153048399314
"FBN1",9.446788,12.864983,10.114873,10.8088813333333,501,795,470,"Fbn1",0.834259,0.138843,0.191399,128,38,55,0.388167,8.50681606271676
"FBN2",0.307995,0.55219,1.009603,0.623262666666667,46,90,107,"Fbn2",0.177276,0.058016,0.067164,26,18,21,0.100818666666667,1.47459587652341
"FBP1",10.593918,3.285712,3.188475,5.68936833333333,121,33,32,"Fbp1",0,0.531596,0.187579,0,6,2,0.239725,5.39584854167927
"FBP2",0.904165,0.650042,0.460874,0.671693666666667,14,11,5,"Fbp2",0.05598,0,0.061768,1,0,2,0.0392493333333333,1.60855880590734
"FBRS",26.233397,24.919877,28.959263,26.704179,516,702,445,"Fbrs",21.289637,9.022617,9.156974,455,305,357,13.1564093333333,1.95700607037171
"FBRSL1",299.676899,333.501732,308.196637,313.791756,641,752,569,"Fbrsl1",8.569854,3.899879,4.578573,398,360,421,5.68276866666667,47.1049907159238
"FBXL12",14.533235,12.038093,11.777289,12.7828723333333,190,192,139,"Fbxl12",6.384121,2.334157,2.374145,106,129,126,3.69747433333333,2.93410274443224
"FBXL13",1.834132,1.703562,2.024275,1.85398966666667,43,48,21,"Fbxl13",0.065703,0.182313,0.108969,2,11,7,0.118995,2.55049367214927
"FBXL14",5.43075,8.681352,7.648331,7.25347766666667,73,109,70,"Fbxl14",6.942632,3.966079,3.996195,280,302,308,4.968302,1.38288539465105
"FBXL15",7.36318,10.725197,11.507505,9.865294,106,171,95,"Fbxl15",5.495462,9.061587,10.3283,81,288,334,8.29511633333333,1.16892501506795
"FBXL16",292.484699,277.431134,284.092059,284.669297333333,997,1302,937,"Fbxl16",359.54344,250.020276,216.435978,8170,11206,10020,275.333231333333,1.03378553478694
"FBXL17",25.022362,21.723869,22.907864,23.2180316666667,684,687,548,"Fbxl17",35.116726,28.34048,26.166315,775,853,879,29.874507,0.784402214638331
"FBXL18",5.077064,6.550347,6.95633,6.19458033333333,521,777,502,"Fbxl18",15.654321,3.634918,5.376329,640,388,396,8.221856,0.780166197925161
"FBXL19",70.35017,72.515154,86.590165,76.485163,1289,1599,1115,"Fbxl19",11.942834,7.884503,6.53991,552,635,601,8.78908233333333,7.91546749342899
"FBXL2",48.610564,51.659119,60.059445,53.4430426666667,892,1158,888,"Fbxl2",19.474631,18.602217,17.207729,586,1019,969,18.4281923333333,2.80227010998124
"FBXL20",4.972303,4.89776,4.840907,4.90365666666667,376,493,365,"Fbxl20",16.052142,6.992266,8.287014,813,511,591,10.4438073333333,0.515882214258413
"FBXL22",0.380242,0.437391,0.551468,0.456367,6,4,5,"Fbxl22",0.153211,0.046993,0.083222,9,5,9,0.0944753333333333,1.33065310440985
"FBXL3",8.555507,11.025963,9.37284,9.65143666666667,335,418,286,"Fbxl3",33.265479,29.434467,27.364901,1034,1589,1361,30.0216156666667,0.343355316535362
"FBXL4",2.159913,2.628022,1.972217,2.253384,165,198,132,"Fbxl4",5.688158,9.119752,7.545739,210,495,483,7.45121633333333,0.384960444944237
"FBXL5",38.709948,23.911162,22.044928,28.2220126666667,971,610,412,"Fbxl5",33.740727,55.150568,56.940631,1150,1952,1851,48.610642,0.589027101617969
"FBXL6",9.348959,12.989775,15.137258,12.4919973333333,156,156,152,"Fbxl6",19.737845,19.185502,21.870139,177,356,342,20.2644953333333,0.634484718392721
"FBXL7",0.920456,1.110346,1.351432,1.12741133333333,48,61,52,"Fbxl7",0.356197,0.213069,0.185309,23,26,23,0.251525,1.69985524326988
"FBXL8",3.071379,4.745835,4.376875,4.06469633333333,18,29,21,"Fbxl8",0.116176,0.381383,0.627053,3,19,32,0.374870666666667,3.68376201203895
"FBXO10",21.319174,18.819425,18.311569,19.4833893333333,420,467,303,"Fbxo10",9.379357,6.651301,6.749115,601,852,753,7.59325766666667,2.38365822693629
"FBXO11",44.456205,41.595439,59.797236,48.6162933333333,1499,1552,1281,"Fbxo11",47.431472,29.856495,27.547433,2086,2148,1886,34.9451333333333,1.38033410178847
"FBXO15",1.326821,1.224986,2.058476,1.536761,33,37,29,"Fbxo15",0.321389,0.404979,0.235577,3,6,5,0.320648333333333,1.92084519093526
"FBXO16",14.464761,23.30629,16.739975,18.170342,60,90,40,"Fbxo16",3.39791,3.620929,2.560429,76,130,103,3.19308933333333,4.57188971568139
"FBXO2",30.996542,58.201951,35.424482,41.5409916666667,190,351,230,"Fbxo2",36.948532,46.753713,49.798434,558,1392,1530,44.5002263333333,0.934962198979245
"FBXO21",17.201135,24.720011,23.402939,21.774695,949,1107,856,"Fbxo21",38.852737,32.267129,28.574164,1530,2151,1923,33.2313433333333,0.665317010151418
"FBXO22",48.453138,50.468936,47.658684,48.8602526666667,642,722,557,"Fbxo22",16.818133,17.129119,14.256508,411,744,689,16.06792,2.92128464784617
"FBXO24",0.995201,0.7298,0.236885,0.653962,12,9,3,"Fbxo24",0.065688,0.072935,0.143777,2,4,6,0.0941333333333333,1.5116640263222
"FBXO25",28.70749,20.597531,29.262875,26.1892986666667,631,621,538,"Fbxo25",28.310935,26.410752,25.472633,656,1265,1177,26.73144,0.980450299972402
"FBXO28",7.512667,7.971085,8.066663,7.85013833333333,464,568,424,"Fbxo28",10.349871,10.254228,8.371381,737,924,940,9.65849333333333,0.8303367142573
"FBXO3",32.776666,33.242345,52.044342,39.354451,690,735,527,"Fbxo3",19.132476,17.366601,16.851299,1091,1639,1557,17.7834586666667,2.14840364153027
"FBXO30",2.661205,2.972009,3.573873,3.069029,322,381,311,"Fbxo30",2.06296,1.412031,1.431098,127,144,122,1.635363,1.54401082507419
"FBXO31",25.050861,24.248777,29.177693,26.1591103333333,516,606,411,"Fbxo31",23.358705,23.173634,24.48533,1275,2215,2204,23.6725563333333,1.10078217945502
"FBXO32",0.05466,0.413317,0.616342,0.361439666666667,5,12,11,"Fbxo32",3.273002,1.069331,1.285735,353,202,245,1.87602266666667,0.473375847292812
"FBXO33",2.994688,3.923656,3.367407,3.42858366666667,109,150,75,"Fbxo33",37.371403,40.747484,36.920011,728,1332,1113,38.3462993333333,0.112554007408643
"FBXO34",10.517981,12.085578,13.709075,12.1042113333333,453,509,379,"Fbxo34",26.773414,17.073226,14.612439,703,1165,1080,19.4863596666667,0.639655436424617
"FBXO36",1.389891,1.646598,1.269883,1.43545733333333,50,57,28,"Fbxo36",2.207538,2.91675,3.896375,24,56,76,3.00688766666667,0.607817721867754
"FBXO38",43.080045,37.353618,36.100211,38.8446246666667,471,498,388,"Fbxo38",10.165129,6.144279,5.784592,570,671,634,7.36466666666667,4.76344440902208
"FBXO39",0,0,0,0,0,0,0,"Fbxo39",0,0,0,0,0,0,0,1
"FBXO4",4.162127,1.678906,4.102452,3.314495,37,33,31,"Fbxo4",3.088136,2.804061,2.781088,43,81,82,2.891095,1.10881255790465
"FBXO40",0.026015,0.024271,0,0.016762,2,2,0,"Fbxo40",0.461581,0.769672,0.252798,10,21,24,0.494683666666667,0.680252298646915
"FBXO41",21.367428,22.873206,23.371335,22.537323,1689,2040,1376,"Fbxo41",16.298945,6.716991,6.627291,1501,1182,1203,9.88107566666667,2.16314303117152
"FBXO42",13.669226,16.299754,18.897082,16.2886873333333,858,1021,686,"Fbxo42",8.647008,3.101099,2.279786,599,416,373,4.67596433333333,3.04594714096453
"FBXO43",0.144514,0.089303,0.082398,0.105405,5,3,2,"Fbxo43",0.097638,0.009889,0.055379,3,1,4,0.054302,1.04847093147884
"FBXO44",51.337188,55.469633,70.621485,59.1427686666667,1011,1120,843,"Fbxo44",54.210164,72.558876,70.818882,982,2299,2349,65.8626406666667,0.899497358569775
"FBXO45",11.8282,11.400967,12.750751,11.993306,685,732,544,"Fbxo45",16.578784,6.486342,5.326775,965,669,552,9.463967,1.2417189389072
"FBXO46",1.729919,2.756901,4.399982,2.96226733333333,31,71,65,"Fbxo46",2.820038,2.543654,1.866558,157,237,191,2.41008333333333,1.16192683463258
"FBXO47",0.068137,0.031679,0,0.033272,2,1,0,"Fbxo47",0.81325,0.585114,0.665422,12,12,19,0.687928666666667,0.612153831145313
"FBXO48",0.547062,0.707159,0.629319,0.627846666666667,41,57,34,"Fbxo48",0.310295,0.085079,0.102678,9,4,5,0.166017333333333,1.39607415784557
"FBXO5",1.265022,1.009192,1.916537,1.396917,35,30,38,"Fbxo5",1.696465,1.186242,0.941219,17,24,20,1.274642,1.05375571188785
"FBXO6",3.081356,4.620596,3.49408,3.73201066666667,49,69,36,"Fbxo6",11.083571,15.361107,18.672458,140,281,365,15.0390453333333,0.29503069343113
"FBXO7",27.83004,34.157046,32.574615,31.520567,749,858,598,"Fbxo7",21.836028,31.325604,30.363994,615,722,797,27.8418753333333,1.12754689576011
"FBXO8",2.311827,2.604419,3.202527,2.70625766666667,39,49,44,"Fbxo8",21.773964,20.414952,16.603224,243,368,309,19.59738,0.179938306069348
"FBXO9",102.632964,101.140733,104.261325,102.678340666667,1028,1153,858,"Fbxo9",56.675954,71.054851,84.202975,969,2238,2481,70.6445933333333,1.44712023396229
"FBXW10",0.307081,0.083466,0.180673,0.190406666666667,4,4,0,"Fbxw10",0.58739,0.330573,0.163932,7,14,14,0.360631666666667,0.874892666273875
"FBXW11",44.571587,50.273035,55.944634,50.2630853333333,1511,1694,1380,"Fbxw11",41.532046,34.132641,29.068437,2096,2855,2689,34.9110413333333,1.42750205591365
"FBXW12",0.584246,0.703694,0.616259,0.634733,16,21,12,"Fbxw20",0.125374,0.054024,0.142498,4,3,8,0.107298666666667,1.47632526725701
"FBXW12",0.584246,0.703694,0.616259,0.634733,16,21,12,"Fbxw21",0.03125,0.054158,0.035719,1,3,2,0.0403756666666667,1.57129107530709
"FBXW12",0.584246,0.703694,0.616259,0.634733,16,21,12,"Fbxw18",0,0,0,0,0,0,0,1.634733
"FBXW12",0.584246,0.703694,0.616259,0.634733,16,21,12,"Fbxw16",0.040405,0.116776,0.161209,1,5,7,0.10613,1.47788505871823
"FBXW12",0.584246,0.703694,0.616259,0.634733,16,21,12,"Fbxw24",0.050436,0,0.028764,1,0,1,0.0264,1.5926860872954
"FBXW12",0.584246,0.703694,0.616259,0.634733,16,21,12,"Fbxw22",0,0,0,0,0,0,0,1.634733
"FBXW12",0.584246,0.703694,0.616259,0.634733,16,21,12,"Fbxw14",0,0,0,0,0,0,0,1.634733
"FBXW12",0.584246,0.703694,0.616259,0.634733,16,21,12,"Fbxw26",0,0,0,0,0,0,0,1.634733
"FBXW12",0.584246,0.703694,0.616259,0.634733,16,21,12,"Fbxw15",0.736909,0.668403,0.402125,13,23,14,0.602479,1.0201275648542
"FBXW12",0.584246,0.703694,0.616259,0.634733,16,21,12,"Fbxw19",0.066445,0.019417,0.038266,2,1,2,0.041376,1.56978171188889
"FBXW12",0.584246,0.703694,0.616259,0.634733,16,21,12,"Fbxw28",0.194337,0.08684,0,2,1,0,0.0937256666666667,1.4946462808925
"FBXW12",0.584246,0.703694,0.616259,0.634733,16,21,12,"Fbxw27",0.715473,0.274195,0.26996,3,2,2,0.419876,1.1513209604219
"FBXW12",0.584246,0.703694,0.616259,0.634733,16,21,12,"Fbxw25",0,0,0,0,0,0,0,1.634733
"FBXW12",0.584246,0.703694,0.616259,0.634733,16,21,12,"Fbxw13",0,0,0.034416,0,0,1,0.011472,1.61619204486135
"FBXW2",21.7032,23.601894,23.188547,22.8312136666667,1603,1757,1304,"Fbxw2",80.063492,72.620876,87.434916,804,1267,1292,80.0397613333333,0.29406816203029
"FBXW4",17.640663,16.57185,22.028207,18.7469066666667,180,195,147,"Fbxw4",22.45234,15.681207,13.998409,201,301,269,17.3773186666667,1.07452599722745
"FBXW5",24.204863,30.753357,31.013135,28.6571183333333,567,762,484,"Fbxw5",46.137649,39.532086,43.655507,752,1248,1326,43.108414,0.672368730676495
"FBXW7",65.241684,82.312288,100.705224,82.7530653333333,1386,1502,1396,"Fbxw7",52.793527,27.121723,23.901003,2584,2353,2042,34.6054176666667,2.35225622452793
"FBXW8",5.341785,6.220907,6.597404,6.05336533333333,334,427,258,"Fbxw8",9.731257,7.256632,6.727303,622,914,869,7.905064,0.79206228426133
"FCAMR",0,0,0,0,0,0,0,"Fcamr",0,0,0,0,0,0,0,1
"FCER1A",0,0,0,0,0,0,0,"Fcer1a",0,0,0,0,0,0,0,1
"FCER1G",0,0.970729,0.649326,0.540018333333333,0,5,2,"Fcer1g",11.741505,11.671211,10.278373,77,142,127,11.230363,0.125917630844917
"FCER2",0,0,0,0,0,0,0,"Fcer2a",0.440033,0.069799,0.068744,14,4,4,0.192858666666667,0.838322282382713
"FCGR1A",0,0.158986,0.185396,0.114794,0,2,1,"Fcgr1",1.942552,1.386277,1.657586,30,56,69,1.66213833333333,0.418758854880444
"FCGR1B",0.085174,0.152087,1.142899,0.460053333333333,2,3,1,"Fcgr1",1.942552,1.386277,1.657586,30,56,69,1.66213833333333,0.54845133892992
"FCGR2A",0,0,0.041412,0.013804,0,0,1,"Fcgr3",5.360748,8.000869,8.07742,94,249,257,7.14634566666667,0.124448929800303
"FCGR2A",0,0,0.041412,0.013804,0,0,1,"Fcgr2b",1.462738,1.494879,1.401481,60,67,77,1.45303266666667,0.413285976080221
"FCGR2B",0,0,0.053215,0.0177383333333333,0,0,1,"Fcgr2b",1.462738,1.494879,1.401481,60,67,77,1.45303266666667,0.414889841119115
"FCGR2B",0,0,0.053215,0.0177383333333333,0,0,1,"Fcgr3",5.360748,8.000869,8.07742,94,249,257,7.14634566666667,0.124931886636941
"FCGR3A",0,0,0,0,0,0,0,"Fcgr4",0.121155,0.105589,0.089406,2,3,3,0.105383333333333,0.904663540551543
"FCGR3B",0,0,0,0,0,0,0,"Fcgr4",0.121155,0.105589,0.089406,2,3,3,0.105383333333333,0.904663540551543
"FCHO1",17.838234,21.230003,24.300816,21.1230176666667,204,237,198,"Fcho1",24.864557,15.926714,16.808808,582,928,901,19.2000263333333,1.09519746665677
"FCHO2",2.348581,2.018113,2.016447,2.12771366666667,119,134,90,"Fcho2",10.436676,5.97994,4.804535,634,635,493,7.073717,0.387394513167438
"FCHSD1",65.602965,80.179836,91.914884,79.2325616666667,929,1234,1073,"Fchsd1",2.780031,2.995859,2.826857,63,103,100,2.86758233333333,20.7448878269948
"FCHSD2",56.627487,62.519689,56.496813,58.5479963333333,965,1201,851,"Fchsd2",15.581207,11.477595,8.767196,679,825,815,11.9419993333333,4.60114351728963
"FCMR",0.113867,0,0,0.0379556666666667,1,0,0,"Fcmr",0.338832,0.277905,0.693635,1,2,8,0.436790666666667,0.722412589911033
"FCN1",0.034151,0.030275,0.045226,0.0365506666666667,4,3,3,"Fcnb",0,0,0.108029,0,0,2,0.0360096666666667,1.00052219589972
"FCRL1",0,0.076425,0.057129,0.044518,0,2,1,"Fcrl1",0.096013,0.326259,0.173084,2,8,7,0.198452,0.871555973872963
"FCRL4",0,0,0.030904,0.0103013333333333,0,0,1,"Fcrls",9.027492,10.846762,10.841752,251,547,528,10.2386686666667,0.0898951079792784
"FCRL5",0.116682,0.250387,0.283898,0.216989,7,16,12,"Fcrl5",0.028183,0,0.027366,1,0,1,0.0185163333333333,1.19486449080018
"FCRLA",0.816973,0.563202,0,0.460058333333333,13,16,0,"Fcrla",0,0.039918,0.131937,0,1,1,0.057285,1.38095057939282
"FCRLB",0.831686,1.065566,0.92729,0.941514,19,28,15,"Fcrlb",0.201662,0.165763,0.19129,3,5,6,0.186238333333333,1.63669807781741
"FCSK",2.951768,3.977515,5.834219,4.25450066666667,101,110,78,"Fcsk",3.078071,2.307349,2.213746,149,220,218,2.53305533333333,1.48723984509725
