"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"LOXL2",7.708057,12.717848,7.597415,9.34110666666667,161,350,96,"Loxl2",0.33293,0.109804,0.203918,27,16,30,0.215550666666667,8.50734317395792
"LOXL3",2.178694,2.675513,2.781742,2.54531633333333,41,66,44,"Loxl3",1.782847,1.739892,1.554827,51,67,71,1.692522,1.31672696948561
"LOXL4",0.042488,0.191919,0.209506,0.147971,2,10,7,"Loxl4",0.035866,0.080624,0.041822,2,2,3,0.0527706666666667,1.09042836806497
"LPAR1",0.479539,1.096156,3.106124,1.56060633333333,21,49,81,"Lpar1",23.824412,18.685332,25.497663,580,978,1127,22.6691356666667,0.108183347689347
"LPAR2",55.038709,48.074543,51.879612,51.664288,594,522,472,"Lpar2",0.265313,0.106913,0.148421,12,17,24,0.173549,44.8760878327194
"LPAR3",0.068596,0,0.261148,0.109914666666667,3,0,8,"Lpar3",0.056337,0.189147,0.139981,2,12,9,0.128488333333333,0.983541108828477
"LPAR4",0.373693,0.229455,0.56132,0.388156,11,8,8,"Lpar4",0.546364,0.481536,0.339793,31,45,28,0.455897666666667,0.953470859787993
"LPAR5",0.061102,0.081217,0,0.0474396666666667,2,3,0,"Lpar5",0.342608,0.062782,0.12378,4,2,2,0.17639,0.890384708019166
"LPAR6",0.054136,0.241692,1.032368,0.442732,1,8,10,"Lpar6",0.588744,0.464626,0.654144,47,63,82,0.569171333333333,0.919422863107789
"LPCAT1",43.928236,47.557762,50.051987,47.1793283333333,1479,1525,1245,"Lpcat1",9.788384,9.074876,9.362143,478,852,762,9.40846766666667,4.62885891336615
"LPCAT2",2.052412,2.8145,5.792577,3.553163,63,75,75,"Lpcat2",3.588963,3.851031,4.626571,112,219,250,4.02218833333333,0.906609369819863
"LPCAT3",38.775912,26.864373,31.438032,32.359439,480,402,290,"Lpcat3",16.006761,15.409276,10.839932,185,293,235,14.085323,2.21138380663112
"LPCAT4",162.428316,165.215814,167.826283,165.156804333333,1400,1602,1094,"Lpcat4",36.920278,37.124653,32.787242,695,1302,1173,35.6107243333333,4.53847355819865
"LPGAT1",17.847069,20.076097,16.927958,18.283708,1860,1919,1287,"Lpgat1",44.914009,16.2735,14.659387,4894,3108,2651,25.2822986666667,0.733714666459413
"LPIN1",77.999542,33.861558,35.05385,48.97165,1134,1060,654,"Lpin1",5.79323,2.759938,2.85974,445,399,414,3.80430266666667,10.4014366843943
"LPIN2",7.60972,8.559452,6.286081,7.48508433333333,470,603,344,"Lpin2",20.106029,10.457214,9.130345,1308,1338,1280,13.231196,0.596231288876447
"LPIN3",1.473045,2.569991,2.234175,2.09240366666667,34,69,30,"Lpin3",0.348257,0.885041,0.623192,18,27,20,0.61883,1.91027079228002
"LPO",0.041151,0.161978,0.397729,0.200286,1,7,5,"Lpo",5.689619,1.64623,3.572869,25,56,55,3.63623933333333,0.258892156703443
"LPP",1.63124,1.852995,3.343082,2.27577233333333,408,423,241,"Lpp",1.755425,0.215011,0.356585,182,57,62,0.775673666666667,1.84480537996753
"LPXN",0.797308,1.644487,1.889432,1.44374233333333,18,40,28,"Lpxn",0.344193,0.533939,0.79196,8,22,33,0.556697333333333,1.56982496276305
"LRAT",0.171175,0.571781,0.152983,0.298646333333333,7,6,7,"Lrat",0.036794,0.049601,0.094035,3,7,13,0.0601433333333333,1.22497240939118
"LRATD1",6.693036,6.317239,9.923866,7.64471366666667,292,296,292,"Lratd1",23.535462,14.308382,10.840662,986,1028,853,16.2281686666667,0.501777863563212
"LRATD2",1.995709,2.311936,2.489605,2.26575,63,99,93,"Lratd2",1.79126,1.622995,1.504124,150,246,226,1.63945966666667,1.23727975132284
"LRBA",11.23878,6.93174,13.98935,10.7199566666667,178,227,176,"Lrba",7.98216,3.208547,3.888832,588,406,448,5.026513,1.9447326616016
"LRCH1",3.72969,3.815741,4.275626,3.94035233333333,240,263,191,"Lrch1",123.429803,49.199512,56.006198,300,233,276,76.2118376666667,0.063984389992911
"LRCH2",5.750856,4.267198,6.226332,5.41479533333333,351,276,272,"Lrch2",10.594378,7.229935,5.669625,396,445,312,7.83131266666667,0.726369405710846
"LRCH3",58.70181,46.810349,39.641718,48.3846256666667,633,618,508,"Lrch3",9.361025,3.98126,4.609595,473,423,401,5.98396,7.07114955793943
"LRCH4",21.106517,22.591021,23.475228,22.390922,373,480,315,"Lrch4",34.882021,24.123794,12.910793,158,198,176,23.9722026666667,0.936678366431112
"LRCOL1",0.123302,0.349401,0.493243,0.321982,1,4,2,"Lrcol1",0,0,0,0,0,0,0,1.321982
"LRFN1",6.575799,9.134165,8.292474,8.00081266666667,267,440,231,"Lrfn1",17.579626,8.87741,9.49264,543,551,593,11.9832253333333,0.693264765540027
"LRFN2",2.475794,2.598924,2.15523,2.40998266666667,98,116,60,"Lrfn2",5.587565,4.582295,3.746734,262,400,333,4.63886466666667,0.604728587799648
"LRFN3",13.195645,11.952377,6.373323,10.507115,275,396,219,"Lrfn3",5.377838,4.070391,3.842462,218,322,313,4.43023033333333,2.11908414443562
"LRFN4",60.879244,68.014761,65.632579,64.8421946666667,390,577,396,"Lrfn4",8.15922,6.588051,5.825288,291,482,445,6.85751966666667,8.37951382367947
"LRFN5",98.988849,98.551327,73.508229,90.3494683333333,775,830,684,"Lrfn5",18.821442,10.628088,9.96928,928,939,894,13.1396033333333,6.4605396756769
"LRG1",0.123207,0.396049,0.083749,0.201001666666667,4,3,2,"Lrg1",0.489569,0.56397,0.569985,8,19,20,0.541174666666667,0.779276802715851
"LRGUK",2.2957,1.084804,1.205609,1.52870433333333,39,34,27,"Lrguk",0.523088,0.245921,0.3378,70,30,44,0.368936333333333,1.8472037535712
"LRIF1",5.442965,6.776239,5.364549,5.861251,159,213,112,"Lrif1",10.475992,9.314308,7.580948,198,305,255,9.12374933333333,0.677738135752604
"LRIG1",3.06039,4.762222,6.827806,4.88347266666667,105,147,158,"Lrig1",19.756728,18.261225,23.911979,728,1125,1251,20.6433106666667,0.271837925226843
"LRIG2",3.830471,3.944272,4.107948,3.960897,574,639,470,"Lrig2",7.746353,4.174949,3.121929,546,396,396,5.01441033333333,0.824835141776991
"LRIG3",0.134077,0.764842,0.890931,0.596616666666667,4,14,18,"Lrig3",0.821264,0.4284,0.659941,38,44,65,0.636535,0.975608017345591
"LRIT1",0,0,0,0,0,0,0,"Lrit1",0,0,0.017154,0,0,2,0.005718,0.994314509633913
"LRIT2",0.380087,0.488109,0.35633,0.408175333333333,15,21,10,"Lrit2",0,0,0,0,0,0,0,1.40817533333333
"LRIT3",0.263613,0.244563,0.142142,0.216772666666667,13,13,5,"Lrit3",0.056043,0,0,2,0,0,0.018681,1.1944589784895
"LRMDA",8.530804,6.581188,9.943222,8.351738,9,12,12,"Lrmda",0.628719,1.208276,1.774054,6,22,23,1.203683,4.24368568437475
"LRP1",63.266779,83.093841,99.956434,82.1056846666667,3812,4651,3150,"Lrp1",110.626163,18.283013,19.041642,7743,1672,2584,49.3169393333333,1.65164427263985
"LRP10",8.525478,7.178391,9.810185,8.50468466666667,359,369,223,"Lrp10",28.891798,17.054428,14.539707,351,498,555,20.1619776666667,0.449139717297689
"LRP11",31.083225,25.696528,33.354422,30.044725,627,705,491,"Lrp11",56.97906,46.667378,36.682301,2126,2969,2586,46.7762463333333,0.649794142122467
"LRP12",20.693671,23.837069,20.323867,21.6182023333333,703,709,543,"Lrp12",12.883291,7.957999,6.538145,758,801,664,9.12647833333333,2.23357040708624
"LRP1B",6.2814,7.2176,3.911746,5.803582,394,389,195,"Lrp1b",8.369369,2.108369,2.01635,860,212,243,4.164696,1.31732477574672
"LRP2",0.233416,0.055895,1.580082,0.623131,4,6,19,"Lrp2",0.06015,0.069683,0.015966,8,10,7,0.0485996666666667,1.5479034102306
