"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"UCP1",1,0.0183296,2,0.039348,0,0,0.0192258666667,0.03136,0.03136,0.988234822629053
"UCP2",763,15.5447,403,8.81256,936,20.048,14.8017533333,69.57091,69.57091,0.223913129833525
"UCP3",44,0.872603,45,0.957893,44,0.917392,0.915962666667,0.56451,0.56451,1.22464072883331
"UEVLD",742,2.1919,935,2.96462,1087,3.37586,2.84412666667,5.69739,5.69739,0.573973841551709
"UFC1",1203,34.5606,1216,37.4964,1166,35.217,35.758,144.18061,144.18061,0.253188080694798
"UFL1",806,4.1805,1190,6.62491,1309,7.1379,5.98110333333,5.36287,5.36287,1.09716265353999
"UFM1",1866,23.6721,2346,31.9443,2348,31.3156,28.9773333333,42.87157,42.87157,0.683297482476693
"UFSP1",38,6.67192,37,6.97284,17,3.13801,5.59425666667,8.6454,8.6454,0.683668553576835
"UFSP2",748,4.94176,924,6.55228,945,6.56372,6.01925333333,35.26111,35.26111,0.193575247236778
"UGCG",990,4.48574,755,3.67186,1483,7.06444,5.07401333333,9.13674,9.13674,0.59920776633612
"UGDH",359,2.1219,392,2.48689,597,3.70973,2.77284,6.94141,6.94141,0.475084399369885
"UGGT1",1624,2.71551,1872,3.35979,2058,3.61784,3.23104666667,5.57194,5.57194,0.643804822726623
"UGGT2",985,0.683114,1164,0.866464,1400,1.02076,0.856779333333,7.23412,7.23412,0.225498211506876
"UGP2",2468,8.51702,2524,9.34916,2661,9.65441,9.17353,84.81274,84.81274,0.118555007100344
"UGT1A1",0,0,1,0.0143666,0,0,0.00478886666667,0,0,1.00478886666667
"UGT1A10",3,0.00382966,6,0.00822112,5,0.00671039,0.00625372333333,0,0,1.00625372333333
"UGT1A3",0,0,4,0.0169726,1,0.00415609,0.00704289666667,0,0,1.00704289666667
"UGT1A4",1,0.00320419,6,0.0206353,2,0.00673732,0.01019227,0,0,1.01019227
"UGT1A5",1,0.00289678,5,0.0155463,2,0.00609093,0.00817800333333,0,0,1.00817800333333
"UGT1A6",1,0.00213846,5,0.0114765,4,0.00899287,0.00753594333333,0,0,1.00753594333333
"UGT1A7",1,0.00191216,5,0.0102621,4,0.00804124,0.0067385,0,0,1.0067385
"UGT1A8",4,0.00448907,3,0.00361375,5,0.00589936,0.00466739333333,0,0,1.00466739333333
"UGT1A9",1,0.00172282,5,0.00924592,4,0.00724499,0.00607124333333,0,0,1.00607124333333
"UGT2A1",9,0.0242514,5,0.0144612,3,0.00849873,0.01573711,0.01045,0.01045,1.00523243109506
"UGT3A2",14,0.0673066,14,0.0722434,8,0.040435,0.059995,0.35543,0.35543,0.78203595906834
"UGT8",1633,3.59046,1320,3.11514,1227,2.83626,3.18062,11.42615,11.42615,0.336437271399428
"UHMK1",9315,50.2555,11276,65.2974,8967,50.8611,55.4713333333,35.61654,35.61654,1.54223564906187
"UHRF1",193,0.570748,169,0.536431,248,0.77104,0.626073,1.59945,1.59945,0.625545019138664
"UHRF1BP1",1470,2.81822,1722,3.54349,1819,3.66631,3.34267333333,3.00028,3.00028,1.08559234186857
"UHRF1BP1L",1898,2.89791,2156,3.53328,2152,3.45437,3.29518666667,16.67402,16.67402,0.243022621150706
"UHRF2",985,1.83249,1166,2.32834,1215,2.37641,2.17908,7.07731,7.07731,0.393581526523063
"UIMC1",530,0.78714,538,0.857628,678,1.05863,0.901132666667,10.61074,10.61074,0.163739147260812
"ULBP1",10,0.178757,8,0.153495,7,0.131552,0.154601333333,0.19862,0.19862,0.963275544653852
"ULBP2",59,1.4272,50,1.29821,40,1.01726,1.24755666667,2.70757,2.70757,0.606207480012515
"ULBP3",35,0.757773,40,0.929547,38,0.864953,0.850757666667,0.5227,0.5227,1.21544471443292
"ULK1",1303,7.979,1222,8.03185,1027,6.61169,7.54084666667,18.51391,18.51391,0.437679925072423
