"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"SERPINC1",18,0.231645,8,0.110505,2,0.0270594,0.1230698,0.58194,0.58194,0.709931982249643
"SERPIND1",18,0.231083,20,0.275592,15,0.202454,0.236376333333,0.29097,0.29097,0.957711126775216
"SERPINE1",131,1.87926,188,2.89476,96,1.44785,2.07395666667,2.93498,2.93498,0.781187367323341
"SERPINE2",2850,7.7464,2483,7.2439,2169,6.19802,7.06277333333,21.06354,21.06354,0.365434256394486
"SERPINE3",154,0.928897,220,1.42433,230,1.45852,1.27058233333,2.02412,2.02412,0.75082415159782
"SERPINF1",2165,24.3434,3055,36.8702,4769,56.3753,39.1963,194.5057,194.5057,0.205601678109641
"SERPINF2",119,1.6721,111,1.67409,90,1.32952,1.55857,0.36687,0.36687,1.87184589609839
"SERPING1",5186,51.8686,5232,56.1669,10855,114.141,74.0588333333,319.92551,319.92551,0.233882415060429
"SERPINH1",945,15.3888,765,13.3713,834,14.2783,14.3461333333,6.99588,6.99588,1.91925508303026
"SERPINI1",549,1.06182,647,1.34314,460,0.935349,1.11343633333,52.99411,52.99411,0.0391419792516258
"SERPINI2",9,0.0422477,11,0.0554235,13,0.0641568,0.0539426666667,0.15181,0.15181,0.915031703724312
"SERTAD1",151,5.98991,128,5.44996,121,5.04623,5.49536666667,1.48014,1.48014,2.61895161832397
"SERTAD2",748,1.09457,763,1.19841,906,1.39382,1.22893333333,13.76405,13.76405,0.150970318667981
"SERTAD3",201,10.0557,125,6.71223,151,7.94203,8.23665333333,18.04001,18.04001,0.485118092549846
"SERTAD4",69,0.871223,111,1.50433,77,1.02214,1.13256433333,4.69344,4.69344,0.3745651720805
"SERTM1",3159,23.1685,1682,13.2408,1231,9.49172,15.30034,0.40482,0.40482,11.6031520052391
"SESN1",2024,3.26242,2909,5.03285,2448,4.14838,4.14788333333,69.23771,69.23771,0.0732923002946708
"SESN2",256,1.94668,220,1.79563,225,1.79877,1.84702666667,1.05001,1.05001,1.38878672136721
"SESN3",2875,7.49317,4741,13.2629,3692,10.1164,10.2908233333,2.92233,2.92233,2.87860106959384
"SESTD1",1643,1.75925,2051,2.3572,2401,2.70284,2.27309666667,21.39246,21.39246,0.146169588632513
"SET",3168,42.6483,3529,50.9927,4254,60.2077,51.2829,247.46186,247.46186,0.210426260191403
"SETBP1",532,0.239327,556,0.26847,690,0.326338,0.278045,2.97293,2.97293,0.321688275403795
"SETD1B",538,3.30886,528,3.48554,674,4.35807,3.71749,3.03619,3.03619,1.16879780188742
"SETD2",1617,1.91467,1814,2.30548,2000,2.48973,2.23662666667,20.58281,20.58281,0.149963172852377
"SETD3",1601,3.36404,1750,3.94683,1669,3.68693,3.66593333333,121.68783,121.68783,0.0380309386296098
"SETD4",2243,8.7371,2151,8.99329,1885,7.71947,8.48328666667,18.6852,18.6852,0.481747031611058
"SETD5",2361,5.0531,2543,5.84183,2990,6.72777,5.87423333333,49.08502,49.08502,0.137251284582296
"SETD6",607,18.5941,733,24.1008,806,25.9574,22.8841,34.38481,34.38481,0.674981722383136
"SETD7",2688,4.23976,3275,5.54451,3417,5.66624,5.15017,39.38187,39.38187,0.152300277327424
"SETDB1",785,3.56371,859,4.18569,1188,5.67006,4.47315333333,26.1112,26.1112,0.201877944662354
"SETDB2",592,2.0427,706,2.61474,914,3.31564,2.65769333333,17.48337,17.48337,0.197891041153751
"SETX",2736,5.1049,3155,6.31845,3472,6.81065,6.078,26.25036,26.25036,0.259739687842656
"SEZ6",283,0.959252,240,0.873168,162,0.577297,0.803239,0.06325,0.06325,1.69596896308488
"SEZ6L",1236,1.00837,874,0.765337,2158,1.85093,1.20821233333,0.0506,0.0506,2.10185830318865
"SEZ6L2",2206,13.5752,1904,12.5762,1130,7.31067,11.1540233333,0.0506,0.0506,11.5686496604797
"SF1",4181,51.5067,4339,57.3738,5102,66.0788,58.3197666667,183.17061,183.17061,0.322091383998239
"SF3A1",1764,12.3604,1799,13.5302,1756,12.9359,12.9421666667,25.09914,25.09914,0.534200232908058
"SF3A2",403,5.95028,345,5.46754,363,5.63478,5.6842,1.87232,1.87232,2.32710840017825
"SF3A3",1014,5.35165,1104,6.25402,1413,7.84025,6.48197333333,84.93732,84.93732,0.0870631447819178
"SF3B1",6062,22.7371,8374,33.7126,7878,31.0651,29.1716,312.4742,312.4742,0.0962490693013971
"SF3B2",2378,22.3592,2785,28.1067,2676,26.4526,25.6395,87.53073,87.53073,0.300906815068621
"SF3B3",1593,5.1651,1786,6.21563,2190,7.46527,6.282,105.79845,105.79845,0.0681845101684528
"SF3B4",400,15.5738,439,18.3459,492,20.139,18.0195666667,29.19799,29.19799,0.629828894793991
"SF3B5",630,159.508,580,157.619,477,126.969,148.032,16.16769,16.16769,8.68095824190675
"SFI1",581,0.781365,591,0.853112,584,0.825713,0.820063333333,6.05972,6.05972,0.257809563740913
"SFMBT1",320,0.390446,335,0.438729,399,0.511826,0.447000333333,9.95616,9.95616,0.132071851208179
"SFMBT2",962,0.664631,1275,0.945488,1635,1.18758,0.932566333333,5.21212,5.21212,0.311096104604064
"SFN",1,0.133562,1,0.143358,1,0.140417,0.139112333333,0,0,1.139112333333
"SFPQ",5976,62.2615,6410,71.6816,8486,92.9502,75.6311,269.68927,269.68927,0.283096186265529
"SFR1",96,3.87503,166,7.19204,146,6.19576,5.75427666667,9.03266,9.03266,0.673228901076085
"SFRP1",742,2.72829,740,2.92051,558,2.15705,2.60195,66.93526,66.93526,0.0530203314155271
"SFRP2",16,0.329116,33,0.728591,93,2.01118,1.02296233333,0.39217,0.39217,1.45310007637717
"SFRP4",7891,11.5106,7922,12.4034,7683,11.7824,11.8988,1.07532,1.07532,6.21533064780371
"SFRP5",3760,125.142,4562,162.971,3826,133.874,140.662333333,1.08797,1.08797,67.8469198949219
"SFSWAP",1440,2.83753,1492,3.15564,1657,3.43272,3.14196333333,17.8629,17.8629,0.219582531494627
"SFT2D1",676,5.16857,795,6.52426,899,7.22639,6.30640666667,48.61694,48.61694,0.147256293247226
"SFT2D2",1001,6.45672,969,6.70876,1794,12.1657,8.44372666667,2.34039,2.34039,2.82713295952568
"SFT2D3",144,6.71561,152,7.60864,180,8.82538,7.71654333333,6.71756,6.71756,1.12944289818673
"SFTA2",8,0.057552,16,0.123547,27,0.204208,0.128435666667,0,0,1.128435666667
"SFTPA1",1,0.0386759,2,0.0830254,2,0.0813221,0.0676744666667,0,0,1.0676744666667
"SFTPA2",2,0.0766897,9,0.370416,2,0.080626,0.175910566667,0.06325,0.06325,1.10595868014766
"SFTPB",0,0,5,0.082041,4,0.0642863,0.0487757666667,0,0,1.0487757666667
"SFTPC",19,0.438652,19,0.470826,20,0.485439,0.464972333333,0,0,1.464972333333
"SFTPD",68,0.264725,57,0.238178,48,0.196456,0.233119666667,0.29097,0.29097,0.955188475849168
"SFXN1",1070,3.5483,1114,3.96517,1178,4.10696,3.87347666667,27.03471,27.03471,0.173837242000006
"SFXN2",202,1.21876,293,1.89747,404,2.56263,1.89295333333,4.32657,4.32657,0.543117490867481
"SFXN3",1140,19.8938,1080,20.2291,1316,24.1439,21.4222666667,21.2027,21.2027,1.00988918765285
"SFXN4",400,2.80101,442,3.32214,368,2.7092,2.94411666667,74.58898,74.58898,0.0521784612872141
"SFXN5",3303,4.31961,2885,4.0497,2689,3.69713,4.02214666667,9.45013,9.45013,0.480582219232679
"SGCA",274,4.086,250,4.00155,146,2.28897,3.45884,23.18888,23.18888,0.184334289144433
"SGCB",2457,24.1456,3461,36.5068,3048,31.4909,30.7144333333,82.57162,82.57162,0.379488076613807
"SGCD",1033,0.201087,1391,0.290637,1102,0.225529,0.239084333333,69.59193,69.59193,0.017552775980668
"SGCE",3337,4.40413,3781,5.35613,3250,4.50947,4.75657666667,37.13003,37.13003,0.150972256425447
"SGCG",74,0.0896427,63,0.0819151,57,0.0725932,0.0813836666667,180.19767,180.19767,0.00596797777072244
"SGCZ",309,0.0467949,295,0.0479516,243,0.0386887,0.0444784,0,0,1.0444784
"SGIP1",1930,1.54837,1978,1.70328,1628,1.37313,1.54159333333,25.1877,25.1877,0.0970529421571959
"SGK1",4611,5.41112,4069,5.12531,3472,4.28361,4.94001333333,59.77492,59.77492,0.0977379046048929
"SGK2",59,0.352144,64,0.410004,49,0.30747,0.356539333333,0.16446,0.16446,1.16495142240438
"SGK3",1261,1.13279,1547,1.49165,1810,1.70943,1.44462333333,8.13445,8.13445,0.26762676825972
"SGMS1",1235,0.67512,1481,0.868979,1472,0.845979,0.796692666667,16.67372,16.67372,0.101658998030239
"SGMS2",395,0.762625,438,0.907671,669,1.35793,1.00940866667,14.19417,14.19417,0.132248662919396
"SGPL1",1666,4.4614,1668,4.79439,1757,4.9466,4.73413,7.3248,7.3248,0.688800932154526
"SGPP1",760,3.02785,934,3.994,1094,4.58223,3.86802666667,10.07002,10.07002,0.439748678563363
"SGPP2",1312,1.65996,1448,1.9664,873,1.16122,1.59586,6.76817,6.76817,0.334166219328362
"SGSH",558,6.86107,488,6.44047,563,7.27787,6.85980333333,5.35128,5.35128,1.2375148526486
"SGSM1",808,1.16265,827,1.27727,547,0.827488,1.089136,6.84407,6.84407,0.266333166328194
"SGSM2",1277,5.12134,1531,6.59035,1174,4.94993,5.55387333333,6.19888,6.19888,0.910401803243005
"SGSM3",1587,6.98374,1347,6.36237,967,4.47379,5.93996666667,2.65666,2.65666,1.89789771722556
"SGTA",869,5.31411,857,5.62512,766,4.92468,5.28797,19.67196,19.67196,0.304178703906161
"SGTB",1352,4.1359,1571,5.15834,1636,5.26157,4.85193666667,5.47779,5.47779,0.903384744900653
"SH2B1",1393,8.81309,1412,9.58853,1190,7.9152,8.77227333333,4.61753,4.61753,1.73960323012605
"SH2B2",93,0.443653,90,0.460833,104,0.521593,0.475359666667,0.08856,0.08856,1.35533150829261
"SH2B3",882,3.37343,805,3.30475,1468,5.90292,4.1937,43.26566,43.26566,0.117330228443448
"SH2D1A",55,0.0661147,34,0.0438687,46,0.0581341,0.0560391666667,0.0759,0.0759,0.981540260866902
"SH2D1B",12,0.12426,20,0.22229,6,0.0653189,0.137289633333,0.17711,0.17711,0.966171074354139
"SH2D2A",83,1.36535,52,0.918142,84,1.45273,1.24540733333,0.44278,0.44278,1.55630611273375
"SH2D3C",304,1.31476,350,1.62473,315,1.43226,1.45725,2.5175,2.5175,0.698578535891969
"SH2D4A",271,0.573679,253,0.574858,298,0.663215,0.603917333333,4.42777,4.42777,0.295502081579175
"SH2D4B",37,0.0594876,34,0.0586738,48,0.0811343,0.0664319,0.03795,0.03795,1.02744053181753
"SH2D5",15,0.19993,9,0.128757,3,0.0420384,0.123575133333,0,0,1.123575133333
"SH2D6",17,0.164091,15,0.155406,13,0.131922,0.150473,0,0,1.150473
"SH2D7",125,0.805748,137,0.947873,67,0.454048,0.735889666667,0.03795,0.03795,1.67242127912424
"SH3BGR",243,0.609485,255,0.686495,195,0.514197,0.603392333333,403.83812,403.83812,0.00396057647272199
"SH3BGRL",3625,6.5662,3695,7.18392,4470,8.5124,7.42084,64.69608,64.69608,0.128178728472079
"SH3BGRL2",4313,10.4176,4527,11.7366,2636,6.69381,9.61600333333,9.05796,9.05796,1.05548275528338
"SH3BGRL3",2769,336.633,2875,375.156,2222,283.998,331.929,48.68019,48.68019,6.70144377467155
"SH3BP1",200,1.62768,179,1.56363,323,2.76363,1.98498,1.51809,1.51809,1.18541434182257
"SH3BP2",2233,8.12241,1736,6.77776,2944,11.2583,8.71949,5.55369,5.55369,1.48305611037446
"SH3BP4",1807,3.04424,1621,2.93119,1567,2.77541,2.91694666667,5.86996,5.86996,0.570155672910759
"SH3BP5",2862,5.74594,3239,6.9798,4019,8.48296,7.06956666667,15.30744,15.30744,0.494839574247705
"SH3BP5L",872,9.84729,827,10.0241,824,9.78285,9.88474666667,5.86996,5.86996,1.58439738610851
"SH3D19",11000,8.622,13154,11.0666,13412,11.0522,10.2469333333,149.48159,149.48159,0.0747395966064686
"SH3D21",670,5.09504,590,4.81577,644,5.14869,5.01983333333,1.53074,1.53074,2.37868502229783
"SH3GL1",860,3.73939,858,4.00433,843,3.85361,3.86577666667,0.65784,0.65784,2.93500981196617
"SH3GL2",2343,1.87711,2372,2.03973,1771,1.49167,1.80283666667,13.16946,13.16946,0.197808290977214
"SH3GL3",333,0.33918,335,0.366245,208,0.222734,0.309386333333,0,0,1.309386333333
"SH3GLB1",2427,9.7213,2474,10.6364,3066,12.9112,11.0896333333,165.96555,165.96555,0.0724079508215916
"SH3GLB2",3390,27.8461,3056,26.9437,2075,17.9193,24.2363666667,5.7308,5.7308,3.74938590757414
"SH3KBP1",1479,0.730663,1587,0.841523,1848,0.959818,0.844001333333,28.54015,28.54015,0.0624235602504727
"SH3PXD2A",4027,2.69012,4691,3.36354,4939,3.46871,3.17412333333,20.08943,20.08943,0.197924900451553
