"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"CPSF1",1171,12.7009,1306,15.2041,1103,12.5774,13.4941333333,105.65585,105.65585,0.135896280731905
"CPSF2",940,3.27276,1238,4.62644,1487,5.44296,4.44738666667,8.15291,8.15291,0.595153526765804
"CPSF3",558,1.97129,619,2.34718,758,2.81529,2.37792,17.88246,17.88246,0.178891945223239
"CPSF4",593,5.61438,599,6.08716,804,8.00279,6.56811,36.94739,36.94739,0.199436904619791
"CPSF4L",77,0.967479,76,1.02496,70,0.92467,0.972369666667,1.03727,1.03727,0.968143479591316
"CPSF6",1384,6.9498,2195,11.8307,1740,9.18594,9.32214666667,29.02269,29.02269,0.343811519443128
"CPSF7",2031,12.9537,2202,15.0744,2241,15.0267,14.3516,35.37075,35.37075,0.42208642934226
"CPT1A",4773,9.28644,3942,8.23218,2973,6.08122,7.86661333333,8.89974,8.89974,0.895641030302816
"CPT1B",460,8.36664,209,4.08019,243,4.64662,5.69781666667,24.39648,24.39648,0.263730117979736
"CPT1C",437,3.34341,379,3.11235,240,1.93045,2.79540333333,24.43797,24.43797,0.149202288285189
"CPT2",436,4.37601,514,5.53726,523,5.51863,5.14396666667,3.77565,3.77565,1.28651946157486
"CPVL",868,0.757372,777,0.727698,1499,1.37508,0.953383333333,11.36843,11.36843,0.15793300631794
"CPXCR1",1,0.0231053,1,0.0248,1,0.0242912,0.0240655,0,0,1.0240655
"CPXM1",30,0.79966,19,0.543598,212,5.94098,2.42807933333,0.97503,0.97503,1.73571000609105
"CPXM2",581,0.433648,553,0.443024,629,0.493572,0.456748,3.69266,3.69266,0.310431184019298
"CPZ",48,0.30943,76,0.525866,88,0.596406,0.477234,2.82136,2.82136,0.386572843176251
"CR1",277,0.332317,198,0.254964,637,0.803434,0.463571666667,0.49789,0.49789,0.977088882806481
"CR2",2,0.00979639,1,0.00525747,3,0.0154488,0.0101675533333,0.06224,0.06224,0.950978642616829
"CRABP1",4,0.0887586,2,0.0476344,38,0.886486,0.340959666667,8.1944,8.1944,0.145845260883473
"CRABP2",47,1.32199,65,1.96238,82,2.42483,1.90306666667,10.49713,10.49713,0.252503595825219
"CRADD",357,0.286792,453,0.390605,382,0.322627,0.333341333333,57.34003,57.34003,0.0228546562854527
"CRAT",1575,16.7816,1350,15.4393,1059,11.8628,14.6945666667,31.47063,31.47063,0.483346540141044
"CRB1",109,0.0905685,164,0.146263,123,0.107447,0.1147595,7.40607,7.40607,0.132613635146983
"CRB2",115,0.831728,113,0.877208,98,0.745157,0.818031,19.27239,19.27239,0.0896801511809905
"CRB3",2,0.101422,4,0.217722,6,0.319883,0.213009,2.09528,2.09528,0.391889909798144
"CRBN",4184,20.8245,4790,25.5894,4064,21.2655,22.5598,47.71421,47.71421,0.483633009752185
"CRCP",587,2.56595,662,3.10606,675,3.10208,2.92469666667,43.79334,43.79334,0.0876178616434943
"CREB1",1155,2.64619,1288,3.16735,1576,3.79607,3.20320333333,8.65079,8.65079,0.435529457519022
"CREB3",630,25.0024,658,28.029,555,23.1564,25.3959333333,42.07148,42.07148,0.612840174827984
"CREB3L1",408,1.62927,200,0.857241,305,1.28047,1.25566033333,9.45986,9.45986,0.215649189695656
"CREB3L2",2234,3.07044,2771,4.08785,3255,4.70334,3.95387666667,12.3642,12.3642,0.370682619735562
"CREB3L3",21,0.188874,20,0.193073,21,0.198568,0.193505,0.6846,0.6846,0.708479757806007
"CREB3L4",142,3.63317,162,4.4489,140,3.76585,3.94930666667,2.6554,2.6554,1.35397129361219
"CREB5",283,0.0938896,477,0.16986,451,0.157306,0.140351866667,72.4841,72.4841,0.0155183484136977
"CREBBP",1684,1.88982,1943,2.3404,2187,2.58026,2.27016,13.54669,13.54669,0.224804405675793
"CREBL2",2212,11.6109,2424,13.657,2689,14.8392,13.3690333333,18.5463,18.5463,0.735128046397528
"CREBRF",995,2.09598,1599,3.61536,1369,3.03183,2.91439,5.0826,5.0826,0.643538947160754
"CREBZF",1617,12.1757,2126,17.1825,2222,17.59,15.6494,57.15332,57.15332,0.286301796698796
"CREG1",1444,10.2177,1662,12.6229,2648,19.699,14.1798666667,36.65696,36.65696,0.403109190617086
"CREG2",522,2.17364,513,2.29285,498,2.18014,2.21554333333,18.71227,18.71227,0.163123949364026
