"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"EAPP",486,3.57129,581,4.58253,675,5.21471,4.45617666667,25.5114,18.59719,25.2786,23.1290633333333,0.226124677584667
"EARS2",571,2.7928,681,3.57512,574,2.95157,3.10649666667,20.26002,22.30005,31.15582,24.5719633333333,0.160585896872343
"EBAG9",565,3.75504,675,4.81516,700,4.89105,4.48708333333,20.62447,18.37613,21.58622,20.1956066666667,0.258878333591615
"EBF1",2139,0.924951,2274,1.05545,2024,0.920146,0.966849,5.16854,10.14141,5.4184,6.90945,0.248670767246774
"EBF2",1159,0.994046,1560,1.43611,2460,2.21818,1.54944533333,1.3584,1.4093,0.0437,0.937133333333333,1.31609181952542
"EBF3",580,0.788163,750,1.09393,575,0.821474,0.901189,0.26505,0.4145,0.39327,0.357606666666667,1.4003975132709
"EBF4",782,2.03202,654,1.82406,428,1.16924,1.67510666667,31.3757,37.16675,33.5373,34.0265833333333,0.0763736114713825
"EBI3",112,2.44395,99,2.31873,198,4.54233,3.10167,4.45621,1.21586,0.80839,2.16015333333333,1.29793385553022
"EBNA1BP2",843,1.37944,735,1.29093,689,1.18531,1.28522666667,62.58575,58.69307,54.14034,58.4730533333333,0.0384245727869697
"EBP",726,18.3336,546,14.7994,390,10.3541,14.4957,35.94788,24.56598,35.5255,32.01312,0.469380052536688
"EBPL",309,1.75192,376,2.28815,473,2.81939,2.28648666667,16.86403,18.56956,15.7964,17.0766633333333,0.181808257755718
"ECD",807,3.62413,940,4.53104,982,4.63638,4.26385,25.5114,27.38457,21.67362,24.85653,0.203579134555178
"ECE1",3180,4.32915,4404,6.43522,3499,5.00793,5.25743333333,28.84113,30.3137,36.3339,31.8295766666667,0.190603534028614
