"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"DOK7",110,0.503482,127,0.623929,152,0.73143,0.619613666667,5.84774,5.25032,6.68561,5.92789,0.233781666086933
"DOLK",242,20.2283,317,28.4409,266,23.3757,24.0149666667,8.13383,8.42815,4.28229,6.94809,3.14729282968613
"DOLPP1",421,7.88468,488,9.80985,314,6.18258,7.95903666667,8.16696,7.54388,11.16453,8.95845666666667,0.899641075575298
"DONSON",3171,18.9944,3413,21.9435,3696,23.2755,21.4044666667,14.21349,9.53348,14.22331,12.65676,1.64054041124688
"DOT1L",731,1.86034,612,1.67173,962,2.57388,2.03531666667,12.42438,9.94798,8.34609,10.2394833333333,0.27005838050118
"DPAGT1",571,8.43293,566,8.97221,507,7.87206,8.42573333333,33.74462,21.91318,30.89364,28.85048,0.315764883289314
"DPCD",735,3.28373,827,3.96576,786,3.69183,3.64710666667,58.26206,49.29776,34.38939,47.3164033333333,0.0961807242689353
"DPEP1",6,0.0416794,7,0.0521925,8,0.0584249,0.0507656,0.89456,0,1.22351,0.706023333333333,0.615915139886715
"DPEP2",81,1.07259,56,0.795931,149,2.0743,1.31427366667,1.73941,3.03966,2.51257,2.43054666666667,0.674607837041521
"DPEP3",2,0.0714954,4,0.153479,3,0.112748,0.112574133333,0.43071,0.19343,0,0.208046666666667,0.920969498970514
"DPF1",55,0.513574,40,0.400904,35,0.343594,0.419357333333,54.07091,44.90407,78.82904,59.2680066666667,0.0235507595461594
"DPF2",939,8.03696,1007,9.25116,928,8.3505,8.54620666667,46.99729,44.9317,30.76255,40.89718,0.227848429576167
"DPF3",119,0.0756463,187,0.127592,158,0.105593,0.102943766667,9.31,7.68205,13.41492,10.1356566666667,0.0990461361805934
"DPH1",756,9.91461,829,11.6694,783,10.7958,10.79327,105.60724,77.48369,100.93963,94.6768533333333,0.123261474318275
"DPH2",376,19.4916,388,21.589,323,17.6036,19.5614,29.65286,18.95642,11.6015,20.07026,0.975849372527914
"DPH3",2128,47.0046,2312,54.8147,2312,53.6902,51.8365,10.23769,10.61118,9.87548,10.24145,4.70014989169547
"DPH5",395,1.89234,481,2.47336,520,2.61905,2.32825,27.00232,32.16513,8.87045,22.6793,0.140555252900212
"DPM1",657,4.84517,885,7.00531,942,7.30353,6.38467,24.91503,19.89596,24.71054,23.1738433333333,0.305481834153251
"DPM2",385,19.8639,384,21.2655,374,20.2868,20.4720666667,64.34173,46.64496,53.87816,54.95495,0.383738465796145
"DPM3",116,28.7448,118,31.3851,88,22.9257,27.6852,110.06345,110.91995,100.26233,107.08191,0.265402415630886
"DPP10",815,0.10145,1052,0.140556,1024,0.134008,0.125338,19.56426,41.42227,94.73468,51.90707,0.0212700873437142
"DPP3",694,4.08977,623,3.94065,637,3.94654,3.99232,15.3731,23.54355,20.84338,19.92001,0.238638509255015
"DPP4",85,0.181155,62,0.141828,88,0.197175,0.173386,0.5798,0.11053,1.61678,0.769036666666667,0.663290943658601
"DPP6",3568,0.618877,3221,0.599668,1948,0.355228,0.524591,174.27265,116.17027,146.95236,145.798426666667,0.0103856085832709
"DPP7",1039,39.1866,1117,45.2184,1005,39.8498,41.4182666667,391.74902,357.51926,461.28535,403.517876666667,0.104861290720296
"DPP8",1983,4.60419,2530,6.30509,2588,6.31732,5.7422,10.35365,11.16384,11.09899,10.87216,0.567900028301505
"DPP9",800,2.82627,879,3.33314,835,3.10134,3.08691666667,16.56584,20.89075,23.26855,20.2417133333333,0.19240051885347
"DPPA2",0,0,5,0.0412479,7,0.0565623,0.0326034,0,0,0,0,1.0326034
"DPPA3",1,0.028513,2,0.0612087,1,0.0299765,0.0398994,0,0,0,0,1.0398994
"DPPA4",7,0.106971,5,0.0820123,18,0.289187,0.1593901,0.74546,0.3316,0.32773,0.468263333333333,0.789633626120655
"DPT",2,0.0103559,3,0.0166732,1,0.00544373,0.0108242766667,0.49698,0.829,1.61678,0.98092,0.510280211551552
"DPY19L2",674,1.07017,940,1.60199,788,1.31539,1.32918333333,15.15774,12.21391,15.1191,14.1635833333333,0.153603754609234
"DPY19L3",778,1.69148,1000,2.33361,1387,3.17032,2.39847,15.80381,16.5247,10.22505,14.18452,0.223811486961722
"DPY19L4",747,1.76033,1068,2.70137,904,2.23965,2.23378333333,13.18641,10.91514,4.17305,9.42486666666667,0.310199011337955
"DPY30",1551,1.57537,1758,1.91659,1741,1.85912,1.78369333333,63.26495,55.37708,55.69158,58.1112033333333,0.0470924829195661
"DPYD",1619,0.308351,1660,0.33935,2650,0.530619,0.392773333333,9.24374,15.41937,10.74941,11.8041733333333,0.108774951500162
"DPYS",41,0.0523847,38,0.0521128,34,0.0456707,0.0500560666667,2.45174,5.44375,5.17807,4.35785333333333,0.195984473881337
"DPYSL2",12759,15.4632,11965,15.5645,7942,10.1193,13.7156666667,193.02518,154.55289,208.32453,185.300866666667,0.0789887182491189
"DPYSL3",16694,24.4541,15108,23.7542,12374,19.0564,22.4215666667,55.67779,61.73273,32.61967,50.0100633333333,0.45915580448603
"DPYSL4",406,3.77035,239,2.38229,233,2.27483,2.80915666667,54.15374,36.61408,55.16722,48.6450133333333,0.0767278808264999
"DPYSL5",2839,4.83379,2885,5.2724,1984,3.55142,4.55253666667,95.46894,57.8088,30.60961,61.2957833333333,0.0891318219237953
"DQX1",158,3.38639,235,5.40615,140,3.15461,3.98238333333,1.14304,0.35923,0.93948,0.813916666666667,2.74675426103551
"DR1",701,5.19201,825,6.55862,1082,8.42526,6.72529666667,16.18483,15.88913,16.34261,16.1388566666667,0.450747492491428
"DRAM1",350,0.454435,326,0.45432,668,0.911839,0.606864666667,3.52852,5.99642,7.71249,5.74581,0.238201886306759
"DRAM2",1027,7.84023,1044,8.5546,1426,11.445,9.27994333333,21.78408,22.85272,16.23336,20.2900533333333,0.482851929602024
"DRAP1",532,40.5851,562,46.0184,525,42.1068,42.9034333333,290.56486,260.44358,284.59731,278.53525,0.157058665528945
"DRAXIN",57,0.291608,43,0.236121,69,0.371118,0.299615666667,1.77255,1.51983,0.76469,1.35235666666667,0.552473902058645
"DRD1",0,0,3,0.13565,4,0.177156,0.104268666667,37.85295,30.83873,1.68233,23.4580033333333,0.0451495836196086
"DRD2",28,0.0740172,48,0.136193,35,0.0972704,0.102493533333,143.22827,91.43849,3.62684,79.4312,0.0137072868903237
"DRD3",5,0.0123452,6,0.0159008,8,0.0207661,0.0163373666667,5.41703,4.06209,0,3.15970666666667,0.244329095320832
"DRD4",11,0.558956,23,1.25445,25,1.33556,1.04965533333,6.65947,4.06209,5.87722,5.53292666666667,0.313742283957981
"DRD5",5,0.367633,5,0.394598,5,0.386502,0.382911,1.01052,0.7461,2.86214,1.53958666666667,0.544541762701542
"DRG1",2172,2.89585,2558,3.66064,2206,3.09215,3.21621333333,71.64726,55.79157,65.26118,64.2333366666667,0.0646328020115584
"DRG2",704,6.12521,597,5.57524,541,4.94862,5.54969,29.02335,23.04615,17.56612,23.2118733333333,0.27051562305106
"DRGX",1334,7.32028,1145,6.74401,708,4.08454,6.04961,0,0,1.66048,0.553493333333333,4.5379081124691
"DROSHA",1311,1.73903,1344,1.91357,1464,2.04166,1.89808666667,74.86104,75.2454,71.05101,73.71915,0.0387863976861354
"DRP2",4979,19.4466,4065,17.0413,5408,22.2063,19.5647333333,13.965,9.03608,8.56457,10.5218833333333,1.78484130921594
"DSC1",7,0.0363729,11,0.0613498,6,0.032777,0.0434999,0.14909,0.19343,0.58991,0.31081,0.796072581075823
"DSC2",251,1.00381,181,0.776957,468,1.96771,1.24949233333,1.37496,1.29876,1.44199,1.37190333333333,0.948391235729112
"DSC3",18,0.0588311,50,0.175406,34,0.116829,0.117022033333,0.41415,0.19343,0.28403,0.297203333333333,0.861100187325811
"DSCAM",335,0.0699916,289,0.0648096,276,0.0606245,0.0651419,5.63239,5.11216,7.95282,6.23245666666667,0.147272489707278
"DSCAML1",55,0.0246526,67,0.0322341,38,0.017907,0.0249312333333,9.84011,7.04648,6.00831,7.63163333333333,0.118741284963445
"DSCC1",140,1.11583,150,1.28322,110,0.921724,1.10692466667,1.85537,1.87906,1.92266,1.88569666666667,0.73012686711239
"DSE",4162,3.81302,4161,4.09171,5703,5.49299,4.46590666667,4.12489,7.90312,3.16802,5.06534333333333,0.901170200313475
"DSEL",368,6.34392,298,5.514,511,9.26123,7.03971666667,3.79358,3.67523,3.69238,3.72039666666667,1.70318666722288
"DSG1",5,0.0212597,6,0.0273828,5,0.0223509,0.0236644666667,0.66263,0.38687,0.52436,0.52462,0.67142269330502
"DSG2",152,0.522393,126,0.464798,66,0.238471,0.408554,0.53011,0.63557,0.52436,0.563346666666667,0.900986345532234
"DSG3",0,0,0,0,8,0.0474558,0.0158186,0.44728,0.63557,0.91763,0.666826666666667,0.609432654465171
"DSN1",221,1.7527,211,1.79613,285,2.37628,1.97503666667,5.45016,5.63719,8.36794,6.48509666666667,0.397461355431615
"DSP",186,0.72052,116,0.482316,124,0.505002,0.569279333333,2.45174,1.46456,0.74285,1.55305,0.614668468433051
"DST",31450,11.0624,40786,15.3986,31904,11.7981,12.7530333333,351.09644,334.39021,230.74099,305.409213333333,0.0448845293641301
"DSTN",7443,32.6336,7910,37.2249,7784,35.8804,35.2463,137.64558,122.60882,146.88682,135.71374,0.265125509696392
"DSTYK",1514,3.82228,1827,4.95081,1764,4.68203,4.48504,13.08701,11.93757,13.98298,13.00252,0.39171806217738
"DTD1",850,0.830728,846,0.887463,884,0.908302,0.875497666667,100.02455,86.49214,158.05135,114.856013333333,0.016188177140801
"DTHD1",16,0.0435828,16,0.0467795,33,0.0945034,0.0616219,0.08283,1.4093,0,0.497376666666667,0.708987874349139
"DTL",1240,3.01507,1210,3.15792,1544,3.94695,3.37331333333,0.14909,0.80136,0.43697,0.462473333333333,2.99035424007503
"DTNA",2021,0.885867,2103,0.989423,1848,0.851613,0.908967666667,271.56384,335.91004,310.33473,305.936203333333,0.00621942816108225
"DTNBP1",315,0.39235,370,0.494658,393,0.514628,0.467212,368.68937,262.79241,156.0413,262.507693333333,0.00556800441550675
"DTWD1",854,4.23892,973,5.18383,1119,5.83936,5.08737,10.00577,15.1154,9.19818,11.4397833333333,0.489346947361087
"DTWD2",2695,3.08783,2683,3.29956,4502,5.42299,3.93679333333,5.01945,2.98439,7.20997,5.07127,0.813140139267402
"DTX1",219,0.925922,276,1.25251,130,0.577846,0.918759333333,41.38147,41.94731,42.4296,41.91946,0.0447060455404844
"DTX2",319,1.25742,298,1.2608,324,1.34268,1.28696666667,10.99972,20.39335,12.08217,14.4917466666667,0.147624842819747
"DTX3",923,31.1108,857,31.0049,721,25.5495,29.2217333333,151.75967,130.53957,148.26327,143.520836666667,0.209116789179719
"DTX3L",1069,17.1869,1013,17.4812,1834,30.9998,21.8893,3.41256,3.73049,3.05878,3.40061,5.20139253421685
"DTX4",2541,11.9462,2246,11.3338,1714,8.4718,10.5839333333,11.9771,16.71813,11.25193,13.31572,0.809175740605432
"DTYMK",233,3.63501,224,3.75093,273,4.47766,3.95453333333,30.13327,28.46227,32.16085,30.25213,0.158534260971332
"DUOX1",229,1.12238,209,1.09949,237,1.22121,1.14769333333,30.49771,15.83386,8.34609,18.2258866666667,0.111708415355096
"DUOX2",9,0.0724725,16,0.13829,20,0.169316,0.126692833333,1.32527,0.52503,1.28906,1.04645333333333,0.55055877159818
"DUOXA1",19,0.264022,15,0.223727,34,0.49671,0.328153,1.49093,1.27113,1.52939,1.43048333333333,0.546456328988061
"DUPD1",3,0.0253444,2,0.0181356,9,0.0799359,0.0411386333333,0,0,0,0,1.0411386333333
"DUS1L",666,13.8809,730,16.3308,810,17.7487,15.9868,108.30747,84.77888,91.15154,94.7459633333333,0.177415312443633
"DUS3L",196,5.35518,218,6.39315,269,7.72695,6.49176,31.82298,33.96129,28.94914,31.5778033333333,0.229965167489807
"DUS4L",132,1.53326,178,2.21923,208,2.54006,2.09751666667,4.90349,7.79258,3.88902,5.52836333333333,0.474470630464808
"DUSP1",6900,388.846,5012,303.166,5600,331.784,341.265333333,41.96128,39.32214,97.00691,59.43011,5.66382112051426
"DUSP10",109,0.468258,123,0.567159,128,0.578106,0.537841,3.94267,4.06209,8.69566,5.56680666666667,0.234183992016414
"DUSP11",407,3.95585,430,4.48595,486,4.96615,4.46931666667,10.63527,9.83744,8.67382,9.71551,0.510411232565692
"DUSP12",407,9.50441,436,10.9284,464,11.3917,10.60817,10.85063,8.84265,12.47544,10.7229066666667,0.990212609386978
"DUSP13",8,0.0944958,11,0.139462,7,0.0869278,0.106961866667,0.43071,0.30397,0.41512,0.383266666666667,0.800251963950311
"DUSP14",234,1.73138,217,1.72336,184,1.4313,1.62868,31.16035,29.42943,23.44334,28.01104,0.0906096437769897
"DUSP15",271,2.04852,342,2.77484,297,2.3603,2.39455333333,17.9905,19.01169,12.06032,16.35417,0.195604476234242
"DUSP16",1034,2.01646,1097,2.29624,1226,2.51361,2.27543666667,8.66394,6.05169,6.72931,7.14831333333333,0.401977259915958
"DUSP18",572,6.30858,490,5.80059,410,4.75398,5.62105,4.92005,10.88751,7.90912,7.90556,0.743473740000629
"DUSP19",171,1.39271,164,1.43366,148,1.26725,1.36454,4.00893,3.23309,2.14114,3.12772,0.572844088261801
"DUSP2",59,4.53664,19,1.56811,48,3.88027,3.32834,7.90191,9.14661,13.06535,10.0379566666667,0.392132360246628
"DUSP22",1730,5.06026,1566,4.91654,1645,5.05861,5.01180333333,36.32889,38.18918,38.78092,37.76633,0.15507795897445
"DUSP23",303,32.8374,305,35.4785,209,23.8128,30.7095666667,64.22577,73.72557,31.76758,56.5729733333333,0.550771739425536
"DUSP26",545,10.9513,644,13.8898,339,7.16158,10.66756,66.26337,44.0198,74.02239,61.4351866666667,0.186874751609082
"DUSP27",23,0.114505,41,0.219088,67,0.350677,0.22809,0.5798,0.22107,1.00503,0.601966666666667,0.766613953681933
"DUSP28",88,3.88122,99,4.68664,83,3.84859,4.13881666667,21.91661,17.87873,19.37953,19.7249566666667,0.24795307171547
"DUSP4",2167,21.4842,1696,18.0479,1441,15.0197,18.1839333333,0.99395,0.9948,1.26721,1.08532,9.19951534215372
"DUSP5",749,9.60223,327,4.49965,703,9.4751,7.85899333333,9.87324,5.16742,15.88379,10.30815,0.783416680299607
"DUSP6",1510,50.0846,1442,51.3373,1280,44.635,48.6856333333,26.95262,22.32768,28.62141,25.9672366666667,1.84244436860358
"DUSP7",282,6.43736,381,9.33521,266,6.38379,7.38545333333,23.05965,21.05655,33.42806,25.8480866666667,0.312329643353729
"DUSP8",338,3.24067,266,2.73741,222,2.23774,2.73860666667,71.82949,78.20216,77.05932,75.69699,0.0487451550141668
"DUSP9",6,0.118641,3,0.0636716,2,0.0415769,0.0746298333333,7.12331,10.05851,6.33604,7.83928666666667,0.121574271076169
"DUT",1135,16.0385,1199,18.1855,1134,16.8468,17.0236,138.37447,140.79152,163.51345,147.559813333333,0.12132217721329
"DUX4",5,0.0717804,5,0.0770453,3,0.0452788,0.0647015,0,0,0,0,1.0647015
"DVL1",1176,14.5263,1215,16.1089,884,11.4799,14.0383666667,86.53996,89.89103,120.12252,98.85117,0.150607816279969
"DVL2",429,8.1676,439,8.97103,443,8.86705,8.66856,48.8361,32.80069,42.88842,41.5084033333333,0.227450556638958
"DVL3",1318,12.6249,1508,15.5044,1563,15.7402,14.6231666667,47.41144,45.70543,62.48643,51.8677666666667,0.295514027766761
"DYDC1",82,0.693687,71,0.644686,75,0.667035,0.668469333333,1.02708,0.7461,0,0.59106,1.04865268018365
"DYDC2",84,0.629033,70,0.562643,75,0.590465,0.594047,9.67445,22.93562,1.3546,11.3215566666667,0.129370585480677
"DYM",1314,0.546723,1496,0.668103,1375,0.601468,0.605431333333,67.91995,44.683,80.31473,64.3058933333333,0.0245832535379094
"DYNC1H1",35616,67.7263,38155,77.8761,25558,51.0949,65.5657666667,405.05139,361.52609,344.78966,370.455713333333,0.179202430538377
"DYNC1I1",5941,3.07234,6213,3.44866,4578,2.48899,3.00333,148.44651,81.87738,128.5997,119.641196666667,0.0331837722984567
"DYNC1I2",4185,11.9831,4523,13.9009,3648,10.9817,12.2885666667,56.90367,76.18493,68.4292,67.1726,0.19492533168311
"DYNC1LI1",2729,10.6217,3211,13.4144,2512,10.2789,11.4383333333,21.00549,19.12222,25.14751,21.7584066666667,0.546537967946497
"DYNC1LI2",8303,47.2223,8771,53.5428,7979,47.7088,49.4913,167.34813,254.25373,105.96476,175.85554,0.285494590669877
"DYNC2H1",435,0.205138,873,0.441887,819,0.406049,0.351024666667,13.21954,21.13945,29.71383,21.3576066666667,0.0604279647106086
"DYNC2LI1",630,3.05961,890,4.63934,821,4.19186,3.96360333333,44.19766,29.42943,29.97601,34.5343666666667,0.139684587033492
"DYNLL1",4006,24.4325,4406,28.8431,2961,18.986,24.0872,692.43561,638.8536,593.00938,641.432863333333,0.0390503061593585
"DYNLL2",10987,158.316,10211,157.926,7821,118.48,144.907333333,270.88464,240.54763,192.3752,234.60249,0.619294530091766
"DYNLRB1",1965,13.983,1971,15.0545,1635,12.2319,13.7564666667,485.24663,390.12652,414.39867,429.92394,0.0342437848003989
"DYNLRB2",16,0.277355,29,0.539579,26,0.473836,0.430256666667,3.74388,30.1479,11.33932,15.0770333333333,0.0889627232221741
"DYNLT1",417,8.80889,379,8.59339,562,12.4813,9.96119333333,42.93866,46.56206,29.60459,39.70177,0.269305077723401
"DYNLT3",4372,70.6227,4968,86.1363,4575,77.695,78.1513333333,32.18743,37.69178,46.01274,38.63065,1.99722521163039
"DYRK1A",1914,2.07962,2116,2.46773,2091,2.38855,2.31196666667,95.25359,46.14756,64.29985,68.567,0.0476083008706714
"DYRK1B",324,6.39432,312,6.60913,290,6.01707,6.34017333333,28.27789,29.45707,31.85497,29.86331,0.237828454994944
"DYRK2",427,4.37029,462,5.07534,591,6.35928,5.26830333333,4.35682,2.70806,1.76972,2.94486666666667,1.58897723623866
"DYRK3",220,0.786224,222,0.851564,233,0.875423,0.837737,1.80568,3.26073,2.05375,2.37338666666667,0.54477508260739
"DYRK4",395,1.29957,411,1.4514,520,1.79865,1.51654,37.17375,24.06858,25.60633,28.9495533333333,0.0840259609881772
"DYSF",2457,1.84184,2211,1.779,2035,1.6038,1.74154666667,29.4872,17.29843,21.04001,22.6085466666667,0.116125177266453
"DYTN",8,0.0209296,4,0.0112323,6,0.0165029,0.0162216,0.24849,0.05527,0,0.101253333333333,0.922786400949221
"DZANK1",254,0.528792,320,0.715058,255,0.558122,0.600657333333,10.40335,7.76495,9.74439,9.30423,0.155339829694504
"DZIP1",816,2.14361,955,2.69277,1063,2.93581,2.59073,47.79245,35.97852,31.92052,38.56383,0.0907578967961393
"DZIP1L",123,0.39919,157,0.546908,241,0.822298,0.589465333333,2.07073,4.28316,3.67053,3.34147333333333,0.366111965062475
"DZIP3",1421,2.3612,1783,3.18003,1584,2.76715,2.76946,18.70283,13.67847,14.13592,15.50574,0.228372675202687
"E2F1",227,3.63523,206,3.5409,197,3.31673,3.49762,8.18353,7.26755,6.35789,7.26965666666667,0.543870221133727
"E2F2",28,0.197273,10,0.0756222,23,0.170363,0.147752733333,0.13253,0.22107,0.15294,0.168846666666667,0.981953207434964
"E2F3",490,0.932124,412,0.841231,590,1.17996,0.984438333333,10.53588,7.10175,5.26547,7.63436666666667,0.229830213372106
"E2F4",632,16.3232,570,15.8016,669,18.1657,16.7635,42.85583,42.63814,32.02976,39.1745766666667,0.442157739392898
"E2F5",620,2.7075,713,3.342,708,3.25048,3.09999333333,4.655,4.97399,1.55124,3.72674333333333,0.867403420113073
"E2F6",345,2.76435,360,3.09612,393,3.31059,3.05702,8.15039,8.81501,5.54949,7.50496333333333,0.47701792953056
"E2F7",13,0.0512406,7,0.0296149,14,0.0580146,0.0462900333333,0.01657,0.46977,0.06555,0.183963333333333,0.883718273933005
"E2F8",13,0.129348,3,0.0320389,20,0.209211,0.123532633333,0.03313,0.05527,0,0.0294666666666667,1.09137349436569
"E4F1",510,7.32521,418,6.44416,460,6.94618,6.90518333333,26.40595,22.85272,32.83815,27.3656066666667,0.278689027392445
"EAF1",861,6.52903,740,6.02307,1062,8.46659,7.00623,18.0402,13.5403,11.44856,14.34302,0.521815783333399
"EAF2",277,0.942498,244,0.89111,353,1.26274,1.032116,9.19404,6.57672,5.06883,6.94653,0.255723693234657
