"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"POM121C",1392,3.4983,1369,3.69285,1520,4.01606,3.73573666667,10.95511,10.95511,0.396126565683628
"POMC",62,1.34534,32,0.7453,22,0.501882,0.864174,13.62406,13.62406,0.127473082030572
"POMGNT1",1654,9.13712,1706,10.1156,1449,8.41551,9.22274333333,117.34071,117.34071,0.0863839952737312
"POMP",1979,17.4118,1915,18.0846,1942,17.9633,17.8199,72.77545,72.77545,0.255097054643516
"POMT1",807,6.74394,896,8.03691,780,6.85288,7.21124333333,34.94463,34.94463,0.228441448231071
"POMT2",716,2.72343,632,2.58025,631,2.52331,2.60899666667,21.50677,21.50677,0.16035160383609
"POMZP3",357,3.61007,370,4.01596,390,4.1462,3.92407666667,10.79994,10.79994,0.417296754616549
"PON1",15,0.0975718,7,0.0488733,20,0.136773,0.0944060333333,1.11724,1.11724,0.516902209165376
"PON2",3862,22.1441,4491,27.6395,4400,26.5239,25.4358333333,84.78573,84.78573,0.308161198060563
"PON3",166,0.794435,163,0.837294,159,0.799992,0.810573666667,2.79309,2.79309,0.477334749944504
"POP1",193,0.792537,220,0.969674,254,1.09656,0.952923666667,1.86206,1.86206,0.682348960771961
"POP4",567,9.04193,554,9.48262,563,9.43897,9.32117333333,55.83072,55.83072,0.18161257385671
"POP5",298,19.7273,322,22.8796,308,21.4358,21.3475666667,38.3584,38.3584,0.567796624524879
"POP7",243,31.0775,302,41.456,182,24.4709,32.3348,46.48939,46.48939,0.701942054846356
"POPDC2",164,0.992471,174,1.13022,115,0.731661,0.951450666667,12.87924,12.87924,0.14060212710977
"POPDC3",605,4.77924,622,5.27393,383,3.18083,4.41133333333,7.35513,7.35513,0.647665964901803
"POR",1066,2.12455,1074,2.29749,844,1.76844,2.06349333333,56.82382,56.82382,0.0529797812273558
"PORCN",207,3.05093,215,3.40127,171,2.6497,3.03396666667,13.90337,13.90337,0.270674798161087
"POSTN",176,0.847913,72,0.372316,171,0.86611,0.695446333333,4.18963,4.18963,0.326698884763076
"POT1",633,1.02776,713,1.24256,794,1.35533,1.20855,12.25855,12.25855,0.16657553050673
"POTEA",9,0.0221337,5,0.0131984,11,0.0284409,0.0212576666667,0,0,1.0212576666667
"POU1F1",3,0.0305045,4,0.0436559,7,0.0748304,0.0496636,0.12414,0.12414,0.933748109666056
"POU2AF1",38,0.0642177,19,0.0344639,79,0.140358,0.0796798666667,9.09305,9.09305,0.106972606562605
"POU2F1",859,0.72682,986,0.89547,1354,1.20445,0.942246666667,4.31377,4.31377,0.365511993681887
"POU2F2",386,0.610394,266,0.451486,507,0.842886,0.634922,9.74477,9.74477,0.152159794951404
"POU2F3",6,0.0125825,28,0.063025,12,0.0264566,0.0340213666667,0.15517,0.15517,0.895124844539505
"POU3F1",108,6.36341,87,5.50206,106,6.56614,6.14387,1.64482,1.64482,2.70107984664363
"POU3F2",172,6.15112,304,11.6692,222,8.34674,8.72235333333,7.13789,7.13789,1.19470198458446
"POU3F3",40,1.56681,6,0.252259,10,0.411807,0.743625333333,18.65162,18.65162,0.0887267987745031
"POU3F4",0,0,0,0,1,0.0478546,0.0159515333333,1.05517,1.05517,0.4943394139333
"POU4F1",1403,47.2169,1336,48.2599,822,29.0837,41.5201666667,0.40345,0.40345,30.296887432185
"POU4F2",84,4.0968,110,5.75835,125,6.40934,5.42149666667,0.06207,0.06207,6.0462085047784
"POU4F3",381,23.0313,255,16.5453,119,7.56272,15.7131066667,0,0,16.7131066667
"POU5F1",47,0.500815,108,1.23522,48,0.537723,0.757919333333,4.2517,4.2517,0.334733387918769
"POU5F1B",47,0.0838835,57,0.109193,45,0.0844364,0.0925043,0.0931,0.0931,0.999455036135761
"POU5F2",5,0.104223,11,0.246109,8,0.175317,0.175216333333,0.15517,0.15517,1.01735357854948
"POU6F1",633,3.59356,721,4.39336,690,4.11821,4.03504333333,32.49292,32.49292,0.150331572563097
"POU6F2",54,0.0183145,71,0.0258464,84,0.0299515,0.0247041333333,0.71379,0.71379,0.597916975436489
"PP2D1",1465,7.92194,1765,10.2442,2029,11.5349,9.90034666667,1.64482,1.64482,4.1213945246444
"PPA1",5503,30.9351,6293,37.9708,5549,32.7948,33.9002333333,160.23013,160.23013,0.216462229071576
"PPA2",1529,2.54417,1706,3.0469,1646,2.87943,2.8235,86.43054,86.43054,0.0437318584558668
"PPAN",315,9.73814,301,9.98785,346,11.2455,10.32383,35.59635,35.59635,0.309425120264726
"PPAN-P2RY11",476,9.71684,495,10.8459,605,12.9841,11.18228,0.74482,0.74482,6.98196948682386
"PPARA",1026,1.92245,1124,2.26055,1127,2.22008,2.13436,5.92755,5.92755,0.452448556849103
"PPARD",1186,2.41952,1014,2.22036,1352,2.89974,2.51320666667,28.24122,28.24122,0.120145693875632
"PPARG",368,0.437375,340,0.433736,298,0.372358,0.414489666667,5.71031,5.71031,0.210793490415048
"PPARGC1A",267,0.312948,395,0.496934,262,0.32285,0.377577333333,5.74135,5.74135,0.204347398270821
"PPARGC1B",236,0.330559,220,0.33075,272,0.400538,0.353949,1.11724,1.11724,0.639487729307967
"PPAT",426,1.7613,470,2.08574,444,1.92994,1.92566,2.57585,2.57585,0.818171903183858
"PPBP",1,0.0997141,0,0,0,0,0.0332380333333,2.14137,2.14137,0.328913191802717
"PPCDC",362,0.673659,365,0.729062,372,0.727801,0.710174,16.32405,16.32405,0.0987167550313004
"PPCS",566,5.72585,748,8.12205,793,8.43402,7.42730666667,74.51337,74.51337,0.111600193007808
"PPDPF",1625,196.87,1380,179.451,964,122.784,166.368333333,1934.58558,1934.58558,0.0864690949665992
"PPEF1",1231,1.41471,1650,2.03533,816,0.985912,1.47865066667,8.22409,8.22409,0.268714926531506
"PPEF2",34,0.139079,26,0.114155,15,0.0645076,0.105913866667,0.06207,0.06207,1.0412815225616
"PPFIA1",1434,2.18578,1610,2.63404,1715,2.74827,2.52269666667,54.43417,54.43417,0.0635473872283106
"PPFIA2",978,0.340636,1232,0.460577,1088,0.398399,0.399870666667,28.83087,28.83087,0.0469269138535685
"PPFIA3",1080,5.99292,793,4.72311,516,3.01025,4.57542666667,7.97582,7.97582,0.621160703609253
"PPFIA4",472,1.57835,393,1.41057,384,1.34999,1.44630333333,11.38959,11.38959,0.197448287903797
"PPFIBP1",4152,4.21387,4917,5.3563,4240,4.52406,4.69807666667,20.66885,20.66885,0.262961655402571
"PPFIBP2",655,0.795577,709,0.924332,759,0.969217,0.896375333333,54.96176,54.96176,0.0338869852079885
"PPHLN1",1838,1.45116,2061,1.74658,2318,1.92407,1.70727,25.32399,25.32399,0.102844211686754
"PPIA",14660,91.8447,15777,106.093,13148,86.6,94.8459,1151.68312,1151.68312,0.083150259023486
"PPIAL4A",5,1.32348,7,1.98877,3,0.834845,1.382365,0,0,2.382365
"PPIAL4C",524,152.571,578,180.637,430,131.627,154.945,0,0,155.945
"PPIAL4D",3,1.05878,0,0,3,1.11313,0.72397,0,0,1.72397
"PPIAL4E",3,0.66764,0,0,3,0.701908,0.456516,0,0,1.456516
"PPIAL4F",3,0.66764,0,0,3,0.701908,0.456516,0,0,1.456516
"PPIAL4G",525,23.7855,579,28.1561,432,20.5767,24.1727666667,1.42758,1.42758,10.3694900545811
"PPIB",2218,52.405,1941,49.224,2970,73.7744,58.4678,205.38504,205.38504,0.288140070617522
"PPIC",216,2.80016,230,3.20035,205,2.79397,2.93149333333,9.24822,9.24822,0.383626945296842
"PPID",785,9.61028,862,11.327,891,11.4679,10.8017266667,22.46884,22.46884,0.502867916211453
"PPIE",3252,7.91994,3705,9.68501,3478,8.90511,8.83668666667,53.34797,53.34797,0.180994555393145
"PPIF",863,19.1667,729,17.3782,1024,23.9097,20.1515333333,61.94448,61.94448,0.336034761639146
"PPIG",1422,4.35347,1769,5.81305,1695,5.45562,5.20738,19.02403,19.02403,0.309996539158201
"PPIH",477,4.54469,578,5.91091,713,7.1419,5.86583333333,22.74815,22.74815,0.289110239464127
"PPIL1",727,6.35762,703,6.59866,684,6.28861,6.41496333333,14.55509,14.55509,0.476690480950608
"PPIL2",1077,5.53271,1033,5.69591,1137,6.14074,5.78978666667,10.79994,10.79994,0.575408575524113
"PPIL4",616,2.59007,608,2.74394,799,3.53195,2.95532,13.31372,13.31372,0.276330681332316
"PPIL6",96,0.329123,126,0.463658,131,0.472168,0.421649666667,7.38616,7.38616,0.169523317783944
"PPIP5K1",872,2.68238,801,2.6447,828,2.67776,2.66828,7.13789,7.13789,0.450765493266682
"PPIP5K2",1951,3.67873,3048,6.16873,2376,4.71004,4.8525,11.42062,11.42062,0.471192259323609
"PPL",332,0.741357,912,2.18587,669,1.57056,1.49926233333,1.70689,1.70689,0.92329659990986
"PPM1A",2359,7.72677,2887,10.1498,2442,8.40919,8.76192,24.11366,24.11366,0.388709570807282
"PPM1B",1837,4.19967,2229,5.46962,2295,5.51604,5.06177666667,37.30324,37.30324,0.158257543400245
"PPM1D",338,0.893344,451,1.27944,469,1.30321,1.15866466667,3.38274,3.38274,0.492537697118697
"PPM1E",1066,0.812072,1142,0.933778,940,0.752841,0.832897,1.39654,1.39654,0.764809683961044
"PPM1F",1548,8.09102,1635,9.17256,1596,8.77007,8.67788333333,18.34128,18.34128,0.500374501239318
"PPM1G",3302,20.314,3515,23.2105,3680,23.8015,22.442,30.50672,30.50672,0.744031749417267
"PPM1H",1030,0.618017,1378,0.887469,783,0.493928,0.666471333333,14.89647,14.89647,0.104832792018165
