"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg__TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"ZBTB9",5.622527,8.98565,11.089629,8.56593533333333,175,230,171,6.423648,7.813542,4.912864,6.38335133333333,180,230,228,1.2956088504344
"ZC2HC1A",48.864748,58.04736,62.946606,56.6195713333333,929,922,848,42.204502,55.449805,42.369768,46.6746916666667,949,1474,1172,1.2085987201805
"ZC2HC1B",0.305709,0,0,0.101903,3,0,0,0,0.062061,0.119433,0.060498,0,1,2,1.03904297792169
"ZC2HC1C",1.471044,3.40564,1.75393,2.21020466666667,52,81,41,2.07492,1.69958,1.930179,1.90155966666667,77,73,100,1.10637210171679
"ZC3H10",1.258929,1.059482,3.131735,1.81671533333333,94,113,90,2.662038,1.646912,1.319331,1.87609366666667,152,183,159,0.979354520326818
"ZC3H11A",27.869459,30.49449,37.444576,31.936175,1612,1768,1446,23.616973,22.720166,21.518479,22.6185393333333,1688,2207,2038,1.39450516118567
"ZC3H11B",0.120845,0.019164,0.281872,0.140627,8,1,13,9.135633,6.596059,0.023507,5.251733,42,42,3,0.182449730338772
"ZC3H12A",0.177235,0.495157,0.583562,0.418651333333333,6,9,5,0.502994,0,0.065411,0.189468333333333,13,0,4,1.19267684021292
"ZC3H12B",2.418233,2.322651,2.806037,2.51564033333333,205,202,167,1.760458,1.758235,1.508038,1.675577,164,228,214,1.31397464297732
"ZC3H12C",1.406855,1.215509,1.325491,1.31595166666667,166,154,112,1.581875,1.41393,0.927317,1.30770733333333,227,275,187,1.00357252118336
"ZC3H12D",0.331225,0.309184,0.18234,0.274249666666667,13,12,7,0.275517,0.231724,0.333119,0.28012,10,13,23,0.995414231999083
"ZC3H13",11.106677,12.541251,15.798182,13.1487033333333,1166,1262,1042,11.032539,9.689025,8.269069,9.66354433333333,1295,1594,1428,1.32682932532157
"ZC3H14",34.223965,34.61902,43.221501,37.3548286666667,796,861,670,31.140723,30.408928,24.863222,28.804291,768,1048,888,1.28688948402318
"ZC3H15",58.882417,74.309261,60.344699,64.5121256666667,974,1220,740,53.95781,67.547073,56.45253,59.3191376666667,1140,1784,1674,1.08609188063492
"ZC3H18",21.690237,18.575088,18.834531,19.699952,320,384,284,19.729183,16.43043,17.074144,17.7445856666667,370,563,486,1.10431632729074
"ZC3H3",4.531814,5.266392,5.486765,5.09499033333333,185,234,148,4.204983,5.132691,4.513994,4.61722266666667,203,365,350,1.08505407298553
"ZC3H4",6.744551,6.195611,7.17565,6.70527066666667,300,402,254,6.769618,6.380396,3.572284,5.57409933333333,324,510,422,1.17206483747482
"ZC3H6",1.165695,1.011337,1.555401,1.24414433333333,133,164,151,1.012238,1.387505,1.141218,1.18032033333333,192,231,237,1.02927276282491
"ZC3H7A",66.871303,67.698907,69.924092,68.1647673333333,778,744,602,60.057361,56.323672,34.8179,50.3996443333333,893,1016,854,1.34562735268732
"ZC3H7B",27.464526,28.95394,33.95966,30.126042,2175,2546,1907,26.681122,34.097483,25.763842,28.8474823333333,2603,4587,3700,1.04283643264741
"ZC3H8",9.55091,12.617429,14.417197,12.1951786666667,355,379,288,12.277807,9.861006,10.255288,10.7980336666667,370,505,444,1.1184218522742
"ZC3HAV1",5.726645,4.361588,4.33487,4.807701,541,428,275,4.556632,4.648095,4.020154,4.40829366666667,496,665,630,1.07385089604047
"ZC3HAV1L",2.974647,2.436476,2.553588,2.65490366666667,60,55,36,1.497197,1.322637,0.8733,1.23104466666667,37,45,33,1.63820282098043
"ZC3HC1",10.667018,10.786375,14.08575,11.846381,162,190,142,11.446391,8.607195,9.513196,9.855594,209,292,296,1.18338812228976
