"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg__TPM","FoldChange"
"AARS2",3.755461,4.640839,4.294325,242,329,196,31.1199893333333,2.873718,2.217694,1.513002,289,218,155,5.08377433333333,5.27961551061257
"AARSD1",63.27632,66.968262,84.250953,365,428,308,13.0359566666667,42.269472,45.211996,38.782538,410,412,304,4.02409666666667,2.79372742960758
"AASDH",3.182292,4.853213,4.954761,105,133,96,9.05523233333333,1.51679,1.429238,0.686802,72,62,45,5.38488366666667,1.57484973231828
"AASDHPPT",129.667907,110.451006,134.287207,3231,3083,2547,143.578193333333,15.491333,11.332325,7.790263,438,436,306,121.357049,1.18160902469406
"AASS",4.313875,2.742641,4.506,299,175,207,43.404743,10.663442,6.340196,5.078783,777,556,484,8.239964,4.80572684049418
"AATBC",0.131754,0.373232,0.069659,8,6,3,0.566942333333333,0.16705,0.020132,0.02015,11,2,2,1.01422433333333,0.777938339539472
"AATF",14.476301,19.209898,14.950782,208,297,163,72.099048,18.011852,16.629179,17.421425,333,266,229,87.4279296666667,0.826651130197782
"AATK",14.223841,16.332434,12.634368,449,556,369,49.9149603333333,0.807211,1.215351,1.261386,81,68,60,7.41496433333333,6.05052598163121
"ABALON",0.555463,1.470344,1.275691,13,38,21,19.0329923333333,0.126228,0.106777,0.026797,5,4,1,8.11983866666667,2.19663889522022
"ABAT",28.063871,26.832749,35.879571,1227,1323,1029,0.639692,3.072307,1.855792,1.672802,274,169,145,0.722117333333333,0.952137214034197
"ABCA1",4.057191,3.554462,2.51638,570,529,255,13.8334303333333,1.876267,0.885241,0.804978,396,171,159,25.6683846666667,0.556217803168031
"ABCA10",2.244064,0.973671,2.240683,34,37,31,2.05316766666667,0.159011,0.678309,0.402902,12,6,3,1.07182866666667,1.47365837522601
"ABCA11P",2.783632,1.968935,3.820819,61,48,58,19.92491,1.985955,1.111808,0.940415,66,38,32,10.3198766666667,1.84851042252227
"ABCA12",0.083238,0.230357,0.054846,9,24,5,191.572524333333,0,0.006599,0,0,1,0,51.448996,3.67161507406802
"ABCA13",0.087452,0.016383,0.151556,5,2,6,22.7370223333333,0.174113,0.034944,0.058673,5,3,5,0.328574333333333,17.8665368867832
"ABCA17P",2.031216,2.837622,4.432733,10,18,15,0.140757,0.02167,0.266152,1.014407,2,4,5,0.812543,0.62936824119483
"ABCA2",107.50449,75.111095,79.577059,1545,1840,1190,107.118573666667,24.315816,17.365586,16.698512,805,444,402,52.444161,2.02301938403835
"ABCA3",51.9705,59.537578,54.006441,4138,4756,3097,28.249626,2.864033,2.329955,1.427765,295,201,155,1.15103666666667,13.5979206925033
"ABCA4",0.905126,0.080781,0.014008,7,3,1,29.9432906666667,0.012157,0.012809,0,1,1,0,31.344221,0.956686842656271
"ABCA5",15.166472,15.375498,16.666334,612,687,561,6.02759666666667,4.156998,3.19961,2.228167,168,152,100,13.4566326666667,0.486115738616678
"ABCA6",0.380325,0.502694,0.140608,12,17,6,133.001987666667,0.307074,0.113031,0.186072,11,7,9,214.166965,0.62278141845179
"ABCA7",53.395405,36.508479,39.178153,1224,1180,903,0.445913,11.353326,7.85688,8.990523,435,267,221,0.009045,1.43295194961573
"ABCA8",0.39584,0.133049,0.866773,3,4,10,156.648378666667,3.234198,1.719767,1.436738,96,64,65,61.5321443333333,2.52107744500664
"ABCA9",1.630893,5.875754,1.09333,74,97,41,69.9769943333333,0.287344,0.110486,0.190728,11,7,5,23.8153686666667,2.86020309779534
"ABCA9.AS1",0,0,0,0,0,0,102.094716333333,0,0,0.171932,0,0,1,45.8245276666667,2.20172464028343
"ABCB1",1.409905,3.284378,1.946045,27,71,43,6.184727,0.03239,0.180298,0.191402,3,5,3,1.137784,3.36082925122463
"ABCB10",10.325898,7.423625,9.542775,388,332,292,3.860617,4.005154,2.663769,2.895076,137,128,111,1.70077,1.79971526638699
"ABCB11",1.639649,3.496208,2.969016,7,12,8,43.6574986666667,0.266721,0.007328,0.0069,3,1,1,5.94528533333333,6.42990122412057
"ABCB4",0.520114,0.10443,0.985588,4,3,5,0.312118,11.373936,10.12465,10.942716,248,158,162,13.3101653333333,0.0916913235756698
"ABCB5",0,0.258936,0.058403,0,2,3,282.399342,0.238192,0,0.073851,1,0,5,20.783434,13.0098561135953
"ABCB6",45.798715,35.435408,31.250175,534,550,292,84.7606963333333,8.326215,7.061364,8.704006,123,101,86,134.693941333333,0.632015663268719
"ABCB7",7.623563,5.152974,8.512265,182,173,131,0.123838333333333,13.831658,11.114692,9.446497,350,248,280,0.630597333333333,0.689218797528595
"ABCB8",22.108301,23.197393,18.535002,526,651,446,0.159250666666667,11.02178,6.985446,5.674411,471,342,268,0.0341556666666667,1.12096341395412
"ABCB9",13.147339,16.158433,16.129464,347,428,305,1.87087366666667,4.324097,2.790693,3.029996,187,127,124,0.289378,2.22655704274981
"ABCC1",4.341232,5.649856,8.644544,333,452,284,0.105779666666667,4.111846,2.414281,2.166516,483,341,276,0.104014333333333,1.00159901305629
"ABCC10",47.610062,53.34286,79.775617,605,657,496,0.021098,14.897475,9.350053,15.513101,250,167,160,0,1.021098
"ABCC11",0.569528,0.322889,0.314366,8,11,9,55.1567856666667,0.152197,0,0.378463,2,0,3,8.845367,5.70387936444286
"ABCC12",0.051357,0.030371,0,2,1,0,23.8082643333333,0.174113,0,0.046512,1,0,1,13.957216,1.6586151014556
"ABCC13",0.084804,0,0,3,0,0,59.8747863333333,0,0.021593,0,0,1,0,24.316599,2.40454044926545
"ABCC2",0.295949,0.49826,0.480955,6,12,3,0.334740666666667,0.206724,0.320286,0.182112,3,4,1,0.0342316666666667,1.29056255932343
"ABCC3",0.450343,0.479305,0,4,3,0,0.114704333333333,0.348225,0.325404,0.504307,2,3,3,0,1.11470433333333
"ABCC4",4.728571,5.721667,5.325962,242,283,134,9.340402,0.874694,0.850797,0.835235,82,50,37,19.8153023333333,0.496769243819295
"ABCC5",41.572952,43.888857,45.250485,1760,2095,1575,15.5332103333333,26.815209,20.139758,16.661965,1688,1220,1081,12.58667,1.21686994188667
"ABCC5.AS1",0,0.295589,0,0,1,0,0.226853333333333,0.393644,0.205992,0,2,1,0,0.0971743333333333,1.11819361432383
"ABCC6",0.688326,0.691802,0.278854,12,21,8,19.1169983333333,2.370812,3.482122,1.641663,98,80,51,8.88939033333333,2.03420005230521
"ABCC6P1",0.625841,0.060185,0.401571,5,1,3,13.8722436666667,1.554418,1.274452,1.425343,38,40,29,0.576252,9.43519416100133
"ABCC6P2",0,0.457876,0,0,3,0,150.79009,2.969539,3.945743,2.768744,30,40,28,401.224228,0.377376794915497
"ABCC8",44.948896,46.276289,61.444417,566,656,646,6.275898,0.18336,0.761856,0.182109,9,6,1,0.593260666666667,4.56667145070633
"ABCC9",1.51249,0.676152,0.605353,166,81,48,0,5.937915,4.245439,2.802442,581,434,370,0,1
"ABCD1",6.614678,7.050127,8.893207,192,234,142,11.794229,9.855316,6.357848,6.647314,690,437,443,14.570826,0.821679530681288
"ABCD2",1.111828,0.947205,1.460715,91,82,86,4.90809766666667,0.210704,0.12733,0.165506,19,13,17,1.20856033333333,2.67509000206922
"ABCD3",14.822618,16.086553,17.331049,639,817,573,0.0358056666666667,10.323186,7.852999,5.423063,539,489,336,0,1.03580566666667
"ABCD4",49.321733,40.153747,59.337327,485,502,452,7.31561533333333,36.841234,32.142947,25.91358,577,476,396,0.035787,8.02830633453918
"ABCE1",40.838605,40.205738,45.232008,918,1004,713,42.16418,25.279482,10.850918,4.462396,450,444,265,18.7739536666667,2.18288060787574
"ABCF1",46.260735,63.760304,59.860432,625,761,519,22.990304,30.647549,12.146954,19.277681,895,681,599,8.455803,2.5370985414988
"ABCF2",26.268774,19.429182,42.181654,443,535,432,3.782833,6.164294,6.22041,10.611419,480,500,342,1.52677933333333,1.89285741612049
"ABCF2.1",5.23563,7.257672,6.208637,143,217,121,2.99627566666667,4.069336,1.886728,2.946105,184,81,125,4.60622233333333,0.71282860883089
"ABCF3",49.775637,52.727308,46.588001,554,722,457,125.126357,42.225453,35.384299,25.704264,787,609,496,90.6919753333333,1.37554411431846
"ABCG1",7.097047,8.637267,8.443098,274,360,227,41.110303,4.885127,3.443918,3.219942,306,199,192,16.9057156666667,2.35177994467949
"ABCG2",0.071606,0.158845,0.025076,4,11,1,15.829827,0.576877,0.198017,0.199392,10,14,4,7.015284,2.09971686592765
"ABCG4",11.183928,15.998495,13.278866,433,622,404,4.41094433333333,0.753032,0.371896,0.214828,40,26,15,63.5423413333333,0.0838355755547841
"ABCG5",0.093551,0.161392,0.087861,3,7,2,106.982320666667,0,0.01593,0,0,1,0,10.5729776666667,9.33055638547417
"ABCG8",0.279919,0.336852,0.476524,19,25,16,28.449329,0.035989,0.06211,0.039485,4,5,3,7.553478,3.44296542295426
"ABHD1",1.219066,0.595476,1.404846,17,18,14,36.4106556666667,0.548215,0.837679,0.573511,17,19,15,12.967623,2.67838383572256
"ABHD10",20.734833,22.479951,21.319982,502,570,353,52.0153973333333,4.682414,3.63352,2.996599,164,141,99,6.34839,7.21455956111928
"ABHD11",5.79209,6.6316,4.983045,56,74,48,1.01128866666667,16.413349,19.071503,13.597818,302,309,281,0,2.01128866666667
"ABHD12",62.698382,74.955257,56.465736,591,762,413,0.094133,31.484105,29.04836,22.06709,638,567,468,0.107916333333333,0.987559229051291
"ABHD12B",3.562703,1.658765,4.615794,22,21,30,5.537655,0.21345,0.366161,0.189974,7,7,3,6.00339566666667,0.933497878909883
"ABHD13",2.86622,3.359063,3.388676,195,241,166,18.541765,1.172633,1.326137,0.716184,82,109,59,8.10472266666667,2.14633281160166
"ABHD14A",25.012009,25.594496,21.460029,268,287,164,6.37133133333333,8.546513,7.684425,5.406513,139,127,86,2.20865933333333,2.29732438615588
"ABHD14A.ACY1",3.110936,4.517742,5.004126,22,30,23,0.536710666666667,2.555792,7.592045,3.544598,22,61,25,10.8137673333333,0.130077952553775
"ABHD14B",1.988993,2.13046,2.242736,33,40,33,43.3670903333333,8.124944,8.387924,5.480449,292,279,180,11.920216,3.43392791059633
"ABHD15",0.139043,0.156659,0.265244,6,8,8,171.852216666667,1.644095,1.578787,1.43262,123,111,101,57.0980066666667,2.97518325643071
"ABHD16A",34.317671,41.166479,61.739668,552,678,517,1.33119033333333,19.452254,20.109003,15.952975,486,433,358,0.04322,2.23461046886882
"ABHD16B",0,0,0,0,0,0,13.7652813333333,0,0,0,0,0,0,8.18705733333333,1.60718288757822
"ABHD17A",13.189788,17.685175,18.251272,437,578,391,27.7386756666667,21.413135,20.573032,17.57639,715,597,525,4.32983033333333,5.39204324890642
"ABHD17B",9.608137,10.13461,9.429544,351,345,244,83.284592,2.046774,1.634046,1.489593,103,84,78,3.44931766666667,18.9432623863749
"ABHD17C",26.356909,23.923575,30.757178,465,485,360,9.65143666666667,1.848624,2.204347,1.707873,50,65,54,1.76255833333333,3.85564226396426
"ABHD18",3.898036,4.946809,4.114577,195,202,135,0.774971333333333,8.712244,6.827573,4.421348,367,326,288,0.113742,1.59370063563494
"ABHD2",24.811763,18.501694,16.975591,1534,1881,1288,18.620664,3.332886,2.82704,2.375777,614,430,406,38.1171863333333,0.501586791872105
"ABHD3",2.112366,4.383957,4.812756,34,41,40,113.561289333333,2.331696,3.741765,1.156728,72,76,34,32.086452,3.46248335522145
"ABHD4",5.832204,5.914283,14.836758,103,107,75,4.12357966666667,15.0237,23.747182,16.357654,409,343,303,4.40507566666667,0.947920063037045
"ABHD5",6.272151,9.717485,9.994526,224,264,185,34.890834,7.210165,4.691474,4.783658,177,215,128,10.395547,3.14954902998513
"ABHD6",12.738211,13.156293,8.173231,201,211,124,2.239496,2.357982,2.891814,1.502824,64,48,45,0.079272,3.00155660482251
"ABHD8",7.19407,9.390167,9.704944,145,236,124,0.103042,4.748047,3.701303,3.322699,184,148,137,0.0717826666666667,1.02916573882516
"ABI1",19.731057,19.365981,20.50402,618,612,424,74.8551316666667,10.258949,6.855637,7.216852,359,321,284,27.1435236666667,2.69529617417843
"ABI2",50.424881,51.894418,63.248999,3251,3183,2502,23.8258956666667,21.727203,10.892244,9.493522,933,760,670,22.248018,1.06787149195543
"ABI3",0,0.209091,0.075429,0,3,1,19.957815,0.029558,0.160231,0.222847,1,5,7,0.849044666666667,11.3344016928381
"ABI3BP",0.99652,1.116168,1.795284,15,18,16,15.1482843333333,0.659504,0.308934,0,5,4,0,4.14641166666667,3.13777547916072
"ABITRAM",12.878776,15.022405,19.706706,130,158,143,9.75406533333333,13.449005,10.517363,5.073883,184,198,136,15.4211246666667,0.654892131424047
"ABL1",23.387004,25.535463,27.529949,995,1264,955,3.58069533333333,7.760499,5.097737,3.86969,787,524,458,6.07615,0.647342881840172
"ABL2",4.876134,5.408775,4.808567,785,862,542,0,1.446018,0.98648,1.194757,315,194,136,0,1
"ABLIM1",100.860799,75.151885,120.837451,7750,6453,5627,2.363428,59.262507,38.678189,34.133185,7498,5439,4652,1.242575,1.49980624951228
"ABLIM2",19.980956,30.901303,25.59889,462,672,364,50.8898673333333,6.864886,5.835002,6.004859,163,143,105,0.375775,37.7168267582514
"ABLIM3",48.422608,52.934019,47.138285,1626,2148,1222,6.19063333333333,1.439051,0.939932,0.795889,79,55,65,0,7.19063333333333
"ABO",0.839964,0.413628,1.770949,23,39,31,151.788392,0.108377,0.428422,0.100191,15,12,11,32.133593,4.61128353933725
"ABR",591.586845,672.731938,685.513728,3340,3625,3006,1389.66802333333,137.5781,52.298863,84.704982,1454,973,842,58.4552836666667,23.3901503376899
"ABRA",0.028665,0.053548,0.080009,1,2,2,535.157017,1.22541,0.904378,0.700678,55,43,33,0.143714666666667,468.785644379834
"ABRACL",19.223716,14.20645,19.051796,138,111,99,11.5527636666667,1.304502,3.067132,2.188819,11,29,19,2.930831,3.19341219876069
"ABRAXAS1",4.102444,3.794132,3.584166,77,83,56,0.999892666666667,1.870927,1.13124,1.242214,62,58,36,0.970076,1.01513477991035
"ABRAXAS2",9.187908,9.791007,10.77312,353,405,295,35.14397,2.908321,2.115077,1.946772,158,120,108,19.409946,1.77089983481583
"ABT1",4.88843,4.285503,5.231131,188,179,143,2.10201733333333,3.32542,2.791458,2.174212,199,168,128,1.20228266666667,1.40854640518444
"ABTB1",2.982307,4.057105,10.245762,62,115,92,8.11133266666667,4.435767,2.908722,2.928956,118,103,97,117.910354,0.0766235433683653
"ABTB2",1.344934,1.96267,3.69669,85,140,90,0,6.950399,6.045716,4.152189,790,633,438,0.0212173333333333,0.979223488829671
"ACAA1",46.486176,54.061449,53.958237,591,740,475,11.3941106666667,73.219918,69.137641,52.278734,1732,1479,1295,0.441026,8.60089315991985
"ACAA2",7.463552,10.616386,8.612113,146,199,117,87.1742526666667,33.764452,29.686524,22.134757,1017,904,664,19.4534313333333,4.31097605236376
"ACACA",87.127535,78.297049,72.405289,3380,3012,2176,1.909915,7.1497,4.870629,6.747958,693,417,430,0.974021333333333,1.47410514307174
"ACACB",3.694984,3.933355,3.564281,62,63,54,1.682011,26.02878,14.841445,7.767875,1315,753,655,1.045542,1.31114931886023
"ACAD10",11.611479,11.630295,14.269463,185,171,157,11.8460196666667,20.02537,13.653281,10.050915,659,558,399,14.3326123333333,0.837823287212397
"ACAD11",6.956361,6.78533,9.702243,123,171,123,28.4638313333333,6.08628,6.516346,6.250521,364,279,315,9.801573,2.72773524127767
"ACAD8",28.56967,26.216904,35.090426,521,559,449,0.17684,17.886304,13.41606,11.385466,633,534,433,0.348885333333333,0.872453700042702
"ACAD9",16.730664,15.138342,15.036653,348,375,288,0.081864,9.950716,8.300763,6.289277,369,346,279,0.00452933333333333,1.07698597153957
"ACADL",0.288112,0.704497,0.707281,9,17,9,18.6455233333333,0.430319,0.363646,0.199827,20,21,12,19.283423,0.968550689562276
"ACADM",34.991444,30.116255,36.311604,538,526,442,0.361587666666667,55.824798,42.128201,34.763102,1043,919,796,0.271208333333333,1.07109718443738
"ACADS",1.771714,2.673468,3.757556,38,59,46,28.0018226666667,15.466497,14.289382,12.849752,587,501,461,11.872711,2.25296929812738
"ACADSB",5.696079,5.142362,5.947202,415,396,308,2.81618,6.230585,3.533107,3.515221,558,395,389,0.199794666666667,3.18069425212759
"ACADVL",236.028354,256.563668,245.533457,1257,1410,953,17.6677166666667,539.418883,513.721339,438.661315,4271,3691,3049,17.5133453333333,1.00833838134351
"ACAN",0.108891,0.370897,0.103268,8,10,6,3.98894966666667,0,0.022851,0,0,2,0,3.04950066666667,1.23199131876506
"ACAP1",9.140538,8.118628,5.692809,23,41,22,0.258482,14.853065,11.82895,6.245988,42,44,28,0.534163333333333,0.820305095719925
"ACAP2",19.442193,11.477702,6.945933,361,356,272,59.4039493333333,2.720509,0.953916,0.841565,159,108,106,26.4081756666667,2.20386610433162
"ACAP3",237.983872,241.790025,300.03488,2282,2631,2345,0.231756,32.135196,15.329502,11.519368,755,449,440,0.030983,1.19473938949527
"ACAT1",122.137156,118.34408,129.991315,655,741,527,6.29316433333333,106.632562,103.500411,97.170077,946,923,785,5.969076,1.04650377371883
"ACAT2",150.038137,113.788996,97.188096,2596,2136,1199,33.8141496666667,7.765272,8.394048,3.664681,210,229,100,22.2122423333333,1.49981846504647
"ACBD3",55.57853,50.960754,31.733687,687,749,476,93.2477886666667,26.857783,13.437707,11.62415,382,312,276,94.706676,0.984756681620273
"ACBD3.AS1",0.246714,0.456368,0.347351,1,2,1,87.694707,0.324008,0.319377,0,2,2,0,19.6104036666667,4.30339494725407
"ACBD4",2.513592,3.070246,3.546908,36,57,47,13.9484343333333,4.538466,2.387986,1.850638,119,81,68,2.57489266666667,4.1815057757445
"ACBD5",22.086031,24.008406,24.78825,786,939,654,58.196314,7.618894,5.044549,4.657079,439,324,287,24.477655,2.32346006726286
"ACBD6",44.648742,40.179244,47.697377,561,617,466,0.328216333333333,23.154423,24.794667,23.033485,532,463,433,0.176179,1.12926377135906
"ACBD7",1.043718,2.012931,2.647439,46,68,57,10.4382076666667,0.572654,0.568327,0.510339,37,38,33,6.53185033333333,1.51864510849946
"ACCS",2.852259,6.929111,6.720408,40,71,38,5.38913033333333,8.564602,4.575821,7.352098,163,107,122,12.768286,0.464046892498698
"ACCSL",0,0.041683,0,0,1,0,0.0218153333333333,0,0,0,0,0,0,0.00512366666666667,1.01660658008583
"ACD",10.823814,17.900748,15.750557,143,186,143,14.7655226666667,6.047245,4.588355,4.00999,85,83,68,8.21773166666667,1.71034732153012
"ACE",7.650195,4.932748,4.196313,104,116,46,7.34964133333333,1.157448,0.481306,0.687591,31,27,17,3.13386766666667,2.0198134063798
"ACE2",0.257103,0.077158,0.190801,1,1,1,0.266672333333333,0.292,0.608641,1.089188,17,9,22,0.00736633333333333,1.25740983336416
"ACER1",0.061841,0,0.249022,1,0,3,0,0,0,0,0,0,0,0,1
"ACER2",1.702671,1.924675,1.809561,61,75,46,90.6698553333333,0.086941,0.071304,0.036141,5,4,2,18.880558,4.61103030072563
"ACER3",5.618697,5.605735,6.031901,410,489,347,1.13353,5.889447,3.785697,2.608854,373,369,276,0.568908666666667,1.35988158222935
"ACHE",123.812487,148.175891,116.216143,2791,3847,1730,34.2847416666667,0.074404,0.220625,0.154447,5,9,7,25.9771216666667,1.30795057021465
"ACIN1",89.895784,89.267185,92.097629,1572,1683,1229,9.22705566666667,48.187336,30.018075,26.134553,1665,1167,1053,0,10.2270556666667
"ACKR1",9.846748,12.019005,14.314649,231,292,219,243.496532666667,0,0,0,0,0,0,34.58212,6.87133123789889
"ACKR2",0.432002,0.122803,0.473199,14,5,6,0.588990666666667,2.083034,1.740608,0.931254,43,37,20,0.056822,1.50355562873092
"ACKR3",0,0.074184,0.633304,0,2,7,10.1824796666667,4.479841,2.665596,2.943872,125,78,87,0.0230306666666667,10.9307374949985
"ACKR4",0.106321,0,0,3,0,0,80.0208846666667,0,0,0,0,0,0,27.5920056666667,2.83369014441414
"ACLY",254.093676,248.408509,244.338036,6921,7108,4396,0.0215826666666667,20.336467,13.559479,13.590368,1109,844,693,0.014085,1.00739352881333
"ACMSD",0.255707,0.275251,0.059046,1,2,1,3.448074,0.044606,0.168465,0.027939,1,1,1,2.473935,1.28041370952537
"ACO1",9.414829,8.829655,9.906688,628,626,488,5.19530633333333,8.895559,7.661565,6.460032,708,594,504,23.015551,0.25797060968259
"ACO2",76.722101,90.811985,92.660824,1805,2351,1468,6.22008466666667,146.738618,107.939366,96.620982,7447,5908,4897,0.216119666666667,5.93698536794214
"ACOD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACOT1",2.580575,3.185492,1.979403,39,58,23,0,6.652744,7.561148,4.666439,192,191,127,0.0160763333333333,0.984178025994766
"ACOT11",0.582734,0.576701,0.609753,40,51,26,0.104451666666667,20.174206,15.320592,11.474642,1325,899,708,0.0559843333333333,1.04589777689252
"ACOT12",0.331608,0.188218,0.467097,5,2,2,24.8123303333333,0.102651,0,0,1,0,0,10.6504483333333,2.21556540957151
"ACOT13",4.473594,5.647834,5.032359,165,201,127,0,28.624228,30.396445,27.420034,613,576,520,0.006508,0.993534080206019
"ACOT2",14.610747,12.124256,16.719956,110,123,100,2.16443566666667,88.207517,93.696934,77.668179,1144,999,964,0.306412,2.42223407827444
"ACOT4",0.210825,0.819407,0.499504,6,26,10,9.039828,0.124947,0.174781,0.261237,6,8,12,3.80938333333333,2.08754996309298
"ACOT6",0.113721,0.104565,0.160646,1,1,1,3.375098,0.188194,0,0.040322,5,0,1,12.6457773333333,0.320619184464684
"ACOT7",141.034258,158.621084,147.569266,2164,2658,1722,98.3865763333333,18.509861,18.078012,11.411107,521,479,300,33.1908626666667,2.90681686807005
"ACOT8",15.109551,19.026084,18.961389,206,295,187,15.260072,14.918157,12.104523,11.463739,289,242,204,1.29594133333333,7.08209385141084
"ACOT9",19.733347,15.220957,15.831859,376,398,279,35.6773823333333,29.935853,23.797934,22.855973,918,759,709,2.03923233333333,12.0679758276679
"ACOX1",26.69153,36.454793,34.43575,665,715,462,26.745508,26.743277,25.166,14.165662,569,533,438,18.3481623333333,1.43401257039277
"ACOX2",0,0.720589,0,0,2,0,57.9517596666667,17.904677,19.718667,13.035042,296,273,205,38.0836203333333,1.50834951224793
"ACOX3",9.956542,12.099373,8.284384,181,210,142,15.4454126666667,11.241262,6.789727,5.371668,239,160,120,2.683347,4.46480135232077
"ACOXL",0.165362,0.317846,0.200234,4,5,4,0.798546666666667,0.725081,0.07677,0.356086,14,3,7,17.4300403333333,0.0975877770280155
"ACOXL.AS1",0.133131,0.04982,0.073672,5,2,2,0,0.208242,0.234062,0.294801,10,13,16,0.110388,0.900586101434814
"ACP1",61.586263,66.10944,74.714785,798,920,684,37.79657,30.223411,32.418039,30.824921,582,628,585,19.0402076666667,1.93593652547479
"ACP2",115.861262,97.504509,108.715051,595,540,395,0.343451333333333,43.214406,45.839884,42.704658,569,466,395,0,1.34345133333333
"ACP4",0.140216,0.12039,0.201053,2,2,2,3.97132866666667,0,0.080253,0,0,2,0,3.587013,1.0837834265276
"ACP5",0.900021,1.872376,0.519606,4,9,1,0.278413,0.224677,1.062225,0,1,4,0,0.19397,1.07072455756845
