"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg__TPM","FoldChange"
"XAGE.4",6.41816,0,0,1,0,0,10.8118483333333,9.163904,0,0,2,0,0,9.72505366666667,1.10133232899751
"XAGE1A",0,0,0,0,0,0,79.2766243333333,0,0,0,0,0,0,54.9764133333333,1.43411518446698
"XAGE1B",0,0,0,0,0,0,0,0,0,0,0,0,0,7.36263966666667,0.119579467711132
"XAGE2",0,0,0,0,0,0,10.369116,0,0.176471,0,0,1,0,6.97336166666667,1.42588740800879
"XAGE3",0,0,0,0,0,0,0.153368666666667,0,0,0,0,0,0,0.098543,1.04990762006282
"XAGE5",0.115468,0.22455,0,1,2,0,0,0.090803,0,0,1,0,0,0,1
"XBP1",21.023083,23.717775,22.462389,440,506,344,0,32.596066,28.597126,37.569212,967,634,750,0,1
"XCL1",0,0,0,0,0,0,0,0.161504,0.139945,0,3,2,0,0.185363666666667,0.843622955655522
"XCL2",0,0,0,0,0,0,0,0,0,0,0,0,0,6.209303,0.138709664443289
"XCR1",0,0,0,0,0,0,0,0.009987,0,0,1,0,0,0,1
"XDH",0.710118,0.57434,0.295173,14,17,7,0.131063333333333,0.230629,1.36791,0.613456,25,37,22,0,1.13106333333333
"XG",0,0.073351,0.188298,0,3,1,3.17397333333333,0,0,0,0,0,0,3.17080466666667,1.00075972550141
"XIAP",20.098693,19.553169,17.969473,1012,1084,814,31.0247023333333,18.109702,16.750567,18.681327,1239,927,879,28.7433793333333,1.07670019517397
"XIRP1",0,0,0,0,0,0,0,0.985562,0,0,102,0,0,0,1
"XIRP2",0,0.024629,0,0,1,0,1.46532866666667,0.451431,0.07613,0,31,3,0,1.754969,0.894866209625831
"XIST",0.930513,0.673907,1.091605,5,10,3,0,1.307927,0.767592,0.89414,17,14,7,0.248687666666667,0.800840776036068
"XK",3.011715,3.852449,3.853283,208,287,190,8.28601833333333,2.906528,6.533815,5.684501,275,473,375,0,9.28601833333333
"XKR3",0,0,0,0,0,0,7.46541933333333,0,0,0,0,0,0,10.1821393333333,0.757048278597137
"XKR4",5.923836,6.078334,6.47906,1556,1628,1280,0,5.072545,6.323476,5.982772,1762,1716,1522,0,1
"XKR5",0.346179,0.312932,0.306246,23,22,14,0.0992963333333333,0.450073,0.292323,0.31336,41,20,19,0.367716666666667,0.803745658823099
"XKR6",5.89315,6.031879,7.755604,64,75,45,0,5.37501,7.64481,7.361337,79,83,66,0.021231,0.979210384330284
"XKR7",11.680958,10.6623,13.394323,1214,1227,984,0,4.803695,10.266692,10.480482,714,1156,1027,0,1
